"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",14,17,18,15.1,19,19.98,10.5,15.3,16.8,5.8,11,12.135,9.9,13.9,14.8
"2",14,17,18,15.1,18.9,19.9,10.5,15.2,16.685,5.6,11,12,9.9,13.8,14.74
"3",14,17,18,15,18.8,19.8,10.5,15.2,16.6,5.1,11,12,9.8,13.7,14.7
"4",14,17,17.84,15,18.8,19.8,10.5,15.27,16.685,5,10.98,12,9.8,13.6,14.7
"5",14,17,17.8,15,18.8,19.8,10.6,15.17,16.6,5,10.8,12,9.8,13.6,14.64
"6",14,17,17.7,15,18.7,19.7,10.6,15.17,16.6,5,10.76,12,9.8,13.6,14.6
"7",14,17,17.6,15,18.6,19.685,10.7,15.07,16.5,5,10.1,12,9.7,13.4,14.4
"8",14,17,17.6,15,18.5,19.585,10.7,15,16.485,5,10.1,12,9.7,13.4,14.2
"9",14,17,17.6,15,18.4,19.585,10.65,15,16.485,5,10.26,12,9.7,13.4,14.2
"10",14,17,17.6,15.05,18.4,19.6,10.6,15,16.4,5,10.76,12,9.7,13.4,14.2
"11",14,17,17.6,15,18.4,19.6,10.6,15,16.4,5,10.8,12,9.7,13.4,14.2
"12",14,16.88,17.6,15,18.4,19.6,10.55,14.97,16.285,5,10.8,12,9.7,13.4,14.2
"13",14,16.88,17.6,15,18.47,19.585,10.6,14.9,16.185,5,10.8,12,9.7,13.4,14.2
"14",14,16.6,17.6,15,18.4,19.5,10.7,14.7,16,5,10.8,12,9.7,13.3,14.1
"15",14,16.6,17.58,15,18.3,19.5,10.7,14.7,15.93,5,10.56,12,9.7,13.3,14.1
"16",14,16.6,17.48,15,18.3,19.425,10.7,14.7,15.9,5,10.42,12,9.7,13.3,14
"17",14,16.6,17.58,15,18.25,19.5,10.6,14.7,15.9,5,10.5,12,9.7,13.3,13.9
"18",14,16.5,17.48,15,18.15,19.5,10.6,14.7,15.825,5,10.26,11.9,9.7,13.3,13.9
"19",14,16.46,17.4,15,18.1,19.5,10.65,14.7,15.825,5,10.1,11.8,9.7,13.2,13.8
"20",14,16.4,17.4,15.05,18.1,19.5,10.7,14.8,15.825,5,10,11.7,9.7,13.1,13.78
"21",14,16.4,17.6,15.1,18.1,19.6,10.8,14.9,15.9,5,10,11.78,9.7,13.1,13.7
"22",14.1,16.5,17.6,15.1,18.1,19.6,10.8,14.9,15.9,5,10,11.6,9.7,13.1,13.7
"23",14.1,16.4,17.6,15.15,18.1,19.6,10.9,14.9,16.125,5,10,11.68,9.6,13.1,13.7
"24",14.2,16.4,17.6,15.2,18.1,19.525,10.9,14.85,16.2,5,10.1,11.7,9.6,13.1,13.7
"25",14.2,16.5,17.6,15.2,18.2,19.6,10.8,14.9,16.325,5,10.1,11.8,9.6,13.1,13.7
"26",14.2,16.5,17.4,15.2,18.14,19.4,10.8,14.84,16.3,5,10.1,11.875,9.7,13.1,13.7
