"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",14,16.6,17.4,15,18.2,19.4,10.6,14.7,15.9,5,10.5,12,9.7,13.3,13.96
"2",14.3,17,17.99,15.3,18.7,19.63,10.5,15.5,16.83,4.8,10,11.2,9.7,12.9,13.6
"3",16,19.3,20.4,17.3,21.3,22.8,12.7,17.96,19.43,6,11,12,11.4,14.1,14.7
"4",18,23,24,19.9,25.7,27.2,15.8,22.62,24.36,8,12,13,13.3,15.92,16.61
"5",23,28.42,30,26.2,32.7,34.5,22.9,30.05,31.75,11.7,15,16,17.3,20.9,21.9
"6",27,32.73,34.815,31.5,38.4,40.02,28.6,35.85,37.5,15,19,20,21.2,24.93,26.1
"7",30.5,35.4,36.6,36.4,41.91,43.5,33.5,39.5,41.105,17.9,20.8,21.4,24.2,27.2,28
"8",30.4,35.2,36.545,36.6,42.4,44,34,40.1,41.5,18,21,22,24.2,27.2,28.1
"9",27,31,32,31.8,37.4,38.7,29,34.8,36.3,15.6,19,20,21.3,23.9,24.9
"10",23,27.7,29,26.8,32.9,34.9,23.7,30.42,32.5,13,17,18,17.9,21.3,22.2
"11",18.1,22,23.2,20.15,25.1,26.4,16.1,22.5,24.175,9,13.5,15,13.7,17.1,17.9
"12",15,18,19,16.3,20.1,21.1,11.7,16.9,18.1,6,12,13,10.7,14.6,15.3
