"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",12.6,17.2,18.4,13,18.7,20.03,8.6,14.5,15.9,5,9,10.8,8.5,12.66,14.1
"2",12.5,17.1,18.23,13,18.6,19.83,8.5,14.5,15.9,5,9,10.63,8.4,12.5,13.9
"3",12.4,17,18.2,12.9,18.6,19.73,8.5,14.26,15.73,4.9,9,10.36,8.4,12.3,13.73
"4",12.4,17,18.03,12.8,18.5,19.6,8.4,14.16,15.63,4.8,8.8,10,8.2,12.2,13.7
"5",12.3,17,18.03,12.8,18.46,19.5,8.5,14.06,15.53,4.7,8.76,10,8.2,12.2,13.7
"6",12.3,17,18.03,12.7,18.4,19.5,8.4,14,15.4,4.8,8.6,10,8.2,12.16,13.63
"7",12.2,17,18,12.7,18.26,19.5,8.4,14,15.3,4.7,8.3,10,8.2,11.9,13.43
"8",12.2,17,18,12.7,18,19.4,8.4,14,15.23,4.6,8.26,10,8.2,11.9,13.3
"9",12.2,17,18,12.7,17.96,19.4,8.4,13.96,15.2,4.6,8,10,8.2,11.86,13.2
"10",12.2,17,18,12.7,17.9,19.4,8.4,13.9,15.1,4.6,8,9.73,8.2,11.8,13.2
"11",12.3,17,18,12.8,17.9,19.4,8.4,13.9,15.03,4.5,8,9.8,8.2,11.8,13.1
"12",12.3,17,18,12.8,17.9,19.4,8.4,13.9,15.1,4.5,8,9.8,8.2,11.8,13.1
"13",12.3,17,18,12.8,17.9,19.4,8.4,13.9,15.2,4.5,8,10,8.2,11.76,13.1
"14",12.3,17,18,12.8,18,19.4,8.4,14,15.2,4.5,8,9.8,8.2,11.7,13.1
"15",12.3,17,18,12.8,18.14,19.47,8.4,14,15.2,4.6,8,9.93999999999999,8.2,11.7,13.1
"16",12.3,17,18,12.8,18,19.4,8.4,14,15.2,4.5,8,9.66999999999999,8.2,11.7,13.07
"17",12.4,17,18,12.9,18.04,19.4,8.4,14,15.2,4.5,8,9.06999999999999,8.2,11.6,12.77
"18",12.3,17,18,12.8,18.04,19.4,8.4,14,15.2,4.5,8,9,8.2,11.6,12.8
"19",12.3,17,18,12.8,17.9,19.3,8.4,13.9,15.1,4.5,8,9,8.2,11.5,12.7
"20",12.4,17,18,12.9,17.7,19.27,8.4,13.9,15.07,4.4,8,9,8.1,11.4,12.6
"21",12.4,17,18,12.9,17.84,19.27,8.4,13.9,15,4.4,8,9,8.1,11.4,12.67
"22",12.4,17,18,12.9,17.84,19.2,8.4,13.9,15.07,4.5,8,9,8.2,11.4,12.7
"23",12.4,17,18,12.9,17.8,19.07,8.5,13.8,15,4.5,8,9,8.2,11.34,12.6
"24",12.4,17,18,12.9,17.7,19,8.5,13.8,15,4.5,8,9,8.1,11.3,12.6
"25",12.5,17,18,12.9,17.8,19,8.4,13.84,15.07,4.4,8,9,8.1,11.3,12.6
"26",12.5,17,17.965,13,17.8,19,8.5,13.9,15.1,4.4,8,9,8.1,11.3,12.6
"27",12.6,17,18,13,17.7,19,8.5,13.9,15.1,4.2,8,9,8.1,11.3,12.6
"28",12.7,17,18,13,17.8,19.065,8.5,13.94,15.1,4.2,8,9,8.1,11.33,12.6
"29",12.75,17,18,13,17.8,19.065,8.5,14.05,15.1,4.2,8,9,8.1,11.43,12.665
"30",12.75,17,18,13,17.9,19.1,8.5,14.1,15.2,4.2,8,9,8.1,11.4,12.665
"31",12.7,17,18,13,17.9,19.1,8.5,14.1,15.1,4,8,9,8.1,11.43,12.8
"32",12.7,17,18,13,18,19.2,8.5,14.1,15.2,4,8,9,8.1,11.5,12.8
"33",12.75,17,18,13,18.1,19.265,8.5,14.1,15.2,4,8,9,8.2,11.53,12.865
"34",12.7,17,18,13,18.23,19.365,8.5,14.3,15.2,4,8,9,8.15,11.6,12.9
"35",12.6,17,18,13,18.2,19.265,8.5,14.11,15.2,4,8,9,8.1,11.6,12.9
"36",12.7,17.03,18.2,13,18.3,19.4,8.4,14.22,15.2,4,8,9,8.1,11.6,13.065
"37",12.7,17.03,18.2,13,18.3,19.4,8.4,14.1,15.2,4,8,9,8.1,11.63,13.065
"38",12.65,17.03,18.2,13,18.3,19.365,8.4,14.14,15.2,4,8,9.19499999999999,8.1,11.7,13.1
"39",12.65,17.03,18.2,13,18.23,19.365,8.4,14.15,15.2,4,8,9,8.1,11.63,13.065
