"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",12.4,17,18,12.8,18,19.4,8.4,14,15.2,4.5,8,9.4,8.2,11.6,12.9
"2",12.9,17.1,18.385,13,18.2,19.385,8.5,14.06,15.28,4,8,9,8.2,11.7,13.1
"3",15,20,21.3,15.9,21.3,22.8,11.7,17.5,19.1,6,10,11,10.6,14.3,15.2
"4",18,22.9,24,19.3,24.3,26.21,15,20.63,22.415,8.8,12,13,13.5,16.7,17.5
"5",23,28,29,25.2,30.99,32.845,21.7,27.7,29.5,13,16,17,17.9,21.8,22.9
"6",27,32.52,34.4,30,36.9,39.4,26.7,33.7,36.4,16.8,20.22,21.01,22.1,26.4,27.705
"7",29.3,34.3,36.045,33.5,39.4,41.145,30.2,36.31,38.2,19.6,22.5,23.2,24.8,28.29,29.245
"8",29.6,34,35.4,34.3,39.2,41.545,31.1,36.49,38.4,19.7,22.19,23,24.8,27.8,28.945
"9",25.7,30,31.8,29.5,35.1,36.925,26.45,31.95,33.625,16,19.22,20,21,24.1,25.1
"10",21.5,27,28,24.3,30.8,33,20.9,27.5,29.74,13,16.1,17.145,16.9,20.8,21.845
"11",17,21.11,22.6,18.2,23.9,25.7,14.2,19.85,21.425,8.3,13,14,12.6,16.4,17.8
"12",13.45,18,19,14.1,19.3,20.9,9.65,15.29,17.1,5.95,10,11,9.3,13.4,14.445
