"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",6,10,11.345,5.8,10.3,11.9,2.2,7.7,8.9,-0.4,4,4.84,2.65,6.2,7.13499999999999
"2",6,10,11.3,5.8,10.29,11.6,2.1,7.5,8.8,-0.4,4,4.9,2.65,6.2,7.1
"3",6,10,11.5,5.8,10.3,11.9,2.1,7.5,8.74499999999999,-0.4,4,4.84,2.6,6.2,7.13499999999999
"4",6,10,11.345,5.7,10.2,11.8,2.1,7.4,8.6,-0.55,4,4.9,2.6,6.2,7.1
"5",6,10,11.445,5.6,10.2,11.845,2,7.5,8.6,-1,4,4.8,2.6,6.2,7.03499999999999
"6",6,10,11.545,5.6,10.3,11.9,2,7.5,8.6,-1,4,4.8,2.4,6.1,7.1
"7",6,10,11.545,5.6,10.29,11.9,1.9,7.6,8.65,-1,3.88000000000001,4.7,2.4,6.1,6.96999999999998
"8",6,10,11.545,5.5,10.3,11.9,2,7.7,8.8,-1,3.6,4.7,2.3,6,6.9
"9",6,10,11.445,5.5,10.3,11.9,2,7.6,8.8,-1,3.6,4.7,2.3,6,6.9
"10",6,10,11.445,5.5,10.3,11.9,2,7.7,8.8,-1,3.6,4.7,2.3,6,6.9
"11",6,10.1,11.545,5.6,10.4,11.9,2,7.8,8.85,-1,3.58000000000001,4.64,2.3,6,6.96999999999998
"12",6,10.1,11.545,5.6,10.4,11.9,2.1,7.8,8.8,-1,3.58000000000001,4.6,2.35,6,6.9
"13",6,10.19,11.735,5.7,10.4,11.9,2.1,7.8,8.8,-0.9,3.58000000000001,4.6,2.4,5.9,6.9
"14",6,10.29,12,5.8,10.59,11.9,2.2,7.8,8.8,-1,3.58000000000001,4.6,2.4,5.9,6.9
"15",6,10.5,12,5.95,10.7,11.9,2.3,7.9,8.8,-0.7,3.6,4.68,2.5,6,6.9
"16",6,10.77,12,6,10.7,11.985,2.3,7.9,8.8,-0.5,3.6,4.68,2.55,6,6.9
"17",6,11,12,6,10.8,12.085,2.3,8,8.9,-0.4,3.56,4.77999999999999,2.6,6,7.05
"18",6,11,12.185,6,10.97,12.185,2.5,8.18000000000001,9,-0.4,3.56,4.68,2.6,6.1,7.1
"19",6,11,12.2,6,11.07,12.3,2.5,8.2,9,-0.3,3.36,4.77999999999999,2.6,6.1,7.05
"20",6.2,11,12.2,6.1,11.1,12.3,2.6,8.2,9,-0.3,3.6,4.8,2.7,6.1,6.9
"21",6.3,11.1,12.3,6.2,11.1,12.385,2.8,8.2,9,-0.2,3.6,4.9,2.8,6.2,7.1
"22",6.45,11.4,12.4,6.3,11.3,12.6,2.9,8.4,9.4,-0.1,3.7,4.9,2.8,6.2,7.175
"23",6.75,11.47,12.585,6.4,11.4,12.7,3,8.48000000000001,9.59,0,3.7,4.9,2.9,6.4,7.2
"24",7,11.72,12.98,6.5,11.7,13.1,3.05,8.6,9.7,0,3.7,4.9,2.9,6.4,7.4
"25",7,12,13,6.6,11.8,13.38,3.3,8.7,9.9,0,3.7,5,3,6.5,7.4
"26",7,12,13.2,6.7,11.9,13.6,3.3,8.8,10.3,0,3.7,5,3.1,6.5,7.5
"27",7,12,13.3,6.8,12.1,13.675,3.4,8.85,10.475,0,3.6,5,3.1,6.6,7.6
"28",7,12.1,13.4,6.85,12.1,13.675,3.4,8.85,10.575,0,3.7,5,3.1,6.7,7.6
"29",7,12.2,13.47,7.1,12.24,13.77,3.6,8.9,10.87,0,3.6,5,3.2,6.7,7.665
"30",7.2,12.3,13.6,7.2,12.44,13.9,3.7,9,11,0,3.6,5,3.2,6.7,7.7
"31",7.3,12.44,14,7.3,12.6,14,3.8,9.34,11.1,0,3.7,5,3.2,6.9,7.765
"32",7.3,12.6,14,7.3,12.64,14,3.9,9.4,11.1,0,3.8,5,3.3,6.9,7.8
"33",7.5,12.7,14,7.4,12.8,14.1,3.9,9.6,11.2,0,3.8,5,3.4,7,7.965
"34",7.95,12.73,14.165,7.4,12.83,14.1,4,9.6,11.2,0,3.83000000000001,5,3.4,7.1,8
"35",8,13,14.33,7.6,13,14.165,4.2,9.83000000000001,11.3,0,3.9,5,3.55,7.2,8
"36",8,13,14.6,7.8,13.2,14.3,4.3,10.1,11.53,0,4,5,3.7,7.2,8
"37",8,13.2,14.865,7.9,13.3,14.8,4.35,10.2,11.9,0,4,5,3.7,7.3,8.165
"38",8,13.4,15,8,13.7,14.9,4.5,10.6,12.065,0,4,5,3.8,7.4,8.2
