"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",5.25,10,11,4.7,9.5,10.7,2.9,8,9.48,-4.4,1,2,0.2,4.19,5.24499999999999
"2",5.3,10,11,4.7,9.55,10.9,2.9,8,9.6,-4.5,1,2,0.2,4.1,5.24
"3",5.3,10,11.07,4.8,9.6,10.9,2.9,8.1,9.66999999999999,-4.55,1,2,0.2,4.1,5.1
"4",5.3,10,11,4.75,9.6,10.83,2.9,8,9.6,-4.6,1,2,0.2,3.96,5.03
"5",5.3,10,11.2,4.8,9.6,10.9,2.95,8,9.65499999999999,-4.6,0.95,2,0.15,3.9,5.025
"6",5.4,10,11.2,4.8,9.6,10.9,3,8,9.6,-4.6,0.9,2,0.1,3.94,5.11999999999999
"7",5.5,10,11.21,4.9,9.6,10.945,3.05,8.1,9.64499999999999,-4.6,0.9,2,0.2,3.92,5.10999999999999
"8",5.6,10,11.205,4.9,9.6,10.9,3.1,8.1,9.6,-4.6,0.7,2,0.2,3.9,4.9
"9",5.6,10,11.295,4.95,9.6,10.9,3.1,8,9.6,-4.55,0.7,2,0.25,3.9,4.9
"10",5.6,10,11.3,5,9.6,10.9,3.1,7.9,9.6,-4.3,0.9,2,0.3,3.9,4.9
"11",5.65,10,11.3,5,9.6,10.9,3.1,7.83000000000001,9.6,-4.2,0.9,1.88499999999999,0.4,3.9,4.88499999999999
"12",5.8,10.1,11.4,5.1,9.7,11,3.2,8.19,9.7,-4.1,0.9,1.8,0.5,3.9,4.8
"13",5.8,10.2,11.4,5.1,9.7,10.9,3.2,8.18000000000001,9.69,-4,0.9,1.8,0.6,3.94,4.8
"14",6,10.2,11.36,5.2,9.7,10.9,3.2,8.1,9.68499999999999,-4,0.9,1.95999999999999,0.6,4.1,4.85999999999999
"15",6,10.3,11.5,5.3,9.85,11,3.3,8.3,9.8,-4,0.9,2,0.7,4.1,4.9
"16",6,10.4,11.78,5.3,9.9,11.03,3.4,8.3,9.8,-4,0.9,2,0.7,4.1,4.9
"17",6,10.47,11.985,5.4,9.92000000000001,11.2,3.4,8.4,9.8,-4,0.9,2,0.8,4.17,5.1
"18",6,10.66,12,5.4,10.12,11.3,3.4,8.5,10.12,-4,0.960000000000002,2,0.8,4.3,5.2
"19",6,10.75,12.075,5.5,10.31,11.8,3.6,8.7,10.405,-4,0.9,2,0.9,4.3,5.375
"20",6.1,11,12.27,5.6,10.4,11.9,3.6,8.8,10.6,-4,0.939999999999998,2,1,4.3,5.4
"21",6.2,11,12.665,5.65,10.5,12.295,3.8,8.9,10.7,-3.95,1,2,1.1,4.4,5.465
"22",6.4,11.3,13,5.8,10.68,12.5,3.9,9.2,11.2,-3.6,1,2,1.2,4.6,5.65999999999999
"23",6.7,11.41,13,5.9,10.8,12.6,4.1,9.5,11.39,-3.4,1,2,1.3,4.7,5.855
"24",7,12,13.3,6.1,11.17,12.8,4.2,9.8,11.685,-3.3,1,2,1.4,4.9,6
"25",7,12,13.44,6.2,11.35,12.9,4.3,10.1,11.875,-3.2,1,2,1.6,5.1,6.24
"26",7,12.1,13.535,6.3,11.55,12.975,4.4,10.3,12,-3,1,2,1.6,5.3,6.4
"27",7.2,12.4,13.6,6.5,11.8,13.1,4.5,10.54,12.07,-3,1,2.53,1.7,5.56,6.6
"28",7.3,12.55,13.7,6.5,11.83,13.165,4.6,10.6,12.1,-3,1.15,2.625,1.8,5.6,6.625
"29",7.4,12.8,14,6.7,12,13.255,4.6,10.7,12.155,-3,1,2.71999999999999,1.8,5.74,6.7
"30",7.5,12.93,14,6.7,12,13.6,4.7,10.7,12.25,-3,1.03000000000001,2.815,1.9,5.8,6.8
"31",7.5,13,14,6.8,12.1,13.79,4.7,10.8,12.4,-3,1.1,3,1.9,5.9,6.9
"32",7.7,13,14.31,6.8,12.3,14.1,4.7,11,12.55,-3,1.22,3,2.1,6.02,7.1
"33",8,13,14.515,6.9,12.4,14.155,4.8,11.11,12.855,-3,1.53000000000001,3,2.2,6.1,7.115
"34",8,13.03,14.515,7,12.4,14.26,5,11.2,12.9,-3,1.8,3,2.3,6.2,7.2
"35",8,13.1,14.63,7.1,12.5,14.3,5,11.23,12.9,-2.9,2,3,2.4,6.2,7.2
"36",8.1,13.2,14.9,7.2,12.7,14.3,5.1,11.4,13,-2.7,2,3,2.6,6.24,7.23999999999999
"37",8.2,13.3,15,7.3,12.8,14.4,5.2,11.5,13.1,-2.6,2,3,2.6,6.3,7.4
"38",8.4,13.6,15.025,7.4,12.86,14.68,5.4,11.66,13.2,-2.5,2,3,2.7,6.4,7.725
"39",8.6,13.7,15.1,7.5,13,14.8,5.55,11.7,13.285,-2.4,2,3,2.8,6.6,7.9
"40",8.85,14,15.55,7.7,13.2,14.895,5.7,11.79,13.4,-2.3,2,3,2.9,6.7,8.2
"41",9,14,15.725,7.8,13.3,14.995,5.8,11.8,13.4,-2.2,2.3,3.25,3,6.85,8.6
