"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",6,10.6,12,5.4,10.12,11.21,3.4,8.5,10.1,-4,0.9,2,0.8,4.3,5.27999999999999
"2",9.1,14.98,16.5,8.3,14.3,15.8,6.4,12.7,14.3,-2,3,4,3.6,7.9,9.6
"3",15.1,20.9,22,14.7,20.5,22.2,12.3,18.52,20.86,3,8,9,9.4,13.7,15.1
"4",19,24.2,25.6,18.8,25,26.5,16.3,23,24.76,6.3,10,11.415,12.9,17.3,18.3
"5",24,29,30,25.4,31.5,32.9,23,29.7,31.6,11,15,16,17.7,22.2,23.4
"6",27.1,32,33.2,29.7,36.4,37.845,27.6,34.7,36.1,14.6,18.5,19.5,21.4,25.7,26.4
"7",29.9,33.5,34.81,33.3,38.3,39.75,31,36.6,38.3,16.8,20,21,23.7,27.1,27.9
"8",29,33,34,32.8,37.87,39.485,30.9,36.5,38.2,16.2,19,20,22.9,26.3,27.37
"9",24.6,28.1,29.2,27,32.4,33.9,25.4,31.6,33.365,12.7,16.2,17.245,18.4,21.8,23
"10",18.1,23,24.1,19.4,25.6,27.1,18,24.5,26.1,8,13,14,12.8,16.9,18.3
"11",11,16,17.275,10.85,16.8,18.2,9.2,15.46,17,0.75,7,8.225,5.8,10.6,11.4
"12",6.35,10.95,12,5.8,10.7,11.8,3.8,9.2,10.48,-3,2,3.9,1.2,5.4,6.525
