"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",15,17.4,18.4,16,19.7,20.9,11.2,15.7,16.8,5.8,10,11,9.9,13.3,14.23
"2",15,17.4,18.4,15.9,19.6,20.8,11.2,15.66,16.73,5.8,10,11,9.9,13.3,14.1
"3",15,17.4,18.2,15.9,19.46,20.6,11.2,15.5,16.53,5.4,10,11,9.9,13.2,14.1
"4",14.8,17.2,18.2,15.8,19.4,20.53,11.1,15.5,16.5,5,10,11,9.8,13.2,13.93
"5",14.8,17.2,18.2,15.8,19.4,20.5,11,15.5,16.5,5,10,11,9.8,13.2,14.03
"6",14.8,17.2,18.2,15.7,19.4,20.5,11.1,15.4,16.4,5,10,11,9.7,13.16,14.03
"7",14.8,17.2,18,15.8,19.3,20.5,11.2,15.4,16.4,5,10,11,9.7,13.1,13.9
"8",14.8,17,18,15.8,19.16,20.3,11.1,15.26,16.4,5,10,11,9.7,13.1,13.8
"9",14.8,17,18,15.7,19,20.03,11.1,15.2,16.3,5,10,11,9.7,13.06,13.8
"10",14.8,17,18,15.7,19,19.9,11.1,15.16,16.1,5,10,11,9.7,13,13.8
"11",14.8,17,18,15.7,18.9,19.9,11,15.1,16.13,5,10,11,9.7,13,13.8
"12",14.8,17,18,15.7,19,19.93,11,15.1,16.1,5,10,11,9.7,13.06,13.8
"13",14.8,17,18,15.7,19,20.1,11,15.1,16.1,5,10,11,9.7,13,13.8
"14",14.8,17,18,15.7,19,20.13,11.1,15.1,16.1,5,10,11,9.7,13,13.7
"15",15,17,18,15.7,19.1,20.3,11,15.1,16.27,5,10,11,9.7,13.1,13.77
"16",14.8,17,18,15.7,19.1,20.3,11,15.1,16.27,5,10,11,9.7,13.1,13.7
"17",15,17,18,15.8,19,20.27,11,15,16.17,5,10,11,9.7,13,13.7
"18",15,17,18,15.8,19,20.17,11,15,16.27,5,10,11,9.7,13,13.7
"19",15,17,18,15.8,19,20.17,11,15,16.27,5,10,11,9.7,13,13.7
"20",15,17,18,15.9,19.1,20.17,11.1,15,16.37,5,10,11,9.7,13,13.7
"21",15,17,18,15.9,19.04,20.07,11.2,15,16.17,5,10,11,9.7,13,13.7
"22",15,17,18,15.9,19,19.87,11.2,15,16.1,5,10,11,9.7,13,13.7
"23",15,17,18,15.9,19,19.87,11.2,15,16.1,5,10,11,9.7,13,13.7
"24",15,17,18,15.9,18.9,19.8,11.1,15,16.1,5,10,11,9.8,13,13.7
"25",15,17,18,15.9,19,19.9,11.1,15,16.1,5,10,11,9.8,13,13.7
"26",15,17.06,18,15.9,19,19.9,11.1,15,16.1,5,10,11,9.9,13.1,13.7
"27",15,17.2,18,15.9,19.1,19.9,11.1,15,16.1,5.3,10,11,9.9,13.1,13.7
"28",15,17.2,18,16,19.1,19.9,11.2,15,16.1,5.2,10,11,9.9,13.1,13.765
"29",15,17.2,18,16,19,19.9,11.2,14.9,16.1,5.4,10,11,9.9,13.1,13.8
"30",15,17.26,18,16,19.1,19.965,11.2,15,16.1,5.4,10,11,9.9,13.1,13.8
