"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",15,17,18,15.7,19,20.15,11,15,16.15,5,10,11,9.7,13,13.7
"2",15,18,19,16.2,19.8,20.885,11.1,15.4,16.4,5.4,10,11,10.2,13.3,13.985
"3",17,20.2,21.69,18.4,22.6,23.845,12.9,17.8,19,7,11.18,12.4,12.1,14.8,15.545
"4",19.2,22.8,24,21.1,25.11,26.2,15.4,20.4,21.405,9,13,14,14.2,16.9,17.4
"5",23.6,27.4,29,26.3,31.49,32.9,21.15,26.6,28,13,17,17.8,18.2,21.3,22.2
"6",28,32,34,31.95,37.21,39.105,26.4,32.3,34.23,16.8,20,21,22.2,25.6,26.405
"7",31,35,36.29,36.4,41.59,43.49,30.9,36.6,38.8,19.8,22.6,23,25.3,27.7,28.6
"8",31,35,36.4,37.1,42.1,43.49,32.1,37.6,39.065,20,23,24,25.6,28.1,28.8
"9",28,31,32,32.9,37.4,38.8,28.1,32.81,34.3,17,21,22,22.4,25.1,25.605
"10",24,27,28,27.7,32.49,34,23.3,28.1,29.8,14,18.04,19.71,18.9,22.1,22.9
"11",19,22,23,21.25,25.3,26.505,16.9,21.8,23.2,10,14,15,14.2,17.5,18.3
"12",15.6,18.6,19.2,17,20.9,21.9,12.2,17.2,18.4,7,11,12,10.8,14.3,15.3
