"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",7,12,13.2,6.8,12,13.5,1.9,8.75,10.475,2.2,7,8,4.4,9.1,10.2
"2",7,12,13.2,6.8,11.9,13.4,1.9,8.6,10.4,2,6.9,7.8,4.4,9,10.07
"3",7,12,13.2,6.7,11.9,13.4,1.7,8.6,10.4,2,6.8,7.8,4.3,9,9.9
"4",7,12,13.2,6.7,11.9,13.3,1.85,8.7,10.4,2,6.7,7.6,4.3,8.9,9.9
"5",7,12,13.2,6.6,11.9,13.3,1.9,8.7,10.4,2,6.6,7.6,4.3,8.9,9.9
"6",7,12,13.2,6.5,11.9,13.3,1.9,8.7,10.4,2,6.6,7.6,4.25,8.8,9.9
"7",7,12,13.2,6.5,11.83,13.3,1.9,8.8,10.5,2,6.4,7.4,4.2,8.8,9.82999999999999
"8",7,12,13.14,6.6,11.8,13.2,1.9,8.9,10.5,2,6.4,7.2,4.2,8.7,9.7
"9",7,12,13,6.7,11.76,13,2,8.86,10.4,2,6.4,7,4.2,8.6,9.6
"10",7,12,13,6.7,11.7,12.9,2,8.88000000000001,10.4,2,6.4,7,4.25,8.5,9.5
"11",7,12,13,6.7,11.68,12.89,1.9,8.8,10.45,2,6.4,7,4.3,8.5,9.4
"12",7,12,13,6.6,11.6,12.9,1.9,8.7,10.4,2,6.4,7,4.2,8.5,9.4
"13",7,12,13,6.5,11.6,12.99,1.8,8.7,10.4,2,6.4,7,4.2,8.5,9.4
"14",7,12,13,6.55,11.6,12.9,1.7,8.72,10.4,2,6.16000000000001,7,4.2,8.5,9.4
"15",7,12,13,6.6,11.7,12.925,1.6,8.72,10.4,2,6,7,4.2,8.6,9.5
"16",7,12,13,6.6,11.7,12.9,1.6,8.7,10.41,2,6,7,4.25,8.6,9.425
"17",7,12,13,6.6,11.6,12.825,1.6,8.83000000000001,10.5,2,6,7,4.2,8.5,9.4
"18",7,12,13,6.55,11.7,12.9,1.6,8.9,10.525,2,6,7,4.2,8.5,9.4
"19",7,12,13,6.6,11.68,12.9,1.6,8.9,10.63,2,6,7,4.2,8.47,9.4
"20",7,12,13,6.6,11.7,12.9,1.7,9.06,10.76,2,6,7,4.2,8.4,9.33499999999999
"21",7,12,13,6.65,11.7,13,1.7,9.3,10.9,2,6,7,4.2,8.4,9.4
"22",7,12,13,6.7,11.7,12.95,1.8,9.2,10.9,2,6,7,4.25,8.3,9.3
"23",7,12,13,6.7,11.7,12.9,1.75,9.3,10.9,2,6,6.90999999999999,4.3,8.3,9.15
"24",7,12,13.1,6.75,11.9,13,1.7,9.4,10.945,2,6,6.8,4.3,8.3,9.2
"25",7,12.2,13.2,6.8,11.9,13.1,1.75,9.39,11,2,6,6.9,4.3,8.3,9.24499999999999
"26",7,12.2,13.2,6.8,11.9,13.1,1.8,9.3,11,2,6,6.8,4.3,8.3,9.2
"27",7,12.4,13.48,6.9,12,13.145,1.8,9.3,11,2,6,6.8,4.3,8.3,9.2
"28",7.2,12.36,13.48,6.9,12,13.1,1.8,9.3,11,2,6,6.8,4.4,8.3,9.2
"29",7.2,12.36,13.48,6.9,12,13.1,1.8,9.3,11,2,6,6.8,4.4,8.28000000000001,9.1
"30",7.2,12.4,13.8,6.95,12,13.1,1.8,9.3,11,2,6,6.85999999999999,4.4,8.3,9.2
"31",7.2,12.4,13.8,7,12.17,13.235,1.8,9.4,11.1,2,6,7,4.4,8.36,9.23
"32",7.2,12.4,13.86,7,12.17,13.235,1.8,9.39,11.1,2,6,7,4.5,8.4,9.3
"33",7.2,12.4,14,7,12.17,13.3,1.7,9.3,11.1,2,6,7,4.4,8.4,9.33
"34",7.4,12.4,14,7,12.2,13.335,1.7,9.3,11.1,2,6,7,4.4,8.4,9.4
"35",7.4,12.4,14,7.1,12.2,13.4,1.6,9.38000000000001,11.1,2,6,7,4.4,8.5,9.4
"36",7.4,12.4,14,7.1,12.2,13.335,1.5,9.38000000000001,11.04,2,6,7,4.4,8.56,9.4
"37",7.4,12.5,14,7.1,12.3,13.4,1.4,9.4,11.235,2,6,7,4.4,8.6,9.4
"38",7.4,12.46,14,7.1,12.3,13.42,1.35,9.45,11.35,2,6,7,4.4,8.6,9.4
"39",7.2,12.6,14,7,12.4,13.515,1.3,9.6,11.5,2,6,7,4.3,8.6,9.4
