"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",7,12,13,6.6,11.7,12.92,1.6,8.72,10.5,2,6,7,4.25,8.5,9.4
"2",7.6,13,14.6,7.1,12.8,14.4,1.6,10.1,11.95,2,6,7.3,4.3,9,9.95
"3",11,17,18.2,10.35,16.8,18.3,5.5,14.6,16.435,4,8.8,10,7,12.1,13.69
"4",14,19,20.4,13.9,19.13,20.9,9.7,17.5,19.1,7,11,12,10,14.6,15.86
"5",19.2,24.42,26,20.05,25.9,27.3,16.7,24.2,26.3,11,16,17.01,15,20.1,21.4
"6",24,29.2,30.75,25.1,31.35,33.35,22.2,30.42,32.61,15,20.2,21.8,19.1,24.54,25.8
"7",27,32,33.2,28.6,34.2,35.5,26,33.27,34.935,18,22.2,23.6,22.3,26.9,28.1
"8",27.2,31.6,32.37,29.2,33.9,35.1,26.9,33,34.645,18,22.4,23,22.3,26.6,27.6
"9",22,27,28,23.8,29.1,30.2,21.15,27.8,29.5,14.4,18,19.4,17.8,22,23.3
"10",17.4,23,24.2,18.5,24.4,26.2,15.1,22.8,25.3,11,15,16.17,13.5,18.2,19.4
"11",11.6,17,18,11.9,17.75,19.2,7.4,15.36,17.4,6.1,10.4,11.8,8.6,13.04,14.2
"12",8,12.6,14,7.8,12.96,14.3,3,10.1,11.7,3,7.4,8.4,5.4,9.5,10.8
