"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",16,19.6,20.4,17.2,21.5,22.9,13.2,18,19.14,6,10,11,10.4,13.5,14.6
"2",16,19.5,20.2,17.2,21.4,22.68,13.2,17.9,19,6,10,11,10.4,13.4,14.4
"3",16,19.4,20.2,16.9,21.3,22.5,13.1,17.78,18.74,5.8,10,11,10.35,13.4,14.27
"4",16,19.39,20.045,16.9,21.29,22.5,13,17.7,18.7,5.6,10,11,10.3,13.3,14.2
"5",16,19.3,20,16.9,21.1,22.5,13,17.6,18.645,5.4,10,11,10.25,13.3,14.135
"6",16,19.2,20,16.8,21.1,22.5,12.9,17.6,18.6,5,10,11,10.2,13.3,14.1
"7",16,19.1,20,16.8,21.09,22.5,12.9,17.59,18.6,5,10,11,10.1,13.2,14.1
"8",16,19.1,20,16.8,21,22.2,13,17.4,18.4,5,10,11,10.1,13.17,14.035
"9",16,19,20,16.8,21,22,13,17.3,18.3,5,10,11,10.1,13.1,13.9
"10",16,19,20,16.8,20.9,21.945,12.9,17.3,18.3,5,10,11,10.1,13.1,13.9
"11",16,19,20,16.7,20.8,21.9,12.8,17.3,18.3,5,10,11,10.1,13.1,13.9
"12",16,19,20,16.7,20.79,21.9,12.8,17.3,18.3,5,9.97,11,10.1,12.97,13.8
"13",16,19,20,16.7,20.8,21.9,12.8,17.3,18.3,5,9.9,11,10.1,12.9,13.8
"14",16,19,20,16.7,20.9,21.9,12.85,17.3,18.4,5,9.77,11,10.2,13,13.8
"15",16,19.07,20,16.8,20.9,22,13,17.4,18.5,5,9.7,10.9,10.2,13.1,13.875
"16",16,19,20,16.8,20.9,21.985,13,17.4,18.585,5,9.45,10.35,10.15,13.1,13.875
"17",16,19,20,16.8,20.86,22,13,17.4,18.6,5,9,10.075,10.1,13.1,13.8
"18",16,19,20,16.7,20.86,22,13,17.4,18.58,5,9,10,10.15,13.1,13.8
"19",16,19,20,16.7,20.8,21.98,13,17.36,18.58,5,9,10.2,10.2,13.05,13.8
"20",16,19,20,16.8,20.8,21.9,13.1,17.4,18.48,5,9,10.15,10.2,13.1,13.775
"21",16,19,20,16.8,20.8,21.9,13.1,17.4,18.5,5,9,10.15,10.1,13,13.775
"22",16,19,20,16.8,20.76,21.88,13.1,17.4,18.5,5,9,10.2,10.2,13,13.8
"23",16,19,20,16.8,20.76,21.7,13.1,17.4,18.5,5,9.15,10.4,10.2,13,13.8
"24",16,19,20,16.8,20.76,21.7,13,17.4,18.5,5,9,10.2,10.2,13.1,13.8
"25",16,19,20,16.8,20.8,21.9,13.1,17.46,18.6,5,9,10.2,10.2,13.1,13.8
"26",16,19,20,16.9,20.8,21.9,13,17.5,18.775,5,9.18,10.34,10.2,13.04,13.77
"27",16,19,20,16.9,20.8,21.9,13,17.5,18.675,5,9,10.2,10.3,13,13.7
"28",16,19,20.075,16.9,20.8,22.15,13,17.55,18.775,5,9,10.2,10.3,13.1,13.77
