"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",16,19,20,16.8,20.9,22,13,17.4,18.465,5,9.41,10.4,10.2,13.1,13.855
"2",16.3,20,20.7,17.4,21.57,22.8,12.85,17.8,18.885,5,9,10,10.4,13.3,14.285
"3",18.2,22,23.3,19.6,23.8,25.245,15.6,20.2,21.645,6.2,10.8,12,12.2,15.09,15.8
"4",20.55,23.91,25.2,22.5,26.5,28.005,18.3,22.7,24.305,8.75,12.6,13.81,14.6,17.01,17.7
"5",24.4,28.1,30,27.4,32.1,33.85,23.6,29,30.6,12,16,17,18.6,21.6,22.4
"6",28.8,33,35,33,38.2,40.715,29.5,35.3,37.7,16.35,19.8,20.6,22.7,26,27
"7",31.6,35.89,37.49,37.5,42.4,44.345,34.2,39.5,41.39,19,22,22.8,25.75,28.4,29.345
"8",32.1,36,37.545,38.9,43.6,45.245,35.7,40.4,41.9,20,22,23,26.2,28.3,29
"9",29.2,32.7,34,34.8,39.4,41.405,31.4,36.21,38,17.9,20.9,21.4,23.3,25.7,26.4
"10",25.4,29,30,29.6,34.5,35.8,26.2,31.6,33,14.6,18,19,19.7,22.4,23.245
"11",20.7,24.4,25.2,23,28.2,29.31,19.3,25.3,26.4,10,14,15,14.9,18.2,18.9
"12",17,20,21,18.4,22.4,23.6,14.2,18.99,20.045,7,11,12,11.5,14.4,15.345
