"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",13,16.2,17.2,13.5,17.6,18.685,7.1,13.67,15.585,7,11.2,13,10.2,13.6,14.6
"2",13,16.14,17,13.5,17.5,18.6,7.1,13.6,15.5,6.8,11,13,10.1,13.55,14.4
"3",13,16,17,13.4,17.4,18.49,7,13.5,15.29,6.6,11,12.38,10.1,13.4,14.38
"4",13,16,17,13.3,17.4,18.4,7,13.6,15.2,6.4,11,12,9.9,13.4,14.2
"5",13,16,17,13.3,17.4,18.4,7,13.6,15.1,6.2,11,12,9.9,13.3,14.2
"6",13,16,17,13.3,17.3,18.3,6.9,13.5,15,6.2,11,12,9.8,13.3,14.2
"7",13,16,17,13.3,17.3,18.3,7,13.5,15.1,6.2,11,12,9.8,13.2,14.095
"8",13,16,17,13.3,17.3,18.1,7.1,13.5,15.1,6,11,12,9.8,13.2,14
"9",13,16,17,13.3,17.2,18.01,7.1,13.5,15.1,6,10.44,12,9.8,13.1,14
"10",13,16,17,13.4,17.2,18,7.1,13.3,15,6,10.64,12,9.8,13.09,13.9
"11",13,16,17,13.4,17.2,18,7.1,13.3,15,6,10.2,12,9.8,13.1,13.8
"12",13,16,17,13.4,17.2,18,7.15,13.3,15.095,6,10.2,12,9.9,12.9,13.8
"13",13,16,17,13.3,17.2,18,7.1,13.29,15,6.1,10,12,9.8,12.98,13.8
"14",13,16,17,13.3,17.2,18,7.1,13.2,15,6,10,12,9.8,13,13.8
"15",13,16,17,13.3,17.2,18.1,7.05,13.17,15,6,10.2,12,9.8,13.1,13.8
"16",13,16,17,13.3,17.2,18.1,7.1,13.1,14.935,6,10.14,12,9.8,13.1,13.8
"17",13,16,17,13.3,16.97,18.035,7.1,13,14.9,6,10.14,11.87,9.8,13,13.8
"18",13,16,17,13.2,16.9,18.035,7,13,14.9,6,10,11.8,9.7,12.95,13.8
"19",13,16,17,13.15,16.8,18,7,13,14.8,6,10,11.8,9.7,12.9,13.8
"20",13,16,17,13.2,16.7,17.9,7,12.87,14.7,6,10,11,9.7,12.8,13.7
"21",13,16,17,13.2,16.7,17.835,7,12.87,14.635,6,10,11,9.7,12.7,13.625
"22",13,16,17,13.2,16.7,17.6,7,12.8,14.435,6,10,11,9.7,12.6,13.525
"23",13,16,16.46,13.3,16.7,17.6,7,12.8,14.33,6,10,11,9.7,12.6,13.425
"24",13,16,16.85,13.3,16.7,17.6,6.95,12.85,14.4,6,10,11,9.7,12.6,13.4
"25",13,16,17,13.2,16.7,17.6,6.9,12.8,14.4,6,10,11,9.7,12.6,13.4
"26",13,16,16.84,13.3,16.7,17.6,6.9,12.8,14.22,6,10,11,9.7,12.6,13.415
"27",13,16,16.84,13.3,16.64,17.5,6.9,12.8,14.2,6,10,11,9.7,12.6,13.4
"28",13,16,16.64,13.3,16.7,17.4,6.8,12.8,14.12,6,10,11,9.7,12.6,13.4
"29",13,16,16.84,13.3,16.7,17.42,6.8,12.8,14.2,6,10,11,9.7,12.7,13.4
"30",13,16,17,13.3,16.7,17.615,6.8,12.83,14.2,6,10,11,9.7,12.7,13.41
"31",13,16,17,13.3,16.7,17.8,6.7,12.9,14.31,6,10,11,9.7,12.8,13.505
"32",13,16,17,13.3,16.7,17.81,6.7,12.9,14.21,6,10,11,9.7,12.8,13.6
"33",13,16,17,13.3,16.7,17.9,6.7,12.8,14.1,6,10,11,9.7,12.8,13.695
"34",13,16,17,13.2,16.8,18,6.5,12.8,14.1,6,10.18,11.2,9.7,12.9,13.7
"35",13,16,17,13.2,16.8,18,6.5,12.78,14.19,6,10.2,11.8,9.7,12.9,13.8
"36",13,16,17,13.2,16.8,18,6.35,12.7,14,6,10.88,11.97,9.7,13,13.8
"37",13,16,17,13.2,16.86,18.08,6.2,12.6,14,6,11,12,9.7,13.1,13.8
"38",13,16,17,13.1,16.9,18.18,6.1,12.6,14,6,11,12,9.7,13.1,13.9
"39",13,16,17,13.1,16.9,18.1,6.1,12.67,14.17,6,11,12,9.7,13.16,13.9
"40",13,16,17,13.1,16.9,18.1,6.1,12.7,14.185,6,11,12,9.7,13.1,13.9
"41",13,16,17,13.2,16.9,18.1,6.1,12.7,14.085,6,11,12,9.7,13.1,13.98
"42",13,16,17.17,13.2,17,18.1,6.1,12.77,14.185,6,11,12,9.8,13.2,14
"43",13,16,17.2,13.25,17.2,18.1,6.15,12.8,14.185,6,11,12,9.8,13.2,13.98
"44",13,16,17.2,13.3,17.2,18.1,6.3,12.8,14.2,6,11,12,9.9,13.2,13.9
"45",13,16.2,17.4,13.3,17.2,18.185,6.35,12.8,14.2,6,11,12,9.8,13.2,13.98
"46",13,16.2,17.57,13.3,17.2,18.2,6.35,12.8,14.2,6,11,12,9.9,13.2,14
"47",13,16.4,18,13.4,17.3,18.38,6.4,12.96,14.38,6,11,12,9.9,13.3,14.08
"48",13,17,18,13.4,17.5,18.685,6.5,13.07,14.6,6,11,12,10,13.3,14.185
"49",13,17,18,13.5,17.5,18.79,6.5,13.08,14.79,6.4,11,12,10.1,13.4,14.3
"50",13,17,18,13.6,17.6,18.9,6.6,13.08,14.79,6.8,11,12,10.2,13.5,14.4
"51",13.2,17,18,13.6,17.7,18.99,6.6,13.1,14.89,7,11,12,10.2,13.6,14.6
"52",13.2,17,18.19,13.6,17.7,18.995,6.5,13.1,14.9,7,11,12,10.2,13.6,14.8
"53",13.2,17,18.19,13.65,17.7,18.995,6.5,13.1,15.095,7,11,12,10.2,13.7,14.895
"54",13.2,17,18.2,13.7,17.8,19,6.6,13.1,15.195,7,11.2,12,10.2,13.79,14.9
"55",13.2,17,18.2,13.7,17.99,19,6.55,13.2,15.2,7,11.8,12,10.3,13.8,14.9
"56",13.2,17,18.2,13.7,18,19,6.6,13.39,15.295,7,11.8,12,10.3,13.9,15.095
"57",13.2,17.2,18.59,13.7,18,19.095,6.7,13.49,15.395,7,11.8,12,10.3,13.9,15.1
"58",13.2,17.2,19,13.7,18,19.2,6.8,13.6,15.4,7,11.8,12.2,10.4,13.9,15.2
"59",13.4,17.2,19,13.8,18,19.2,6.9,13.6,15.4,7,11.8,12.2,10.4,13.9,15.2
"60",13.6,17.2,19,13.9,18.09,19.2,7.1,13.8,15.5,7,11.8,12,10.45,14,15.2
