"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",13,16,17,13.3,17.04,18.1,7,13,14.9,6,10.08,12,9.8,13,13.8
"2",13,16.2,17.8,13.3,17.3,18.2,6.4,12.8,14.2,6,11,12,9.9,13.3,14
"3",15,19,20,15.6,19.9,21.2,9.3,16,17.9,8,12,13,11.9,15.1,16.035
"4",17.6,21,22,18.6,22.4,23.6,13.1,19,20.2,10,14,14.11,14.1,17.1,18.1
"5",22.4,27,28.2,24.1,29.37,30.7,19.8,26.47,28.5,14,19,20,18.6,23.2,24.285
"6",27.6,32,33.28,29.8,34.6,36.1,25.9,32.15,33.325,18,24,25,23.5,28.2,29.6
"7",30.8,34.8,36,33,37.9,39.2,29.4,35.5,37,21,25,27,26.8,30.3,31.8
"8",30.4,34,35.2,33.9,38.1,39.2,30.1,35.69,37.095,21.8,25,27,26.7,30.18,31.2
"9",26,30,31,29,34.04,35.22,24.5,31.34,32.9,18,21.88,23,22.6,25.7,26.6
"10",22,25.28,26.14,24.1,29.1,30.34,19.3,25.7,27.2,15,19,20,18.7,21.8,22.7
"11",17,20.8,21.4,18.5,23,24.1,13,18.87,20.2,11,15.76,17,14.3,17.95,18.725
"12",14,17,18,14.2,18.5,19.715,8.2,14.6,15.815,7.8,12,13.66,10.7,14.3,15.3
