"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",9,15,16.8,9,16.05,17.7,5.6,12.5,14.375,2,6.2,7.7,5.3,9.7,11.63
"2",9,15,16.7,8.9,16,17.7,5.4,12.26,14.28,2,6.12,7.7,5.3,9.7,11.6
"3",9,15,16.53,8.9,15.7,17.685,5.3,12,14.085,2,6,7.4,5.3,9.5,11.33
"4",8.8,15,16.5,8.8,15.68,17.49,5.1,11.8,13.89,2,6,7.2,5.2,9.4,11.23
"5",8.7,14.86,16.33,8.7,15.49,17.4,5,11.5,13.795,2,6,7.03,5.2,9.4,11.2
"6",8.6,14.5,16.13,8.6,15.3,17.4,4.7,11.4,13.8,2,6,7,5.2,9.4,11.03
"7",8.5,14.4,16.1,8.5,15.11,17.205,4.6,11.31,13.7,1.8,6,7,5.1,9.3,11
"8",8.4,14.4,16.1,8.4,15.22,17.11,4.6,11.4,13.71,1.7,6,7,5.1,9.2,10.83
"9",8.4,14.4,16,8.3,15.1,17.1,4.6,11.33,13.515,1.7,6,7,5.1,9.16,10.6
"10",8.4,14.4,16.03,8.2,15.24,17.1,4.6,11.4,13.52,1.7,6,7,5,9.2,10.6
"11",8.4,14.46,16.13,8.3,15.3,17.1,4.6,11.4,13.525,1.6,6,7,4.9,9.2,10.66
"12",8.4,14.5,16.33,8.2,15.3,17.33,4.6,11.46,13.73,1.6,6,7,4.9,9.3,10.83
"13",8.5,14.86,16.53,8.3,15.4,17.4,4.6,11.4,13.7,1.6,6,7,4.9,9.3,11
"14",8.6,14.76,16.53,8.4,15.38,17.4,4.6,11.4,13.7,1.4,6,7,4.9,9.3,11.03
"15",8.7,15,16.67,8.5,15.6,17.5,4.7,11.58,13.8,1.5,6,7,5.1,9.3,10.97
"16",8.7,15,16.6,8.5,15.6,17.49,4.7,11.58,13.8,1.5,6,7,5,9.2,10.97
"17",8.7,15,16.6,8.5,15.58,17.4,4.7,11.49,13.8,1.4,6,7,5.1,9.24,10.9
"18",8.7,14.78,16.44,8.5,15.3,17.4,4.7,11.4,13.7,1.5,6,7,5.1,9.2,10.87
"19",8.8,14.78,16.3,8.5,15.3,17.305,4.75,11.4,13.7,1.4,6,7,5.1,9.2,10.8
"20",8.8,14.44,16.3,8.4,15.3,17.31,4.8,11.42,13.61,1.4,6,7,5.1,9.2,10.67
"21",8.9,14.44,16.5,8.65,15.3,17.215,4.9,11.63,13.615,1.4,6,7,5.1,9.2,10.6
"22",9,14.5,16.5,8.8,15.32,17.2,4.9,11.42,13.5,1.6,6,7,5.2,9.2,10.6
"23",9,14.78,16.5,8.8,15.42,17.2,5.05,11.51,13.5,1.6,6,7,5.2,9.2,10.67
"24",9,15,16.6,8.8,15.6,17.3,5.1,11.7,13.5,1.7,6,7,5.2,9.2,10.7
"25",9,15.05,16.875,8.9,15.7,17.4,5.2,11.8,13.7,1.6,6,7,5.2,9.2,10.9
"26",9,15.2,17,9,15.8,17.5,5.3,11.98,13.7,1.5,6,7,5.2,9.3,11.17
"27",9,15.2,17,9,15.87,17.5,5.2,12,13.7,1.5,5.8,7,5.2,9.3,11.2
