"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",8.8,15,16.6,8.6,15.52,17.4,4.9,11.4,13.8,1.4,6,7,5.1,9.2,10.9
"2",10,15.9,17.19,9.9,16.52,17.91,5.9,12.5,14.1,1.3,6.16000000000001,7.18,5.7,10.3,11.8
"3",14,19.5,20.8,14.3,20.5,21.85,10.2,16.9,18.1,4.6,8.7,10,9.2,13.6,14.8
"4",17.1,21.76,23,18.4,23.3,24.7,14.6,20.4,22.2,7.3,11,12,12.5,15.9,16.7
"5",22,27.1,28.5,24.4,30.66,32.38,21.4,27.7,29.98,11.9,15.5,16.075,17.1,21.2,22.3
"6",26,30.9,31.81,29.7,35.5,37.2,26.6,32.6,34.2,15.5,19.02,20,21.3,25.4,26.5
"7",28.7,33.49,34.645,33.2,38.79,40.3,30.1,35.94,37.57,18,20.8,21.545,24,27.3,28.1
"8",28.3,32.6,34.35,33.3,38.4,39.9,30.2,35.6,37,18.2,21,22,23.7,27.1,28.05
"9",24.9,28.91,30,28.4,33.5,35.3,25.4,30.9,32.44,15,18,19,19.8,23.2,23.9
"10",20,24.99,26,22.4,28.5,29.9,19.4,25.8,27.2,11.25,15.2,16.09,15.6,19.5,20.2
"11",14,19.31,20.7,14.9,21.4,23,11.6,18,20,6.8,11.01,12.6,10.4,14.7,15.81
"12",10.1,16,17.4,10.4,16.9,18.8,6.7,13.22,15.03,3.1,7.7,8.7,6.6,11.1,12.6
