"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",10.4,15,16,10.3,16,17.4,8.2,13.97,15.3,2.6,8.2,9.43,6.3,11.4,12.6
"2",10.4,15,16,10.3,16,17.4,8.2,14,15.3,2.5,8.06,9.43,6.3,11.4,12.6
"3",10.4,15,16,10.3,15.9,17.4,8.2,13.96,15.3,2.2,8,9.23,6.2,11.3,12.5
"4",10.4,15,16,10.3,15.8,17.235,8.2,13.8,15.2,2.1,8,9.13,6.1,11.2,12.4
"5",10.4,15,16,10.35,15.8,17.3,8.2,13.86,15.2,2.2,8,9.13,6.2,11.26,12.4
"6",10.4,15,16,10.4,15.7,17.3,8.2,13.85,15.2,2.1,8,9,6.2,11.2,12.33
"7",10.5,15,16,10.4,15.7,17.3,8.3,13.8,15.1,2,8,9,6.2,11.2,12.3
"8",10.5,15,16,10.4,15.6,17.1,8.2,13.7,15.08,2,8,9,6.2,11.2,12.235
"9",10.7,15,16,10.5,15.6,17.1,8.3,13.7,15.1,2,8,9,6.2,11.1,12.2
"10",10.8,15,16,10.5,15.6,17.135,8.3,13.7,15.2,2,8,9,6.3,11.1,12.2
"11",10.85,15,16,10.5,15.6,17.135,8.3,13.7,15.2,2,8,9,6.3,11.2,12.2
"12",10.95,15,16,10.5,15.6,17.2,8.3,13.8,15.3,2,8,9,6.3,11.2,12.2
"13",11,15,16,10.6,15.77,17.2,8.4,13.9,15.3,2,8,9,6.4,11.2,12.235
"14",11,15,16,10.6,15.8,17.2,8.4,13.9,15.3,2,8,9,6.4,11.2,12.235
"15",11,15,16.175,10.7,15.85,17.275,8.5,13.9,15.3,2,8,9,6.5,11.2,12.3
"16",11,15,16.075,10.7,15.85,17.2,8.5,14,15.3,2,8,9,6.55,11.2,12.3
"17",11,15,16.2,10.75,15.8,17.175,8.5,14,15.3,2,8,9,6.6,11.2,12.275
"18",11,15,16.2,10.8,15.75,17.175,8.5,14,15.3,2,8,9,6.6,11.2,12.275
"19",11,15.1,16.4,10.9,15.85,17.2,8.5,14,15.5,2,8,9,6.7,11.2,12.2
"20",11,15.2,16.575,10.9,16,17.4,8.6,14.1,15.5,2,8,9,6.7,11.2,12.2
"21",11.2,15.3,16.6,11,16,17.5,8.7,14.3,15.6,2,8,9,6.7,11.2,12.2
"22",11.3,15.35,16.6,11.2,16,17.4,8.9,14.4,15.5,2,8,9,6.8,11.15,12.175
"23",11.35,15.4,16.6,11.3,16.06,17.48,8.9,14.4,15.6,2,8,9,6.85,11.1,11.975
"24",11.4,15.4,16.675,11.4,16,17.5,9,14.5,15.6,2,8,9,6.9,11.15,12.1
"25",11.5,15.6,17,11.5,16.2,17.5,9.2,14.6,15.7,2,8,9,6.95,11.2,12.1
"26",11.8,15.7,17,11.6,16.2,17.6,9.2,14.8,15.9,2,8,9,7,11.2,12.1
"27",12,15.74,17,11.6,16.2,17.75,9.3,14.8,15.995,2,8,9,7.1,11.2,12.1
"28",12,15.8,17,11.7,16.3,17.75,9.4,14.79,15.995,2,8,9,7.2,11.2,11.9
"29",12,16,17,11.7,16.4,17.875,9.4,14.8,16,2,8,9,7.2,11.2,11.9
"30",12,15.94,17,11.75,16.35,17.875,9.5,14.8,16,2,8,9,7.2,11.2,12.07
"31",12,15.84,17,11.9,16.25,17.75,9.5,14.8,16,2,8,9,7.2,11.24,12.07
"32",12,15.9,17,11.9,16.25,17.6,9.6,14.8,16,2,8,9,7.3,11.3,12.1
"33",12.1,16,17,12,16.3,17.6,9.6,14.8,15.995,2,8,9,7.4,11.34,12.1
"34",12.2,16,17,12.1,16.4,17.6,9.6,14.8,15.9,2.2,8,9,7.4,11.3,12.1
"35",12.2,16,17,12.1,16.4,17.6,9.6,14.8,15.995,2.2,8,9,7.5,11.4,12.2
"36",12.2,16,17.065,12.2,16.54,17.87,9.6,14.8,16,2.2,8,9,7.6,11.4,12.2
"37",12.3,16.2,17.165,12.3,16.6,17.97,9.6,14.8,16.09,2.2,8,9,7.7,11.4,12.2
