"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",11,15,16.2,10.8,15.8,17.1,8.5,13.96,15.3,2,8,9,6.6,11.2,12.255
"2",13,16.88,18,12.8,17.3,18.6,10.1,15.24,16.92,2.4,8.08000000000001,9.1,8,11.6,12.4
"3",16,20.4,21.6,16.1,21.4,22.6,13.35,19.6,21.1,5.6,10,11,11.2,14.4,15.1
"4",19.3,24.17,25.435,20,25.6,27.135,17.3,23.9,25.5,8.2,11.7,12.8,14,17.4,18.3
"5",24.6,29.11,30.855,26.5,32.6,34.365,24.2,30.7,32.99,12.4,15.8,16.4,18.7,22.6,23.7
"6",28.4,33.61,34.9,31.9,38.32,40.3,29.7,37.02,38.61,15.9,19.8,20.5,22.8,26.8,27.7
"7",32.1,36,37,36.4,41.7,42.8,34.5,40.3,41.545,18.5,21.3,22,26,28.9,29.7
"8",32,36.09,37,36.4,41.8,43.5,34.7,40.49,42,18.7,21.6,22.4,25.7,28.8,29.6
"9",27.2,31.2,32.4,30.4,35.6,37.205,28.5,34.8,36.405,15,18.4,19.11,21.3,24.51,25.505
"10",21.5,26.2,27.4,23.7,29.7,31.1,21.9,28.7,30.3,11.5,16,17,16.6,20.5,21.3
"11",15,19.8,21,15.8,21.74,23.2,13.7,20.2,21.6,6.5,11.84,12.8,10.8,15.2,16.3
"12",11,15.8,17,11,17,18.1,8.75,14.9,16.425,3,9,10,7,12.1,13.3
