"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",12.4,15.6,16.2,11.9,16.2,17,4.1,11.3,13.12,5.8,10.2,11.5,8.9,12.7,13.4
"2",12.4,15.5,16.2,11.8,16.2,17,3.9,11.4,13.125,5.6,10.06,11.3,8.8,12.66,13.4
"3",12.4,15.4,16.2,11.8,16.2,17,3.8,11.3,13,5.5,10,11.1,8.7,12.6,13.33
"4",12.4,15.4,16.1,11.8,16.2,17,3.8,11.3,13,5.5,10,11.1,8.7,12.6,13.3
"5",12.3,15.4,16.1,11.9,16.2,17,3.8,11.3,13,5.5,10,11.03,8.7,12.6,13.23
"6",12.3,15.4,16.03,11.7,16.1,17,3.7,11.3,12.9,5.4,10,11,8.6,12.56,13.2
"7",12.3,15.4,16.1,11.7,16.1,16.9,3.7,11.2,12.9,5.5,10,11,8.6,12.56,13.2
"8",12.3,15.3,16,11.7,16.1,16.8,3.7,11.2,12.9,5.5,10,11,8.6,12.56,13.13
"9",12.3,15.3,16,11.7,16.09,16.795,3.8,11.2,12.795,5.4,10,11,8.6,12.56,13.23
"10",12.3,15.3,16,11.7,16,16.7,3.7,11.27,12.7,5.4,10,11,8.6,12.5,13.1
"11",12.3,15.3,16,11.7,16,16.7,3.7,11.3,12.7,5.5,10,11,8.6,12.5,13.1
"12",12.3,15.26,16,11.6,16,16.7,3.7,11.3,12.7,5.5,10,11,8.6,12.5,13.1
"13",12.3,15.26,16,11.6,16,16.785,3.6,11.2,12.7,5.5,10,11,8.6,12.5,13.1
"14",12.3,15.2,16,11.6,15.96,16.7,3.6,11.1,12.6,5.5,10,11,8.6,12.4,13.03
"15",12.4,15.2,16,11.7,15.9,16.7,3.6,11,12.6,5.5,10,11,8.7,12.4,13
"16",12.4,15.2,16,11.7,15.9,16.625,3.7,10.95,12.5,5.5,10,11,8.8,12.4,13
"17",12.4,15.2,16,11.75,15.9,16.7,3.7,11,12.525,5.6,10,11,8.8,12.4,13
"18",12.4,15.2,16,11.7,15.9,16.7,3.7,11.1,12.6,5.6,10,11,8.8,12.4,13
"19",12.4,15.2,16,11.8,15.9,16.7,3.8,11.15,12.7,5.6,10,11,8.9,12.4,13
"20",12.4,15.2,16,11.8,15.9,16.7,3.8,11.2,12.7,5.7,10,11,8.9,12.4,13
"21",12.5,15.2,16,11.9,15.8,16.7,4,11.2,12.7,5.7,10,11,8.9,12.4,13
"22",12.6,15.2,16,11.9,15.7,16.64,4,11.3,12.7,5.8,9.84,11,9,12.3,12.9
"23",12.6,15.2,16,12,15.7,16.645,4.2,11.3,12.7,5.9,9.6,11,9.1,12.2,12.87
"24",12.7,15.2,16,12.1,15.7,16.65,4.6,11.41,12.8,5.9,9.68,11,9.1,12.2,12.8
"25",12.9,15.2,16,12.2,15.8,16.7,4.8,11.6,12.9,6,9.8,11,9.1,12.2,12.8
"26",13,15.2,16,12.3,15.7,16.7,4.9,11.51,12.9,6,9.6,11,9.2,12.13,12.8
"27",13,15.23,16,12.4,15.7,16.645,5.1,11.5,12.855,6,9.6,10.965,9.2,12.1,12.8
"28",13,15.24,16.07,12.4,15.7,16.6,5.2,11.6,12.86,6,9.44,10.77,9.3,12.1,12.8
"29",13,15.3,16.2,12.5,15.7,16.66,5.3,11.6,12.9,6,9.34,10.7,9.3,12.1,12.8
"30",13,15.3,16.2,12.6,15.73,16.7,5.3,11.6,12.9,6,9.34,10.7,9.4,12.1,12.8
"31",13,15.3,16.2,12.6,15.9,16.7,5.4,11.6,12.9,6,9.4,10.77,9.4,12.1,12.8
"32",13,15.3,16.2,12.7,15.9,16.7,5.45,11.69,12.9,6,9.6,10.8,9.4,12.14,12.87
"33",13,15.3,16.4,12.7,15.98,16.8,5.5,11.71,12.905,6,9.68,10.77,9.4,12.2,12.87
"34",13,15.4,16.4,12.8,15.9,16.795,5.4,11.8,12.9,6,9.6,10.7,9.4,12.2,12.9
"35",13,15.4,16.4,12.8,16,16.805,5.4,11.8,12.92,6,9.68,10.77,9.4,12.24,12.9
"36",13,15.4,16.57,12.8,16,16.9,5.4,11.8,12.925,6,9.8,10.8,9.4,12.3,12.9
"37",13,15.4,16.57,12.8,16,16.805,5.4,11.84,12.9,6,9.8,10.7,9.5,12.3,12.9
"38",13,15.5,16.57,12.8,16,16.9,5.3,11.84,13,6,9.8,10.7,9.5,12.3,12.9
"39",13,15.5,16.57,12.8,16.01,16.9,5.4,11.84,13,6,9.8,10.7,9.5,12.3,12.9
"40",13,15.5,16.6,12.8,16.1,16.9,5.4,11.9,13,6,9.9,10.8,9.5,12.34,12.9
"41",13,15.5,16.57,12.9,16.1,16.9,5.5,11.9,13,6,9.94,11,9.6,12.4,12.9
"42",13,15.6,16.57,13,16.1,16.9,5.55,12,13.1,6,9.9,11,9.6,12.4,12.9
"43",13,15.6,16.6,13,16.1,16.9,5.6,12,13.2,6,10,11,9.7,12.4,12.9
"44",13,15.7,16.76,13,16.1,16.96,5.65,12.1,13.275,6,10,11,9.7,12.4,12.93
"45",13,15.8,16.97,13,16.11,17.005,5.7,12.2,13.22,6,10,11,9.7,12.5,13.1
"46",13,16,17,13,16.2,17.1,5.75,12.13,13.3,6,10,11,9.8,12.6,13.1
"47",13,16,17,13,16.38,17.2,5.8,12.2,13.305,6.2,10,11,9.8,12.6,13.1
"48",13.1,16,17,13.1,16.48,17.3,5.8,12.21,13.4,6.2,10,11,9.8,12.7,13.2
"49",13.2,16,17,13.1,16.5,17.48,5.95,12.3,13.4,6.4,10,11,9.9,12.7,13.27
"50",13.3,16.04,17,13.2,16.6,17.6,6.1,12.38,13.6,6.6,10.14,11,10,12.8,13.3
"51",13.3,16.1,17,13.2,16.6,17.7,6.1,12.5,13.6,6.7,10.3,11.17,10,12.9,13.47
"52",13.3,16.2,17.17,13.3,16.64,17.7,6.15,12.5,13.685,6.7,10.34,11.57,10.1,12.9,13.6
"53",13.3,16.24,17.4,13.3,16.7,17.87,6.1,12.4,13.68,6.8,10.6,11.6,10.1,12.9,13.6
"54",13.3,16.3,17.5,13.2,16.7,18.1,6.05,12.6,13.8,6.8,10.6,11.67,10.1,13,13.6
"55",13.4,16.4,17.7,13.3,17,18.1,6.3,12.7,13.8,6.8,10.8,11.87,10.1,13.1,13.67
"56",13.4,16.4,17.91,13.4,17,18.1,6.4,12.9,13.9,6.9,10.8,11.9,10.1,13.1,13.7
"57",13.5,16.43,18,13.4,17.1,18.16,6.4,13,14.1,6.9,10.9,12,10.2,13.2,13.8
"58",13.6,16.53,18,13.5,17.1,18.2,6.7,13,14.1,7,11,12,10.3,13.2,13.865
"59",13.8,16.63,18,13.6,17.2,18.3,6.9,13.1,14.3,7,11,12,10.4,13.3,13.9
"60",14,16.93,18,13.8,17.38,18.4,7.1,13.2,14.6,7,11,12,10.5,13.3,13.965
"61",14,17,18.265,13.9,17.5,18.73,7.3,13.4,14.8,7,11,12,10.6,13.4,14.1
"62",14,17,18.4,14,17.6,18.9,7.4,13.6,14.8,7,11,12,10.7,13.53,14.265
"63",14,17.2,18.465,14.1,17.7,19.2,7.65,13.8,14.8,7.3,11,12,10.85,13.6,14.3
"64",14,17.2,18.7,14.3,17.8,19.2,7.8,13.8,14.8,7.7,11.2,12,11,13.6,14.365
"65",14.1,17.3,18.93,14.5,17.9,19.3,8.1,13.8,15,7.9,11.5,12,11.2,13.7,14.4
"66",14.3,17.33,19,14.5,18,19.3,8.2,13.9,15.2,8,11.6,12,11.3,13.7,14.6
"67",14.4,17.43,19,14.6,18,19.305,8.3,13.9,15.2,8,11.6,12,11.3,13.7,14.6
"68",14.45,17.6,19.065,14.7,18.1,19.6,8.5,14.01,15.3,8,11.74,12.17,11.4,13.8,14.6
"69",14.6,17.7,19.2,14.8,18.1,19.6,8.8,14.1,15.3,8,11.9,12.4,11.6,13.9,14.6
"70",14.7,17.7,19.165,14.9,18.2,19.6,8.8,14.2,15.4,8,12,12.47,11.7,13.9,14.6
"71",14.85,17.93,19.165,15,18.2,19.6,9,14.3,15.4,8.3,12,12.6,11.7,14.03,14.6
"72",15,17.93,19.1,15.1,18.3,19.6,9.1,14.3,15.5,8.6,12,12.6,11.8,14.1,14.6
"73",15,17.9,19.065,15.1,18.3,19.6,9.3,14.5,15.5,8.7,12,12.6,11.9,14.1,14.6
"74",15,17.9,19.1,15.2,18.4,19.6,9.3,14.5,15.6,8.9,12,12.7,12,14.1,14.7
"75",15,18,19.165,15.3,18.5,19.6,9.4,14.6,15.6,9,12,12.7,12.1,14.13,14.7
