"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",12.4,15.2,16,11.8,15.9,16.7,3.8,11.1,12.6,5.6,10,11,8.8,12.4,13
"2",13,16,17,13,16.22,17.11,5.7,12.1,13.3,6,10,11,9.8,12.6,13.1
"3",15,18,19.4,15.3,18.5,19.7,9.5,14.78,15.8,9,12,12.8,12.15,14.2,14.8
"4",17,20.8,22,17.7,21.83,23,13,18.03,19.3,11,14,14.7,13.85,16.7,17.6
"5",21,25.4,27,22.9,27.9,29.2,18.7,24.6,25.95,15,18.4,19,17.9,21.3,22.6
"6",24.2,28.2,29.1,27.6,32.4,34.2,24.2,29.7,30.8,18.65,21.61,22.605,21.45,24.61,25.7
"7",27.35,30.69,32,31.8,36.2,37.4,28.5,32.99,34.245,21.4,24,24.7,24.4,27,27.6
"8",28,30.8,31.545,32.6,36.2,37.5,29.1,33.1,33.9,21.8,24,25,24.8,26.9,27.6
"9",24.55,28,29,27.6,31.8,33,22.9,28.5,29.7,18,21,22,21.4,24.01,24.7
"10",20.7,24,24.4,22.3,26.9,27.9,16,22.2,24.1,15,18,19,17.5,20.6,21.3
"11",16,19.4,20.3,16.2,21,22,8.7,16.1,17.3,10,14,14.725,12.6,16.1,16.815
"12",13.1,16.2,17.1,12.7,16.9,18.2,4.9,12.2,13.8,6.7,10.8,12,9.6,13.2,14.1
