"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",12.8,16,16.8,13.1,17.5,18.4,8.1,13.6,14.8,3,8.8,10,7.3,12.06,13.1
"2",12.8,16,16.8,13.1,17.4,18.4,8,13.6,14.73,3,8.8,10,7.2,12.1,13.1
"3",12.6,16,16.6,13,17.36,18.4,8,13.6,14.73,3,8.6,10,7.2,12,13
"4",12.6,16,16.4,13,17.3,18.3,8,13.6,14.8,3,8.32,10,7.1,11.9,12.9
"5",12.6,16,16.4,13,17.3,18.3,8,13.56,14.6,3,8.12,9.85999999999999,7.2,11.8,12.9
"6",12.6,16,16.4,13,17.26,18.3,8,13.5,14.6,3,8,9.65999999999999,7.1,11.7,12.8
"7",12.6,16,16.4,12.8,17.16,18.3,7.9,13.5,14.53,3,8,9.6,6.9,11.6,12.8
"8",12.4,15.8,16.4,12.9,17.1,18.13,8,13.4,14.4,3,8,9.25999999999999,6.9,11.6,12.8
"9",12.4,15.6,16.4,12.9,17,18.1,8,13.36,14.3,3,8,9,6.9,11.4,12.7
"10",12.4,15.6,16.4,12.9,17,18.03,8,13.3,14.3,3,8,9,6.9,11.5,12.63
"11",12.6,15.6,16.4,12.9,17,18.1,7.9,13.3,14.3,2.8,8,9,6.9,11.4,12.6
"12",12.6,15.72,16.4,13,17.06,18.1,8,13.3,14.3,2.8,8,9,6.9,11.4,12.6
"13",12.6,15.8,16.4,13,17.1,18.1,8,13.4,14.3,2.8,8,9,6.9,11.4,12.53
"14",12.6,15.6,16.4,13,17,18.1,8,13.3,14.3,2.8,8,9,6.9,11.4,12.43
"15",12.6,15.6,16.4,13,17,18.1,8,13.3,14.2,2.8,8,9,6.9,11.4,12.4
"16",12.6,15.6,16.4,13,17,18.1,8,13.3,14.2,2.8,8,9,6.9,11.34,12.4
"17",12.6,15.6,16.4,13.1,16.9,18.1,8,13.2,14.2,2.8,8,9,6.9,11.2,12.3
"18",12.7,15.6,16.4,13,16.9,18.1,8,13.2,14.2,2.8,8,9,6.9,11.2,12.3
"19",12.8,15.6,16.4,13,16.9,18,8,13.2,14.07,2.8,8,9,6.9,11.2,12.2
"20",12.8,15.6,16.4,13.1,16.9,18,8,13.3,14.27,2.8,8,9,6.9,11.2,12.2
"21",13,15.54,16.4,13.1,16.9,18,8.1,13.3,14.2,2.8,8,9,7,11.2,12.2
"22",13,15.6,16.4,13.2,16.9,18,8.2,13.3,14.3,2.8,8,9,7.1,11.14,12.1
"23",13,15.6,16.4,13.3,16.9,18,8.4,13.34,14.37,2.8,8,9,7.1,11.04,12.07
"24",13,15.6,16.4,13.3,16.9,18.1,8.4,13.4,14.5,2.8,8,9,7.1,11,12
"25",13,15.68,16.6,13.4,16.9,18.1,8.5,13.4,14.67,2.8,8,9,7.2,11.1,12.1
"26",13,15.86,16.6,13.5,17.1,18.265,8.6,13.5,14.8,2.8,8,9,7.2,11.13,12.1
"27",13,16,16.6,13.5,17.1,18.265,8.6,13.5,14.8,2.8,8,9,7.2,11.1,12.1
"28",13,16,16.73,13.6,17.1,18.3,8.7,13.53,14.865,2.8,8,9,7.3,11.1,12.1
"29",13,16,16.8,13.65,17.2,18.3,8.7,13.5,14.9,2.8,8,9,7.3,11.1,12.1
"30",13,16,16.73,13.7,17.2,18.3,8.75,13.43,14.8,2.8,8,9,7.3,11.13,12.065
"31",13,16,16.8,13.7,17.33,18.3,8.8,13.5,14.8,2.6,8,9,7.2,11.2,12.065
"32",13,16,17,13.7,17.4,18.3,8.85,13.5,14.8,2.8,8,9,7.3,11.2,12.1
"33",13.2,16.06,17,13.75,17.4,18.4,8.9,13.5,14.765,2.8,8,9,7.35,11.23,12.165
"34",13.2,16.2,17,13.7,17.4,18.4,8.8,13.5,14.8,2.8,8,9,7.3,11.3,12.165
"35",13.2,16.2,17,13.8,17.5,18.4,8.8,13.55,14.8,2.8,8,9,7.4,11.4,12.165
"36",13.2,16.2,17,13.8,17.5,18.4,8.9,13.5,14.8,2.6,8,9,7.4,11.4,12.165
"37",13.2,16.26,17,13.9,17.5,18.4,8.9,13.7,14.8,2.6,8,9,7.5,11.4,12.1
"38",13.4,16.4,17,13.9,17.6,18.5,8.9,13.7,14.885,2.6,8,9,7.5,11.4,12.1
"39",13.4,16.4,17.2,13.9,17.7,18.5,8.95,13.8,14.9,2.6,8,9,7.5,11.23,12.065
"40",13.4,16.4,17.2,13.95,17.8,18.6,9,13.8,15.085,2.6,8,9,7.55,11.2,12.065
"41",13.4,16.4,17.4,14,17.8,18.7,9,13.9,15.1,2.6,8,9,7.6,11.23,12.1
"42",13.5,16.4,17.4,14,17.8,18.765,9,14,15.185,2.6,8,9,7.6,11.3,12.2
"43",13.6,16.6,17.4,14.1,17.83,18.9,9.1,14.1,15.2,2.6,8,9,7.6,11.43,12.2
"44",13.6,16.6,17.4,14.15,17.9,19,9.2,14.1,15.3,2.6,8,9.2,7.6,11.5,12.2
"45",13.6,16.8,17.4,14.2,18,19,9.2,14.1,15.285,2.8,8,9.2,7.7,11.5,12.2
"46",13.8,16.8,17.4,14.2,18.03,19.1,9.2,14.1,15.3,2.8,8,9.4,7.7,11.6,12.3
"47",13.8,16.8,17.6,14.3,18.1,19.1,9.3,14.4,15.4,3,8,9.32999999999999,7.75,11.7,12.3
"48",14,17,17.6,14.4,18.2,19.1,9.4,14.5,15.4,3,8,9.4,7.9,11.7,12.3
"49",14,17,17.73,14.5,18.4,19.3,9.4,14.5,15.485,3,8,9.4,8.05,11.7,12.3
"50",14,17,17.8,14.5,18.5,19.4,9.4,14.7,15.7,3,8,9.8,8.2,11.8,12.4
"51",14,17.2,18,14.5,18.6,19.5,9.4,14.8,15.985,3,8,9.8,8.2,11.8,12.5
"52",14,17.2,18,14.5,18.7,19.5,9.4,14.87,16.1,3,8,10,8.3,11.8,12.565
"53",14,17.26,18,14.5,18.73,19.665,9.4,14.87,16.085,3,8,10,8.3,11.83,12.6
"54",14,17.4,18.2,14.5,18.8,19.7,9.4,14.9,16.185,3,8.06000000000001,10,8.3,11.9,12.765
"55",14,17.4,18.2,14.55,18.83,19.7,9.35,14.97,16.185,3,8.46000000000001,10,8.4,11.9,12.8
"56",14,17.4,18.4,14.6,18.9,19.8,9.4,15.1,16.2,3,8.4,10,8.4,11.93,12.8
"57",14,17.4,18.4,14.65,19,19.9,9.4,15.27,16.3,3.1,8.4,10,8.6,12,12.8
"58",14.2,17.6,18.6,14.7,19.1,20,9.55,15.3,16.4,3.4,8.4,10,8.6,12.1,12.8
"59",14.4,17.8,18.73,14.85,19.2,20.2,9.7,15.4,16.585,3.6,8.4,10,8.7,12.1,12.8
"60",14.4,18,19,15,19.3,20.565,9.9,15.6,16.885,3.6,8.4,10,8.8,12.1,12.8
"61",14.6,18,19,15.2,19.4,20.8,10.1,15.7,17.1,3.8,8.4,10,8.9,12.2,12.9
"62",14.8,18,19.2,15.3,19.5,20.865,10.2,15.9,17.27,3.8,8.46000000000001,10,9.1,12.2,13
"63",15,18.2,19.2,15.4,19.7,21.065,10.4,16,17.4,3.95,8.6,10,9.2,12.2,13.1
"64",15,18.4,19.4,15.5,19.8,21.2,10.5,16.2,17.58,4,8.6,10,9.3,12.3,13.1
"65",15,18.6,19.4,15.75,19.9,21.43,10.6,16.3,17.675,4,8.6,10,9.4,12.43,13.2
"66",15,18.6,19.4,15.9,19.93,21.5,10.8,16.4,17.8,4,8.8,10,9.5,12.5,13.2
"67",15.2,18.66,19.4,16,20.03,21.5,10.9,16.44,17.8,4,8.8,10,9.6,12.6,13.2
"68",15.2,18.8,19.6,16.1,20.2,21.6,11,16.6,17.9,4,9,10,9.7,12.7,13.4
"69",15.4,19,19.6,16.3,20.4,21.6,11.2,16.74,18,4,9,10,9.7,12.8,13.5
"70",15.6,19,19.73,16.4,20.5,21.665,11.4,16.84,18.07,4.2,9,10,9.8,12.8,13.6
"71",15.8,19,19.93,16.5,20.53,21.7,11.5,16.9,18.07,4.4,9,10,9.9,12.9,13.6
"72",16,19,20,16.7,20.63,21.7,11.6,16.9,18.1,4.6,9,10.4,10,12.9,13.7
"73",16,19.2,20,16.8,20.73,21.7,11.7,16.9,18.1,4.6,9,10.33,10.1,13,13.8
"74",16,19.2,20,16.9,20.8,21.865,11.9,17,18.17,4.8,9,10.53,10.2,13.1,13.8
"75",16,19.2,20,17.1,20.9,21.9,11.9,17.14,18.2,4.8,9,10.53,10.2,13.1,13.8
"76",16,19.2,20,17.1,21,21.9,12,17.24,18.3,4.8,9.26000000000001,10.6,10.3,13.2,13.9
"77",16,19.2,20,17.2,21.1,22,12.1,17.3,18.3,4.8,9.2,10.73,10.3,13.2,13.9
"78",16.2,19.4,20.13,17.2,21.1,22,12.3,17.4,18.3,4.8,9.4,10.8,10.4,13.2,13.9
"79",16.2,19.4,20.13,17.3,21.2,22,12.4,17.4,18.4,4.9,9.26000000000001,10.53,10.55,13.3,13.965
"80",16.2,19.4,20.2,17.4,21.3,22,12.5,17.6,18.54,5,9.46000000000001,10.4,10.6,13.3,13.965
"81",16.4,19.4,20.33,17.5,21.3,22,12.6,17.64,18.6,5,9.46000000000001,10.4,10.7,13.4,14
"82",16.4,19.46,20.4,17.6,21.4,22,12.7,17.7,18.67,5,9.6,10.53,10.8,13.4,14.1
"83",16.6,19.6,20.6,17.7,21.5,22.2,12.8,17.8,18.8,5,9.6,10.73,10.8,13.5,14.2
"84",16.8,19.8,20.6,17.8,21.6,22.2,12.9,17.9,18.8,5,9.6,10.73,10.9,13.6,14.2
"85",17,19.8,20.6,18,21.7,22.3,13.1,18,18.87,5,9.8,10.8,11.1,13.6,14.3
"86",17,20,20.6,18.1,21.7,22.5,13.1,18,18.9,5,9.8,11,11.2,13.63,14.3
