"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",12.8,15.6,16.4,13.1,16.9,18.05,8,13.3,14.2,2.8,8,9,6.9,11.2,12.3
"2",13.8,16.8,17.4,14.3,18.1,19.1,9.3,14.2,15.3,2.8,8,9.4,7.7,11.67,12.3
"3",16,19.2,20,17.1,21,21.9,12.1,17.2,18.3,4.8,9,10.4,10.3,13.19,13.9
"4",18.2,22.2,23.2,19.8,24.1,25.605,15.2,20.2,21.805,7,11,11.8,12.6,15.5,16.3
"5",23.2,27.2,28.4,25.7,30.9,32.245,21.7,27.2,28.845,11,14.6,15.6,17.1,20.3,21.5
"6",27.2,32,33,31,36.51,38.105,27.1,33.11,34.8,14.2,18,19.63,21.2,24.8,25.805
"7",30.4,34.2,35.2,35.15,39.7,40.9,31.4,36.4,37.745,17.2,20.38,21.09,24.2,27.2,28.2
"8",30.8,34.2,35.69,36,40.5,41.6,32.2,37.19,38.4,18,20.8,22,24.6,27.1,27.9
"9",27,30.01,31.01,31,35.11,36.2,26.9,31.9,33.205,15,18.2,19.61,20.7,23.9,24.705
"10",22.2,26,27,25.25,30.5,31.7,21,27.3,28.5,12,16,17,16.7,20.1,20.8
"11",17,20.4,21.2,18.3,23.1,24.4,13.3,19.5,20.9,7,12.8,14,11.6,15.71,16.905
"12",13,16.6,17.4,13.8,18.4,19.2,8.6,14.79,16.045,4,9.38,11,7.9,12.79,13.845
