"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",13,16.68,17.4,14.1,18.3,19.4,8.9,14.3,15.6,5,11,13,9.2,13.8,14.9
"2",13,16.48,17.04,14,18.3,19.4,8.8,14.2,15.52,5,11,12.84,9.2,13.7,14.8
"3",13,16.28,17,14,18.2,19.3,8.9,14.2,15.6,5,10.4,12.44,9.1,13.6,14.7
"4",13,16.2,17,13.9,18.1,19.225,8.8,14.2,15.5,4.8,10,12,9.1,13.6,14.6
"5",13,16.2,17,14,18.1,19.2,8.8,14.2,15.5,4,10,12,9.1,13.52,14.6
"6",13,16.2,17,13.9,18.1,19.2,8.7,14.2,15.5,4,10,12,9.1,13.4,14.5
"7",13,16.2,17,13.9,18,19.2,8.7,14.2,15.5,4,10,12,9.1,13.2,14.5
"8",13,16,17,13.9,17.9,19.2,8.8,14.2,15.5,4,10,12,9.1,13.2,14.4
"9",13,16,17,13.9,17.9,19.1,8.8,14.2,15.475,4,10,12,9.1,13.2,14.275
"10",13,16,17,13.9,17.9,19.1,8.8,14.2,15.46,4,10,12,9.1,13.2,14.2
"11",13,16,17,13.9,17.8,19.1,8.8,14.2,15.5,4,10,12,9.1,13.2,14.2
"12",13,16,17,13.9,17.8,19.1,8.8,14.2,15.5,4,10,11,9.1,13,14
"13",13,16,17,13.9,17.8,19.1,8.8,14.3,15.5,4,10,11,9.1,13,14
"14",13,16,17,13.9,17.8,19.1,8.9,14.3,15.5,4,10,11,9.1,12.9,13.9
"15",13,16,17,13.8,17.83,19.2,8.8,14.33,15.5,4,10,11,9.1,13,14.1
"16",13,16,17,13.9,17.8,19.2,8.75,14.4,15.5,4,10,11,9.1,12.9,14.1
"17",13,16,17,13.8,17.8,19.155,8.7,14.3,15.5,4,10,11,9.1,12.8,13.955
"18",13,16,17,13.8,17.8,19.1,8.7,14.31,15.5,4,9.62,11,9.1,12.8,13.8
"19",13,16,17,13.8,17.8,19.045,8.65,14.4,15.5,4,9.6,11,9.1,12.79,13.8
"20",13,16,17,13.9,17.8,19.04,8.7,14.4,15.64,4,9.56000000000001,11,9.1,12.7,13.8
"21",13,16,17,13.9,17.8,19.035,8.7,14.47,15.7,4,9,11,9,12.6,13.8
"22",13,16,17,13.9,17.8,18.925,8.75,14.4,15.625,4,9.6,11,9.05,12.6,13.725
"23",13,16,17,14,17.74,18.8,8.7,14.4,15.5,4,9,10.84,9.1,12.6,13.7
"24",13,16,17,14,17.6,18.72,8.7,14.4,15.5,4,9,10.12,9.1,12.6,13.62
"25",13,16,17,14,17.64,18.8,8.7,14.4,15.5,4,9,10.12,9.1,12.6,13.62
"26",13,16,17,14.05,17.8,18.705,8.7,14.4,15.5,4,9,10.8,9.1,12.61,13.7
"27",13,16,17,14.1,17.8,18.8,8.7,14.3,15.5,4,9,10,9.1,12.7,13.7
"28",13,16,17,14.1,17.9,18.9,8.6,14.3,15.5,4,9,10.6,9.1,12.7,13.8
"29",13,16,17,14.1,17.9,18.9,8.6,14.3,15.5,4,9,10.8,9.1,12.8,13.8
"30",13,16,17,14.1,17.9,19,8.5,14.3,15.5,4,9,10.8,9.1,12.8,13.8
"31",13,16,17,14.1,17.9,19.1,8.4,14.3,15.5,4,9,10.8,9.1,12.9,13.9
"32",13,16.2,17,14.1,17.9,19.1,8.3,14.3,15.5,4,9,10.8,9.1,12.9,13.9
"33",13,16.4,17.2,14.1,17.9,19.2,8.3,14.18,15.49,4,9.56000000000001,10.8,9.1,12.9,13.9
"34",13,16.4,17.2,14.1,17.97,19.1,8.1,14.07,15.385,4,9.6,10.8,9.1,12.9,14
"35",13,16.4,17.4,14.1,18,19.27,8.1,14,15.3,4,9.6,11,9.1,13,14.085
"36",13,16.4,17.4,14.05,18,19.27,8.1,13.9,15.3,4,10,11,9.1,13.1,14.1
"37",13,16.4,17.4,14,18,19.285,8,13.9,15.3,4,10,11,9.1,13.1,14.1
"38",13,16.6,17.74,14,18,19.3,7.9,13.9,15.3,4,10,11,9.1,13.17,14.2
"39",13,16.74,17.97,14,18,19.3,7.8,13.9,15.3,4,10,11,9.2,13.2,14.2
"40",13,16.8,17.8,14,18,19.195,7.8,13.9,15.3,4,10,11,9.2,13.28,14.2
"41",13,16.98,18,14,18,19.1,7.8,13.9,15.3,4,10,11,9.2,13.3,14.2
"42",13,17,18,14,18.1,19.1,7.8,13.8,15.1,4,10,11,9.2,13.4,14.2
"43",13,17,18,14.1,18.1,19.2,7.8,13.8,15.1,4,10,11,9.2,13.4,14.2
"44",13.4,17,18,14.1,18.12,19.2,7.7,13.8,15.16,4,10,11,9.2,13.4,14.2
"45",13.4,17,18,14.1,18.21,19.205,7.8,13.9,15.3,4,10,11,9.2,13.4,14.2
"46",13.6,17,18,14.2,18.3,19.3,7.9,13.91,15.3,4,10,11,9.3,13.4,14.2
"47",14,17,18,14.2,18.4,19.3,7.9,13.9,15.3,4,10,11,9.4,13.6,14.39
"48",14,17,18,14.3,18.5,19.405,7.95,14,15.3,4,10,11,9.6,13.7,14.5
"49",14,17,18,14.4,18.52,19.51,8,14,15.3,4,10,11.21,9.7,13.8,14.6
"50",14,17,18,14.5,18.74,19.9,8,14,15.3,4,10,11.63,9.7,13.9,14.6
"51",14,17.4,18.23,14.5,18.8,20,8,14,15.4,4.6,10,11.23,9.8,13.9,14.7
"52",14,17.5,18.4,14.6,18.96,20.03,8,14.06,15.5,4.8,10,11.45,9.8,14,14.7
"53",14,17.6,18.4,14.7,19,20.03,8,14.16,15.53,4.8,10,12,9.8,14,14.72
