"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",13,16,17,13.9,17.8,19.1,8.7,14.3,15.5,4,10,11,9.1,12.8,13.95
"2",13.6,17,18,14.2,18.3,19.3,7.9,13.94,15.3,4,10,11,9.3,13.5,14.3
"3",16,20,21,16.8,21.6,23,10.9,17.8,19.7,6,11,12,11.8,15.2,15.995
"4",19,23,24,20.2,25.29,26.5,14.8,21.9,23.75,8.8,13,14,14.7,17.8,18.745
"5",24,29,30.4,26.4,32.29,33.795,21.8,29.5,31.3,13,17,18,19.4,24.1,25.4
"6",29,33.6,35,32,37.7,39.2,28,34.82,36.6,17,21,22,24.1,29.3,30.9
"7",32,36,37.53,35.75,40.93,42.765,31.5,38.8,41.19,19,23,24,27.1,31.1,32
"8",32,36,37,36.9,42.1,43.4,33.2,39.6,41.4,19.8,23,23.8,26.9,30.6,31.45
"9",27,31,32,31.5,37.36,39,27.7,35.1,36.6,16.4,20,21.86,22.4,25.9,26.83
"10",22.3,26,27,25.7,31.3,32.4,21.45,28.1,29.985,13,18,19,18.45,21.9,23
"11",17.8,21,22,19.5,24.5,25.5,14.15,20.79,22.3,9,14.48,16,13.8,18.03,19.1
"12",14,17.2,18.2,15.1,19.4,20.7,9.8,15.6,16.805,6,11,13,10.1,14.4,15.3
