"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",13.6,16.8,17.48,14.5,18.1,19.1,8.4,13.5,15.04,5.2,10.36,12,9,13.38,14.3
"2",13.7,16.6,17.4,14.5,18,19.1,8.4,13.47,14.8,5.1,10,12,8.9,13.2,14.235
"3",13.6,16.6,17.4,14.5,18,19.1,8.4,13.4,14.8,5,10,11.8,8.8,12.9,14.2
"4",13.6,16.6,17.4,14.4,17.9,19.1,8.4,13.4,14.7,5,10,11.8,8.7,12.77,14.1
"5",13.4,16.54,17.4,14.3,17.9,19.1,8.4,13.4,14.7,5,10,11.8,8.7,12.7,14.035
"6",13.4,16.4,17.4,14.2,17.9,19.1,8.4,13.37,14.635,5,10,11.67,8.7,12.7,14.035
"7",13.4,16.52,17.4,14.1,17.9,19.1,8.4,13.4,14.7,5,10,11.46,8.7,12.6,13.9
"8",13.4,16.4,17.4,14.1,17.9,19.1,8.4,13.4,14.7,5,10,11.4,8.7,12.6,13.8
"9",13.4,16.4,17.4,14.1,17.9,19.1,8.4,13.4,14.74,5,9.88000000000001,11.28,8.7,12.58,13.8
"10",13.4,16.4,17.4,14.1,17.9,19.1,8.4,13.37,14.7,5,9.87,11.2,8.7,12.57,13.8
"11",13.4,16.4,17.26,14,17.8,18.93,8.4,13.26,14.63,5,9.96,11.06,8.7,12.5,13.73
"12",13.4,16.32,17.2,14.1,17.7,18.8,8.4,13.2,14.43,5,9.6,11,8.7,12.4,13.7
"13",13.4,16.2,17.2,14,17.65,18.8,8.4,13.2,14.325,5,9.6,11,8.7,12.3,13.7
"14",13.2,16.2,17.2,14,17.7,18.8,8.4,13.2,14.4,5,9.48,11,8.7,12.3,13.7
"15",13.2,16.4,17.4,14,17.8,19.055,8.2,13.21,14.555,5,9.91,11.2,8.65,12.3,13.7
"16",13.2,16.2,17.4,13.9,17.7,18.95,8.2,13.2,14.5,5,9.9,11.1,8.6,12.3,13.7
"17",13.2,16.2,17.2,13.9,17.69,18.8,8.2,13.19,14.445,5,9.58,11,8.6,12.29,13.6
"18",13.2,16.2,17.29,13.9,17.7,18.8,8.2,13.1,14.445,5,9.58,11,8.6,12.29,13.6
"19",13.2,16.2,17.4,13.9,17.7,18.8,8.2,13.1,14.45,5,9.4,11,8.6,12.2,13.5
"20",13.2,16.2,17.4,13.9,17.7,18.8,8.2,13.1,14.35,5,9.4,11,8.6,12.2,13.4
"21",13.2,16.22,17.31,13.9,17.7,18.8,8.2,13.11,14.355,5,9.22,11,8.6,12.11,13.355
"22",13.2,16.24,17.4,13.9,17.7,18.8,8.2,13.1,14.36,5,9.4,11,8.7,12.2,13.36
"23",13.2,16.4,17.4,13.9,17.7,18.8,8.2,13.1,14.36,5,9.2,11,8.7,12.1,13.16
"24",13.2,16.4,17.4,13.9,17.8,18.96,8.2,13.3,14.7,5,9,11,8.7,12.1,13.1
"25",13.1,16.4,17.4,13.9,17.72,18.8,8.2,13.3,14.6,5,9,11,8.7,12.1,13.1
"26",13.2,16.4,17.51,13.9,17.7,18.855,8.35,13.3,14.6,5,9.02,11,8.7,12.1,13.1
"27",13.2,16.4,17.6,14,17.8,19,8.5,13.4,14.6,5,9,11,8.7,12.1,13.02
"28",13.2,16.6,17.6,14,17.9,19.065,8.5,13.4,14.6,5,9,11,8.75,12.1,13.1
"29",13.2,16.6,17.8,14,18,19.165,8.5,13.43,14.665,5,9,11,8.8,12.1,13.1
"30",13.4,16.64,17.92,14,18,19.16,8.4,13.42,14.66,5,9,11,8.8,12.1,13.1
"31",13.2,16.8,18,14,18.02,19.3,8.3,13.5,14.7,5,9,11,8.8,12.1,13.2
"32",13.4,16.84,18,14,18.12,19.4,8.3,13.52,14.7,5,9.2,11,8.8,12.1,13.2
"33",13.4,16.84,18,14,18.2,19.4,8.3,13.52,14.7,5,9.2,11,8.9,12.2,13.26
"34",13.4,16.84,18,14,18.2,19.4,8.3,13.5,14.7,5,9.2,11,8.9,12.2,13.4
"35",13.4,17,18,14,18.2,19.5,8.3,13.6,14.765,5,9.52000000000003,11,8.8,12.3,13.4
"36",13.4,17,18,14.1,18.2,19.4,8.2,13.6,14.7,5,9.4,11,8.8,12.3,13.465
"37",13.4,17,18,14.1,18.3,19.4,8.2,13.6,14.75,5,9.4,11,8.9,12.4,13.4
"38",13.4,17,18,14.1,18.4,19.5,8.1,13.6,14.835,5,9.4,11,8.85,12.4,13.5
"39",13.4,17,18.2,14.1,18.4,19.645,8,13.7,14.9,5,9.4,11,8.8,12.4,13.5
"40",13.4,17,18.2,14.2,18.4,19.65,8.1,13.7,15.05,5,9.2,11,8.9,12.4,13.5
"41",13.4,17,18.4,14.15,18.41,19.7,8.1,13.9,15.1,5,9.4,11,8.9,12.5,13.5
"42",13.6,17.2,18.53,14.2,18.63,19.865,8.2,14,15.2,5,9.46000000000001,11,8.9,12.6,13.5
"43",13.6,17.2,18.4,14.3,18.6,19.865,8.2,13.93,15.165,5,9.8,11,8.9,12.6,13.5
"44",13.8,17,18.4,14.3,18.6,19.925,8.3,13.85,15.125,5,9.3,11,9,12.6,13.5
"45",14,17.2,18.4,14.35,18.6,19.965,8.35,13.83,15.1,5,9.4,11,9.1,12.6,13.5
"46",14,17.2,18.4,14.4,18.64,19.97,8.4,13.94,15.17,5,9.4,11,9.1,12.6,13.5
"47",14,17.2,18.6,14.5,18.7,20.1,8.6,14.1,15.27,5,9.48,11,9.2,12.6,13.5
"48",14,17.24,19,14.6,18.8,20.4,8.7,14.2,15.4,5,9.8,11,9.3,12.8,13.7
"49",14,17.4,19,14.7,18.9,20.56,8.7,14.3,15.66,5,10,11.2,9.4,13.02,13.76
"50",14,17.6,19,14.7,19.1,20.7,8.8,14.4,15.8,5,10,11.2,9.5,13.2,13.9
"51",14,17.62,19,14.7,19.11,20.755,8.75,14.4,15.9,5,10,11.31,9.6,13.2,14.01
"52",14,17.8,19.11,14.8,19.2,20.91,8.8,14.31,15.9,5.1,10,11.6,9.6,13.3,14.2
"53",14,17.64,19.12,14.7,19.1,20.7,8.7,14.2,15.76,5.2,10,11.8,9.6,13.3,14.2
"54",14,17.8,19.2,14.8,19.12,20.92,8.7,14.2,15.86,5.2,10.2,12,9.7,13.4,14.2
"55",14,17.8,19.2,14.8,19.2,21.06,8.7,14.3,15.9,5.4,10.4,12,9.8,13.4,14.3
"56",14,18,19.2,14.8,19.3,21.2,8.6,14.41,16.2,5.6,10.6,12,9.8,13.4,14.3
"57",14,18,19.2,14.8,19.4,21.2,8.6,14.6,16.3,5.6,10.6,12,9.8,13.4,14.3
"58",14,18,19.2,14.8,19.4,21.3,8.7,14.7,16.4,5.8,10.6,12,9.9,13.4,14.26
"59",14,18,19.33,14.85,19.5,21.3,8.8,14.9,16.465,5.8,10.4,12,10,13.4,14.3
"60",14.2,18.2,19.4,15,19.7,21.36,8.9,15,16.56,5.8,10.4,12,10.1,13.4,14.3
"61",14.2,18.2,19.54,15.1,19.9,21.4,9.2,15.14,16.6,6,10.4,12,10.2,13.5,14.3
"62",14.4,18.2,19.6,15.2,19.9,21.4,9.2,15.2,16.6,6,10.4,12,10.3,13.5,14.3
"63",14.4,18.28,19.6,15.3,19.9,21.4,9.4,15.2,16.6,6,10.48,12,10.3,13.53,14.3
"64",14.6,18.4,19.74,15.4,19.94,21.4,9.6,15.34,16.67,6,10.4,12,10.4,13.6,14.365
"65",14.8,18.4,19.93,15.5,20.1,21.5,9.8,15.5,16.765,6,10.6,12,10.5,13.6,14.4
"66",14.8,18.6,20,15.5,20.3,21.765,9.9,15.7,16.8,6.2,10.6,12,10.6,13.7,14.46
"67",14.8,18.6,20.15,15.55,20.4,22.075,10.1,15.8,16.9,6.4,10.8,12,10.7,13.74,14.6
"68",15,18.66,20.33,15.7,20.4,22.165,10.2,15.9,17.13,6.5,11,12,10.8,13.8,14.7
"69",15,18.86,20.4,15.8,20.5,22.2,10.2,15.9,17.265,6.6,11,12,10.8,13.9,14.8
"70",15,18.8,20.4,15.9,20.5,22.2,10.4,15.9,17.3,6.8,11,12.2,10.9,14,14.86
"71",15,18.82,20.4,16,20.5,22.2,10.5,15.91,17.355,6.9,11.02,12.4,10.9,14.1,14.9
"72",15,19,20.71,16.1,20.6,22.255,10.65,16.2,17.6,7,11.2,12.555,11,14.1,14.9
"73",15.2,19,20.93,16.2,20.8,22.365,10.8,16.3,17.665,7,11.66,12.8,11.1,14.22,15.06
"74",15.2,19.2,21,16.3,21,22.5,10.8,16.4,17.87,7,11.8,13,11.3,14.3,15.165
"75",15.4,19.2,21,16.4,21.1,22.6,10.9,16.5,17.9,7,12,13,11.4,14.4,15.165
"76",15.4,19.2,21,16.4,21.1,22.6,11,16.5,17.9,7,12,13,11.5,14.4,15.2
"77",15.4,19.2,21,16.5,21.1,22.575,11.1,16.5,17.9,7,12,13,11.6,14.44,15.2
"78",15.6,19.2,21,16.6,21.1,22.5,11.2,16.46,17.9,7,12,13,11.6,14.5,15.2
"79",15.6,19.54,21,16.75,21.1,22.585,11.35,16.5,18,7.2,12,13,11.6,14.56,15.3
"80",15.8,19.8,21,16.8,21.3,22.7,11.45,16.6,18.1,7.4,12,13,11.7,14.6,15.3
"81",16,19.8,21,16.9,21.3,22.7,11.6,16.6,18.29,7.6,12,13,11.8,14.7,15.39
"82",16,19.8,21.2,17.1,21.5,22.9,11.8,16.8,18.6,7.8,12,13,11.9,14.7,15.4
"83",16,20,21.4,17.2,21.6,23.2,11.8,16.9,18.8,7.8,12,13,12,14.7,15.4
"84",16,20,21.4,17.3,21.74,23.4,11.9,17.2,18.92,7.8,12,13,12.1,14.8,15.5
"85",16.2,20,21.6,17.4,21.95,23.5,12.1,17.3,19.05,8,12,13.2,12.2,14.9,15.52
"86",16.2,20,21.6,17.5,22,23.56,12.2,17.3,19.2,8,12.2,13.2,12.3,14.95,15.6
"87",16.4,20.12,21.86,17.6,22,23.7,12.4,17.4,19.23,8,12.56,13.4,12.4,15.05,15.7
"88",16.5,20.4,22,17.7,22.1,23.7,12.45,17.6,19.37,8,12.8,13.4,12.5,15.2,15.8
"89",16.6,20.4,22,17.8,22.1,23.7,12.5,17.6,19.3,8,12.8,13.6,12.6,15.28,15.84
"90",16.6,20.4,22,17.8,22.1,23.735,12.4,17.7,19.37,8.2,12.8,13.6,12.7,15.3,15.9
"91",16.8,20.4,22,17.9,22.16,23.7,12.5,17.7,19.36,8.2,13,13.6,12.7,15.36,15.9
"92",16.8,20.6,22,18,22.3,23.83,12.5,17.9,19.63,8.4,12.92,13.6,12.7,15.4,16.03
"93",17,20.6,22,18,22.36,24,12.6,17.9,19.76,8.4,13,13.8,12.8,15.4,16.1
"94",17,20.6,22,18.1,22.4,24,12.8,17.9,19.9,8.6,13,13.8,12.9,15.4,16.1
"95",17,20.6,22,18.2,22.4,24.04,12.8,17.9,19.9,8.6,13,14,12.9,15.5,16.2
"96",17,20.8,22.26,18.4,22.56,24.23,12.9,18,20,8.8,13,14,13.1,15.5,16.2
"97",17,21,22.4,18.6,22.7,24.235,13,18.1,20.135,8.8,13,14,13.2,15.6,16.335
"98",17.2,21,22.4,18.7,22.8,24.4,13.2,18.3,20.2,9,13,14,13.2,15.7,16.4
"99",17.4,21,22.6,18.8,22.8,24.535,13.4,18.4,20.235,9,13,14,13.3,15.7,16.4
"100",17.4,21.4,22.87,18.9,22.97,24.935,13.5,18.6,20.3,9,13.2,14,13.4,15.7,16.6
"101",17.4,21.4,23,19,23.16,25.13,13.6,18.86,20.5,9,13.2,14,13.5,15.8,16.6
"102",17.6,21.6,23,19.1,23.4,25.2,13.7,18.96,20.56,9,13.2,14,13.5,15.9,16.8
"103",17.6,21.8,23.2,19.1,23.4,25.3,13.8,19,20.735,9,13.2,14,13.6,16.06,16.8
"104",17.8,22,23.46,19.2,23.5,25.43,13.95,19.2,20.8,9.2,13.4,14.2,13.7,16.2,16.96
"105",18,22,23.6,19.4,23.66,25.7,14.2,19.3,20.935,9.4,13.4,14.4,13.8,16.4,17.2
"106",18,22.2,23.8,19.4,24.05,25.825,14.3,19.6,21.1,9.4,13.6,14.65,13.8,16.55,17.3
"107",18,22.2,24,19.5,24.4,26.02,14.5,19.7,21.2,9.6,13.6,14.8,13.9,16.7,17.42
"108",18,22.2,24,19.6,24.5,26.1,14.5,19.8,21.325,9.8,13.8,14.8,14.1,16.7,17.5
"109",18,22.4,24,19.8,24.7,26.3,14.8,19.95,21.425,10,14,15,14.2,16.8,17.6
"110",18.2,22.6,24,19.9,24.9,26.4,15.1,20.2,21.6,10,14,15,14.3,17.1,17.8
"111",18.4,22.8,24.2,20.2,25.2,26.6,15.1,20.3,21.7,10,14,15,14.4,17.2,18
"112",18.6,23,24.4,20.3,25.3,26.8,15.2,20.4,21.81,10,14.2,15,14.5,17.4,18.2
"113",18.6,23,24.6,20.4,25.5,27.2,15.4,20.5,22.1,10.2,14.4,15,14.7,17.5,18.3
"114",18.8,23.2,24.8,20.5,25.7,27.3,15.5,20.8,22.505,10.6,14.6,15,14.8,17.6,18.4
"115",19,23.6,25,20.65,25.8,27.5,15.7,21,22.8,10.8,14.78,15.2,14.9,17.6,18.6
"116",19,23.6,25,20.9,26.08,27.79,15.8,21.2,23.2,11,14.8,15.2,15.1,17.8,18.8
"117",19,23.8,25,21,26.2,27.985,16,21.3,23.49,11,15,15.6,15.2,18,18.985
"118",19.2,24,25.4,21.1,26.5,28.36,16.3,21.57,23.6,11,15,16,15.4,18.3,19.2
"119",19.4,24,25.76,21.4,26.76,28.58,16.7,21.87,23.9,11.2,15,16,15.6,18.5,19.4
"120",19.6,24.2,25.96,21.7,27.2,28.8,16.9,22.47,24.185,11.4,15.2,16,15.7,18.7,19.7
"121",20,24.52,26,21.9,27.36,29.18,17,22.7,24.4,11.8,15.2,16,15.9,18.8,19.9
"122",20,24.92,26.2,22.2,27.5,29.38,17.3,22.8,24.885,12,15.4,16.2,16.1,19.2,20.1
"123",20,25,26.36,22.4,27.86,29.6,17.55,23.2,25.185,12,15.6,16.4,16.3,19.3,20.28
"124",20.2,25,26.4,22.5,28.32,29.96,17.8,23.6,25.5,12.4,15.8,16.4,16.4,19.4,20.3
"125",20.4,25.2,26.6,22.7,28.4,30.3,18,23.8,25.7,12.6,16,16.8,16.6,19.67,20.685
"126",20.4,25.4,26.96,22.8,28.6,30.68,18.2,24.3,25.985,12.8,16,17,16.7,19.9,20.8
"127",21,25.8,27,23,28.9,30.9,18.4,24.4,26.3,13,16,17,16.8,20.1,21.075
"128",21,26,27.2,23.3,29.4,31.2,18.7,24.8,26.775,13,16.08,17.14,16.9,20.3,21.27
"129",21,26.2,27.34,23.4,29.6,31.27,18.85,25.1,27.075,13,16.28,17.4,17.1,20.4,21.4
"130",21.2,26.2,27.54,23.7,29.7,31.3,19,25.55,27.2,13,16.4,17.4,17.2,20.64,21.57
"131",21.4,26.2,27.6,24.1,30.13,31.6,19.3,25.7,27.565,13.2,16.8,17.6,17.3,20.8,21.8
"132",21.8,26.4,27.8,24.35,30.3,32.365,19.5,25.83,28.1,13.4,17,17.93,17.5,20.9,22
"133",22,26.6,28,24.7,30.6,32.6,19.7,26,28.26,13.6,17,18,17.6,21.1,22.1
"134",22,26.64,28.2,24.9,30.8,32.66,20.1,26.32,28.5,13.8,17.2,18,17.8,21.3,22.3
"135",22.2,27,28.91,25.15,31.1,32.9,20.3,26.7,28.9,14,17.4,18.31,17.9,21.6,22.555
"136",22.4,27.2,29,25.4,31.4,33.4,20.6,26.9,29.1,14,17.6,18.5,18.2,21.9,22.95
"137",22.8,27.6,29.3,25.7,31.7,33.95,21,27.2,29.35,14,17.8,18.8,18.3,22.1,23.15
"138",23,27.6,29.4,25.8,31.8,34.05,21.2,27.4,29.45,14.2,18,19,18.5,22.1,23.3
"139",23,27.8,29.4,26.1,32.2,34.15,21.4,27.7,29.65,14.4,18,19,18.7,22.3,23.4
"140",23.2,28,29.6,26.3,32.32,34.16,21.7,28,29.86,14.6,18,19,18.8,22.4,23.5
"141",23.4,28.2,29.6,26.6,32.6,34.2,21.9,28.21,30.155,14.6,18,19,18.95,22.6,23.6
"142",23.6,28.4,29.8,26.8,32.7,34.6,22.2,28.5,30.45,14.8,18.2,19,19.2,22.7,23.8
"143",23.8,28.6,29.8,27.1,32.7,34.7,22.5,28.6,30.55,15,18.4,19.2,19.3,22.9,23.8
"144",24,28.6,29.8,27.3,32.9,34.7,22.7,28.9,30.55,15,18.6,19.4,19.4,23,23.9
"145",24,28.98,29.89,27.4,33,34.8,22.8,28.9,30.645,15,18.8,19.6,19.6,23.1,23.945
"146",24.2,29,30,27.7,33.4,35.04,23.1,29.1,30.8,15,19,19.8,19.7,23.2,24.1
"147",24.4,29,30,27.9,33.7,35.3,23.3,29.3,30.9,15,19,19.87,19.9,23.37,24.1
"148",24.7,29,30.2,28.1,33.97,35.535,23.6,29.5,31.035,15.2,19,20,20,23.5,24.3
"149",24.8,29.4,30.4,28.2,34.1,35.635,23.8,29.8,31.235,15.4,19,20,20.2,23.6,24.4
"150",25,29.6,30.8,28.4,34.2,35.9,24,30,31.4,15.6,19,20.2,20.3,23.8,24.7
"151",25,29.8,31,28.6,34.35,35.9,24.3,30.2,31.5,15.8,19.4,20.4,20.5,23.9,24.8
