"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",13.2,16.2,17.4,13.9,17.7,18.9,8.2,13.1,14.4,5,9.87,11,8.7,12.3,13.7
"2",14,17.2,18.57,14.4,18.7,19.985,8.5,14,15.185,5,9.4,11,9.1,12.6,13.5
"3",15.4,19.2,21,16.5,21.1,22.6,11.1,16.5,17.9,7,12,13,11.5,14.4,15.2
"4",18,22.2,23.8,19.5,24.16,25.865,14.4,19.6,21.1,9.6,13.6,14.8,13.9,16.63,17.365
"5",22.8,27.6,29.2,25.7,31.7,33.77,21,27.27,29.2,14,17.8,18.8,18.3,22.1,23.235
"6",27,32,33.53,31.7,37.7,39.97,27.3,33.6,35.47,18,21.4,22.4,22.6,26.3,27.6
"7",30.6,35,36.495,36.2,41.6,43.295,32,37.7,39.2,20.6,23.8,24.6,25.8,28.99,29.8
"8",30.6,34.8,35.8,37,41.6,42.9,32.9,37.68,38.8,21,24,24.8,25.9,28.8,29.5
"9",27,30,31,31.7,36.16,37.7,27.2,32.5,34,17.8,21,22,22.2,25.1,25.8
"10",22.6,26,27.2,25.9,30.6,31.9,21,26.8,28.3,14,18,19.4,18.2,21.44,22.2
"11",17.8,21,21.6,19.35,23.7,24.9,13.8,19.3,20.335,9.6,14,15.4,13.2,17.1,18.3
"12",14.2,17.6,19,15.3,19.4,20.6,9.1,14.9,16,6.4,11.4,13,9.8,14.1,15.4
