"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",15,18,19.11,15.9,19.8,21.2,12.1,16.5,17.7,11,14,14.8,12.9,15.7,16.4
"2",15,18,19,15.9,19.7,21,12.05,16.4,17.655,11,14,14.8,12.9,15.51,16.2
"3",15,18,19,15.8,19.51,21,12,16.4,17.6,10.8,13.8,14.6,12.8,15.41,16.2
"4",15,17.8,18.91,15.8,19.41,20.955,11.95,16.4,17.555,10.8,13.6,14.51,12.8,15.3,16.1
"5",15,17.8,18.91,15.8,19.41,20.955,11.9,16.4,17.6,10.8,13.6,14.4,12.7,15.3,16.055
"6",15,17.8,18.8,15.75,19.4,20.9,11.9,16.4,17.5,10.8,13.6,14.4,12.7,15.3,15.955
"7",15,17.8,18.8,15.7,19.32,20.9,11.8,16.4,17.5,10.8,13.4,14.32,12.7,15.3,15.9
"8",15,17.8,18.8,15.7,19.3,20.9,11.8,16.33,17.5,10.6,13.4,14.13,12.7,15.2,15.9
"9",15,17.6,18.6,15.6,19.13,20.665,11.8,16.2,17.4,10.6,13.26,14,12.6,15.1,15.9
"10",15,17.4,18.4,15.6,19.1,20.565,11.8,16,17.3,10.6,13.2,14,12.6,15.1,15.8
"11",15,17.4,18.4,15.55,19.03,20.5,11.7,16.03,17.265,10.6,13.2,14,12.6,15.1,15.8
"12",15,17.4,18.4,15.5,18.9,20.565,11.6,15.8,17.3,10.6,13.2,14,12.6,15,15.7
"13",15,17.4,18.4,15.4,18.9,20.565,11.6,15.8,17.365,10.6,13,14,12.6,15,15.7
"14",15,17.4,18.4,15.4,18.9,20.6,11.6,15.8,17.4,10.6,13,14,12.6,15,15.7
"15",14.8,17.4,18.4,15.4,19,20.6,11.5,15.8,17.4,10.6,13,14,12.6,15.1,15.7
"16",14.8,17.4,18.4,15.4,19,20.5,11.6,15.7,17.395,10.4,13,14,12.5,15.1,15.7
"17",14.8,17.4,18.4,15.4,18.9,20.5,11.5,15.6,17.3,10.4,13,14,12.5,15,15.7
