"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",14.8,17.52,18.4,15.4,19,20.5,11.5,15.7,17.38,10.4,13,14,12.5,15,15.7
"2",15,17.96,19,15.5,19.3,20.8,11.4,15.68,17.1,10,13,13.8,12.4,14.9,15.59
"3",16.6,20,21,17.6,21.84,23.3,13.4,18.5,19.7,11.6,14,15,13.8,16.3,16.97
"4",18.8,22,23.23,19.9,24.3,25.715,15.7,21.1,22.9,13,15.4,16,15.6,18.1,18.9
"5",22.8,27,28.08,25.1,30.7,32.54,21.4,27.68,29.5,16.8,19.8,20.88,19.4,22.8,23.6
"6",27,31,32.6,30.9,37.2,39.6,27.7,34.14,36.5,21,24,25,23.6,26.9,28
"7",30,33.4,34.96,35.8,40.7,42.88,32.7,37.7,39.46,24,26,27,26.8,29.1,29.9
"8",31,33.86,35,37,41.4,42.9,34.2,38.4,39.9,24.8,27,27.2,27.4,29.3,29.9
"9",27.6,30.2,31.4,32.4,36.61,38.7,29.7,34.2,36.11,21.8,24.4,25,24.4,26.7,27.4
"10",24,27,28,27.4,31.9,33.2,24.1,29.6,30.9,18.2,21.4,22,20.9,23.4,24
"11",19.4,22.6,23.4,21.2,26,27.2,17.6,23.2,24.8,14.8,17.8,18.64,16.9,19.64,20.4
"12",16,18.96,20,16.9,20.9,22.39,13.1,17.7,19.29,11.8,14.8,15.6,13.8,16.4,17.2
