"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",6,10,11.3,5.8,10.18,11.24,3.1,8,9,-1,4,5,2.2,6.2,7.1
"2",6,10,11,5.7,10.1,11.14,3,7.9,8.74499999999999,-1,3.97,5,2.2,6.2,7.1
"3",6,10.1,11.335,5.7,10.2,11.38,2.95,7.89,8.9,-1,3.8,4.73499999999999,2.2,6.1,6.9
"4",6,10.1,11.3,5.7,10.1,11.5,3,7.9,8.95,-1,3.8,4.7,2.2,6.1,6.9
"5",6,10.1,11.5,5.65,10.19,11.69,2.9,8,9,-1,3.8,4.7,2.1,6.07,6.9
"6",6,10.1,11.635,5.5,10.1,11.8,2.9,7.9,9,-1,3.7,4.6,2.1,6.1,6.9
"7",5.8,10.17,11.635,5.5,10.2,11.8,2.9,8,9.04499999999999,-1,3.7,4.53499999999999,2,6.1,6.9
"8",5.75,10.27,11.7,5.4,10.2,11.945,2.9,8.19,9.24499999999999,-1,3.7,4.5,2,6,6.9
"9",5.6,10.3,12,5.35,10.3,12,2.85,8.2,9.34499999999999,-1,3.7,4.5,2,6,6.9
"10",5.6,10.4,12,5.35,10.4,12,2.8,8.29,9.4,-1,3.67,4.33499999999999,1.95,6,6.9
"11",5.7,10.47,12,5.4,10.49,12.045,2.9,8.3,9.4,-1,3.5,4.3,2.1,6,6.9
"12",5.9,10.57,12,5.5,10.5,12.045,2.9,8.4,9.44499999999999,-1,3.5,4.3,2.1,6,6.8
"13",6,10.6,12,5.55,10.5,12.1,3.05,8.4,9.5,-1,3.5,4.3,2.1,6,6.83499999999999
"14",6,10.87,12,5.8,10.79,12.2,3.15,8.5,9.54499999999999,-1,3.57,4.23499999999999,2.1,6,6.8
"15",6,11,12.475,5.9,11,12.39,3.3,8.5,9.7,-1,3.55,4.275,2.2,6.1,6.9
"16",6,11,12.575,5.9,11.1,12.49,3.3,8.5,9.89,-1,3.55,4.275,2.2,6.15,6.9
"17",6,11.1,12.8,6,11.29,12.795,3.4,8.7,10.1,-1,3.55,4.3,2.3,6.2,7.1
"18",6.2,11.3,12.94,6,11.4,12.89,3.5,8.9,10.4,-1,3.54,4.56999999999999,2.3,6.2,7.2
"19",6.2,11.4,13,6.1,11.5,12.8,3.6,8.9,10.4,-1,3.54,4.66999999999999,2.4,6.24,7.2
"20",6.3,11.4,13,6.2,11.6,12.9,3.7,9,10.6,-1,3.7,4.76999999999999,2.5,6.3,7.2
"21",6.5,11.5,13,6.4,11.68,12.9,4,9.18000000000001,10.6,-1,3.7,4.8,2.6,6.3,7.2
"22",6.7,11.7,13,6.5,11.8,12.99,4,9.38000000000001,10.7,-0.9,3.7,4.8,2.6,6.3,7.2
"23",7,11.95,13,6.6,11.8,13,4.2,9.49,10.8,-0.7,3.7,4.8,2.7,6.3,7.26999999999999
"24",7,12,13.3,6.6,12,13.3,4.3,9.6,11,-0.5,3.7,4.7,2.8,6.4,7.3
"25",7,12,13.625,6.8,12.1,13.4,4.4,9.7,11.3,-0.5,3.8,4.8,2.8,6.4,7.36999999999999
"26",7,12,14,6.8,12.29,13.6,4.4,9.89,11.395,-0.4,3.83000000000001,4.8,2.9,6.5,7.4
"27",7,12.24,14,7,12.3,13.79,4.5,10.1,11.595,-0.4,3.9,4.8,2.95,6.6,7.465
"28",7,12.6,14,7,12.5,14,4.6,10.3,11.8,-0.3,3.9,4.8,3.05,6.63000000000001,7.6
"29",7.1,12.8,14.3,7.1,12.7,14.5,4.7,10.5,12.2,-0.2,3.9,4.8,3.1,6.7,7.6
"30",7.3,13,14.37,7.2,12.8,14.6,4.7,10.6,12.4,-0.2,3.83000000000001,4.865,3.1,6.8,7.7
"31",7.3,13,14.77,7.25,13,15.215,4.8,10.7,12.9,-0.2,3.9,4.9,3.2,6.9,7.9
"32",7.5,13.08,15,7.3,13.22,15.32,4.9,10.92,13,-0.2,4,5,3.3,7.1,8.1
"33",7.7,13.34,15,7.5,13.4,15.505,5,11.21,13.1,-0.2,4,5,3.3,7.2,8.2
"34",7.8,13.44,15.07,7.5,13.51,15.505,5.1,11.3,13.1,-0.2,4,5,3.4,7.3,8.2
"35",8,13.7,15.1,7.7,13.6,15.605,5.1,11.31,13.1,-0.1,4,5,3.4,7.3,8.2
"36",8,14,15.2,7.85,13.6,15.9,5.3,11.61,13.205,0,4,5,3.5,7.4,8.3
"37",8,14,15.35,8,13.8,15.9,5.3,11.7,13.31,0,4,5,3.6,7.4,8.43999999999999
"38",8,14,15.7,8.1,14.1,15.93,5.45,11.8,13.6,0,4,5,3.6,7.4,8.6
"39",8.3,14.2,15.9,8.1,14.2,16.2,5.6,12,13.915,0,4,5,3.7,7.5,8.6
"40",8.4,14.2,16,8.2,14.3,16.3,5.7,12.26,14.215,0,4,5,3.7,7.6,8.7
"41",8.5,14.36,16,8.35,14.43,16.5,5.7,12.6,14.515,0,4,5,3.8,7.7,8.9
"42",8.8,14.7,16.08,8.55,14.7,16.6,5.8,12.9,14.9,0,4,5.075,3.9,7.9,9
