"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",6.1,11.2,12.8,6,11.3,12.8,3.4,8.75,10.25,-1,3.6,4.355,2.3,6.2,7.1
"2",9,15.3,16.6,9.1,15.5,17.23,6.5,13.6,15.3,0,4.8,6,4.4,8.4,9.39499999999999
"3",15,20.49,21.3,15.1,21.63,22.8,12.85,19.5,20.865,4,8.4,9.7,9.25,13.3,14
"4",18.2,23.81,25,19.1,25.5,26.9,16.9,23.7,25.005,8,11.31,12,12.7,16.8,17.905
"5",24,28.9,30.1,26,32.2,34.045,24.2,30.59,32.4,12.95,16.1,17.2,18.1,22.19,23.4
"6",27.8,32.2,33.31,31.4,37.8,39.505,29.4,36.11,38.005,16.8,20.3,21.4,21.9,26.3,27.305
"7",30.4,33.4,34.3,35.45,40.19,41.3,33.9,38.7,40,19,22,22.95,24.6,27.6,28.3
"8",30,33.3,34.245,35,40.3,41.9,33.6,39.3,41.1,18.5,21.4,22,23.9,26.8,27.8
"9",25.3,29.1,30,28.9,34.1,35.605,27.5,33.2,34.9,14.7,18,19,19.6,22.6,23.605
"10",18.7,23.7,25,20.8,27.21,29.2,19,26.3,28.055,10.15,14.9,15.845,14.1,17.9,19.2
"11",11.3,16.13,17.5,11.8,17.7,19.4,9.8,15.8,17.54,4.4,9.93000000000001,11,7.9,11.9,13
"12",7,11,12.8,7,11.22,12.8,4.5,9.1,10.365,0,5,7,3.3,7.4,8.4
