"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",14,17,18,14.3,18.8,19.9,10.8,16.1,17.24,5,9.97,11,9.05,13.2,14.335
"2",14,17,18,14.3,18.7,19.735,10.8,16,17.2,5,9.8,11,9,13.17,14.3
"3",14,17,18,14.2,18.6,19.6,10.8,16,17.1,4.8,9.4,11,8.9,13.1,14.1
"4",13.8,17,18,14.2,18.58,19.6,10.8,16,17.045,4.75,9.34000000000001,11,8.8,12.97,14
"5",13.8,17,18,14.1,18.5,19.6,10.7,15.98,17.04,4.7,9.34000000000001,11,8.8,12.9,13.935
"6",13.7,17,18,14.1,18.48,19.6,10.7,15.9,16.9,4.65,9,11,8.8,12.9,13.9
"7",13.8,16.9,18,14.1,18.28,19.44,10.7,15.8,16.84,4.4,9,11,8.7,12.8,13.9
"8",13.6,16.7,17.7,14,18.1,19.4,10.8,15.6,16.8,4.4,9,10.87,8.7,12.7,13.835
"9",13.6,16.68,17.7,14.1,18.1,19.3,10.8,15.5,16.7,4.35,9,10.8,8.6,12.6,13.7
"10",13.6,16.7,17.7,14.1,18,19.3,10.8,15.5,16.7,4.45,9,10.4,8.6,12.6,13.7
"11",13.6,16.68,17.7,14.1,18,19.24,10.7,15.68,16.7,4.45,9,10.4,8.6,12.6,13.635
"12",13.7,16.6,17.7,14.1,18,19.2,10.7,15.68,16.7,4.45,9,10.2,8.6,12.6,13.6
"13",13.8,16.7,17.74,14.2,18,19.24,10.7,15.68,16.7,4.6,9,10.2,8.65,12.6,13.7
"14",13.8,16.7,17.74,14.1,18.1,19.3,10.7,15.7,16.7,4.6,9,10,8.7,12.6,13.535
"15",13.8,16.86,17.8,14.1,18.1,19.28,10.7,15.7,16.6,4.6,9,10,8.7,12.7,13.5
"16",13.7,16.9,17.8,14.1,18.1,19.2,10.7,15.7,16.6,4.6,9,10,8.7,12.6,13.5
"17",13.7,16.7,17.7,14.1,18,19.08,10.7,15.56,16.6,4.6,9,10,8.7,12.5,13.375
"18",13.6,16.76,17.6,14.1,17.9,18.9,10.7,15.5,16.5,4.7,9,10,8.7,12.45,13.375
"19",13.8,16.7,17.5,14.1,17.8,18.8,10.7,15.5,16.4,4.7,9,10,8.7,12.4,13.3
"20",13.8,16.7,17.48,14.1,17.76,18.8,10.7,15.5,16.38,4.7,9,10,8.7,12.3,13.3
"21",13.8,16.7,17.58,14.2,17.8,18.8,10.7,15.5,16.4,4.6,9,10,8.7,12.3,13.3
"22",13.8,16.76,17.6,14.2,17.8,18.8,10.8,15.5,16.5,4.65,9,10,8.7,12.3,13.2
"23",13.9,16.7,17.58,14.2,17.8,18.8,10.7,15.5,16.48,4.7,9,10,8.75,12.25,13.1
"24",13.9,16.7,17.6,14.2,17.8,18.8,10.7,15.5,16.58,4.65,9,10,8.8,12.2,13
"25",14,16.7,17.6,14.2,17.8,18.8,10.7,15.4,16.58,4.6,9,10,8.8,12.2,13.075
"26",14,16.95,17.675,14.2,17.8,18.8,10.7,15.4,16.475,4.6,9,10,8.8,12.2,13.07
"27",14,17,17.7,14.25,17.8,18.8,10.8,15.4,16.4,4.6,9,10,8.8,12.2,13
"28",14,17,17.6,14.3,17.8,18.8,10.8,15.4,16.375,4.6,9,10,8.9,12.2,12.97
"29",14,17,17.67,14.3,17.84,18.8,10.8,15.4,16.3,4.4,9,10,8.9,12.2,13
"30",14,17,17.7,14.3,17.9,18.8,10.7,15.44,16.37,4.4,9,10,8.9,12.23,13
"31",14,17,17.7,14.2,17.9,18.8,10.7,15.4,16.3,4.2,9,10,8.9,12.2,13
"32",14,17,17.7,14.3,17.9,18.8,10.7,15.4,16.3,4.25,9,10,8.9,12.23,13
"33",14,17,17.8,14.3,17.93,18.865,10.7,15.4,16.3,4.45,9,10,8.9,12.3,13
"34",14,17,18,14.2,18,19,10.7,15.43,16.4,4.55,9,10,8.9,12.3,13
"35",14,17,18,14.2,18,19.065,10.6,15.5,16.4,4.2,9,10,8.9,12.33,13
