"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",13.7,16.9,17.7,14.1,18,19.1,10.7,15.6,16.6,4.6,9,10,8.7,12.6,13.455
"2",14,17.3,18,14.4,18.37,19.5,10.4,15.9,17,4.4,9,10,9.25,12.47,13.1
"3",16,20,21.2,17.1,21.7,23.2,13.7,19.4,20.7,6.8,11,12,11.6,14.7,15.4
"4",18.5,23,24.2,20,24.8,26.4,17.1,22.7,23.81,9,12.52,13.11,14.1,16.9,18
"5",23.6,28,29,26.2,31.8,33,23.8,29.7,31.1,13.2,17,18,18.6,22.2,23.1
"6",27.4,31.62,33,31.6,37.2,38.7,29.3,35.22,36.91,17,20.5,21.43,22.4,26,26.9
"7",30.2,33.69,34.6,35.6,40.5,41.7,33.55,38.8,40,19.8,22,23,25.2,27.6,28.3
"8",31,34,35,36.7,41.4,42.6,34.6,39.3,40.755,20,22.5,23,25.6,27.8,28.5
"9",27,30,31.005,31.2,35.9,37.2,29.2,34.21,35.6,16.6,19.4,20,21.6,24.3,25.1
"10",23,26.8,28,26,31.3,32.9,23.8,29.7,31.3,13,16.4,17.4,17.8,20.9,21.6
"11",18,22,23,19.4,24.6,26.1,16.5,22.6,23.9,8.9,13,14.405,13.1,17,18.2
"12",14.4,18,19,15.1,19.8,20.95,11.6,17.3,18.865,5.8,10.4,12,9.9,14.1,15.1
