"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",15.4,19,20.3,16.3,20,21.35,9.7,15,16.15,10,13.9,14.8,13,16,17.2
"2",15.4,19,20.25,16.2,19.9,21.15,9.6,14.9,16.1,10,13.7,14.7,12.9,15.9,17.2
"3",15.2,18.6,20,16.1,19.8,21.05,9.6,14.8,16.1,10,13.5,14.7,12.9,15.8,17.1
"4",15.2,18.4,20,16,19.7,21,9.6,14.8,16.1,10,13,14.6,12.8,15.7,16.9
"5",15.2,18.4,20,15.9,19.6,20.95,9.6,14.7,15.9,10,13,14.55,12.8,15.6,16.9
"6",15.1,18.3,20,15.9,19.4,20.8,9.6,14.7,15.8,10,13,14.4,12.8,15.5,16.9
"7",15,18.2,19.5,15.9,19.3,20.7,9.65,14.7,15.7,10,13,14.39,12.7,15.49,16.9
"8",15,18.1,19.345,15.9,19.19,20.545,9.7,14.7,15.7,10,13,14,12.7,15.4,16.54
"9",15,18.09,19.345,15.9,19.1,20.545,9.7,14.7,15.8,10,13,14,12.7,15.3,16.5
"10",15,18.1,19.345,15.9,19.1,20.5,9.7,14.7,15.745,10,13,14,12.7,15.3,16.5
"11",15,18.1,19.345,15.85,19.1,20.445,9.65,14.6,15.7,10,13,14,12.7,15.3,16.44
"12",15,18.09,19.445,15.8,19.09,20.29,9.7,14.6,15.7,10,13,14,12.6,15.3,16.44
"13",15,18,19.345,15.8,19,20.145,9.8,14.6,15.7,10,13,14,12.6,15.3,16.4
"14",15,18,19.345,15.8,19.09,20.145,9.8,14.6,15.7,10,13,14,12.6,15.3,16.4
"15",15,18.1,19.485,15.8,19.07,20.2,9.7,14.6,15.7,10,13,14,12.6,15.3,16.4
"16",15,18.1,19.385,15.75,19,20.1,9.75,14.6,15.7,10,13,14,12.6,15.3,16.4
"17",15,18.1,19.38,15.7,19.06,20.1,9.8,14.56,15.68,10,13,14,12.6,15.3,16.2
"18",15,18.1,19.38,15.7,19,20.08,9.8,14.56,15.78,10,13,13.9,12.6,15.2,16.2
"19",15,18.06,19.2,15.7,19,20,9.9,14.56,15.7,10,13,13.8,12.5,15.2,16.2
"20",15,18.06,19.2,15.7,19,20,9.9,14.56,15.8,10,13,13.88,12.5,15.2,16.2
"21",15,18.1,19.2,15.7,19,20,9.9,14.6,15.8,10,13,13.88,12.5,15.2,16.2
"22",15,18,19.2,15.7,19,20,9.9,14.6,15.8,10,13,14,12.5,15.2,16.175
"23",15,18,19,15.7,19,19.9,9.9,14.56,15.8,10,12.96,13.9,12.5,15.2,16.1
"24",15,18,19,15.7,19,19.9,9.8,14.56,15.78,10,12.86,13.98,12.5,15.2,16.1
"25",15,18,19,15.7,19,19.9,9.8,14.5,15.78,10,12.8,13.9,12.45,15.15,16.1
"26",15,18,19,15.7,19,19.975,9.8,14.4,15.675,10,12.8,13.9,12.4,15.1,16.07
"27",15,18,19.15,15.7,19,20,9.8,14.3,15.6,10,12.85,13.9,12.5,15.1,16.07
"28",15,18.05,19.2,15.7,19,20.1,9.7,14.3,15.5,10,12.85,13.9,12.5,15.1,16.1
"29",15,18,19.2,15.6,19,20.17,9.6,14.2,15.5,10,12.84,13.9,12.5,15.1,16.1
"30",15,18,19.2,15.6,19,20.1,9.5,14.2,15.47,9.9,12.94,13.9,12.5,15.1,16.065
"31",15,18,19.17,15.6,19.1,20.17,9.5,14.2,15.5,9.9,13,13.9,12.4,15.1,15.9
"32",15,18.04,19.17,15.7,19.1,20.2,9.4,14.2,15.4,9.9,13,13.9,12.45,15.1,15.9
"33",15,18.1,19.17,15.7,19.1,20.27,9.3,14.14,15.4,10,13,13.9,12.5,15.13,15.965
"34",15,18.1,19.17,15.7,19.2,20.27,9.2,14.14,15.37,10,13,13.97,12.5,15.2,16.065
"35",15,18.14,19.2,15.7,19.2,20.3,9.2,14.1,15.37,10,13,13.9,12.5,15.2,16.1
"36",15,18.2,19.2,15.7,19.2,20.37,9.1,14.2,15.4,10,13,13.9,12.4,15.2,16.2
"37",15,18.1,19.2,15.7,19.2,20.3,9,14.2,15.4,9.9,13,13.9,12.4,15.2,16.2
"38",15,18.13,19.2,15.7,19.2,20.3,8.95,14.1,15.365,9.8,13,13.965,12.4,15.2,16.2
"39",15,18.1,19.1,15.6,19.2,20.3,9,14.1,15.3,9.8,12.93,13.965,12.4,15.2,16.165
"40",15,18.1,19.065,15.6,19.2,20.3,9,14.1,15.3,9.8,12.8,13.865,12.4,15.1,16.1
"41",15,18.1,19.165,15.7,19.2,20.365,8.95,14.1,15.3,9.75,12.8,13.8,12.4,15.1,16.1
"42",15,18.13,19.2,15.7,19.2,20.4,8.9,14.1,15.365,9.75,12.8,13.8,12.4,15.1,16.1
"43",15,18.2,19.2,15.7,19.2,20.4,8.9,14.1,15.5,9.7,12.83,13.765,12.4,15.1,15.965
"44",15,18.2,19.2,15.7,19.4,20.525,8.9,14.1,15.425,9.65,12.8,13.6,12.3,15.1,15.8
"45",15,18.23,19.2,15.7,19.4,20.5,9,14.2,15.465,9.6,12.83,13.6,12.4,15.1,15.8
"46",15,18.4,19.495,15.7,19.5,20.665,9.1,14.2,15.565,9.7,12.83,13.6,12.4,15.1,15.965
"47",15,18.7,20,15.8,19.7,21.295,9.3,14.3,15.765,9.7,12.93,13.765,12.4,15.2,16.165
"48",15,19,20.13,15.9,19.8,21.5,9.4,14.43,15.865,9.8,13,13.865,12.4,15.3,16.2
"49",15,19,20.365,15.9,19.9,21.6,9.45,14.6,15.965,9.9,13,14,12.45,15.33,16.365
"50",15,19,20.365,15.9,20,21.7,9.4,14.7,16.165,10,13,14,12.55,15.33,16.4
"51",15,19,20.765,15.9,20.1,21.7,9.35,14.8,16.365,10,13,13.965,12.55,15.33,16.565
"52",15,19,20.8,15.9,20.1,21.8,9.4,14.9,16.4,10,13,13.965,12.6,15.33,16.6
"53",15.1,19,20.865,15.95,20.2,21.9,9.5,14.9,16.6,10,13,13.8,12.6,15.4,16.6
"54",15.1,19,20.965,16,20.2,21.9,9.5,14.9,16.6,10,13,13.93,12.6,15.4,16.6
"55",15.2,19,21,16,20.3,22.1,9.5,15,16.6,10,13,13.8,12.6,15.4,16.6
"56",15.2,19,21,16,20.33,22.1,9.55,15.1,16.665,10,13,13.8,12.6,15.4,16.6
"57",15.2,19,20.965,16,20.3,22.065,9.55,15.2,16.7,10,13,13.8,12.6,15.4,16.565
"58",15.2,19,20.865,16,20.4,21.965,9.7,15.23,16.7,10,13,13.8,12.6,15.3,16.5
"59",15.2,19,21,16.1,20.5,22.1,9.9,15.3,16.7,10,13,13.8,12.7,15.33,16.5
"60",15.3,19,21,16.1,20.5,22.1,10,15.6,16.8,10,13,13.8,12.7,15.33,16.565
"61",15.4,19,21,16.2,20.5,22.165,10.2,15.7,16.8,10,13,13.8,12.8,15.4,16.565
"62",15.5,19,21,16.3,20.6,22.165,10.4,15.7,16.8,10,13,13.765,12.8,15.4,16.5
"63",15.5,19.13,21,16.3,20.6,22.2,10.5,15.9,17.065,10,13,13.765,12.8,15.4,16.5
"64",15.6,19.03,21,16.4,20.6,22.2,10.7,16,17,10,13,13.765,12.85,15.3,16.5
"65",15.7,19.03,21,16.5,20.6,22.1,10.8,16,17,10,13,13.8,12.9,15.3,16.5
"66",15.8,19.2,21,16.6,20.7,22.1,10.9,16,17,10,13,13.8,12.9,15.4,16.5
"67",15.8,19.33,21,16.7,20.9,22.33,11,16.1,17.4,10,13,13.8,12.9,15.43,16.565
"68",16,19.6,21,16.7,21,22.5,11.1,16.2,17.5,10,13,13.8,13,15.6,16.6
"69",16,19.6,21.27,16.8,21,22.6,11.2,16.3,17.6,10,13,14,13.1,15.7,16.8
"70",16,19.64,21.57,16.9,21.1,22.7,11.3,16.3,17.6,10,13,14,13.1,15.8,16.8
"71",16,19.84,21.94,17,21.3,22.985,11.55,16.5,17.9,10,13,14,13.2,15.8,17.1
"72",16,20,22,17.1,21.6,23.59,11.7,16.68,18.2,10,13,14,13.2,15.9,17.3
"73",16,20.04,22,17.2,21.6,23.895,11.8,16.79,18.395,10,13,14,13.3,16.1,17.3
"74",16,20.1,22.2,17.3,21.6,24,11.8,16.8,18.5,10.2,13,14,13.3,16.13,17.4
"75",16.1,20.14,22.2,17.4,21.7,24,11.8,17,18.705,10.35,13,14,13.4,16.2,17.4
"76",16.1,20.1,22,17.4,21.6,23.91,11.8,17,18.52,10.4,13,14,13.4,16.13,17.365
"77",16.2,20.1,22.2,17.4,21.6,24,11.9,17.1,18.715,10.4,13,14,13.4,16.13,17.4
"78",16.2,20.1,22.2,17.5,21.7,24,12.1,17.2,18.84,10.4,13,14,13.55,16.1,17.4
"79",16.3,20.14,22.27,17.5,21.7,24.25,12.15,17.25,19,10.4,13,14,13.6,16.2,17.4
"80",16.4,20.2,22.4,17.6,21.8,24.4,12.3,17.3,19.025,10.6,13,14,13.7,16.23,17.365
"81",16.5,20.6,23,17.7,22.1,24.7,12.4,17.35,19.3,10.7,13.4,14,13.7,16.3,17.5
"82",16.6,20.84,23.64,17.7,22.1,25,12.5,17.5,19.5,10.9,13.53,14,13.8,16.4,17.765
"83",16.6,21,24,17.8,22.5,25.3,12.6,17.6,19.8,11,13.6,14,13.9,16.5,18.065
"84",16.8,21,24,17.9,22.5,25.35,12.7,17.9,19.925,11,13.6,14,14,16.6,18.2
"85",17,21,24.37,18,22.65,25.85,12.9,18.1,20.325,11,13.73,14,14.1,16.7,18.4
"86",17,21.6,24.4,18.2,22.85,26,13,18.3,20.525,11,13.93,14.595,14.2,16.8,18.565
"87",17,22,25,18.3,23.4,26.2,13.1,18.62,20.93,11,14,14.865,14.3,17.13,18.6
"88",17,22,25,18.4,23.7,26.6,13.1,19.1,21.1,11,14,14.965,14.35,17.3,19.065
"89",17,22,25.07,18.5,23.9,26.73,13.1,19.26,21.2,11.25,14,15,14.4,17.4,19.1
"90",17.1,22.34,25.1,18.5,24.1,26.83,13.1,19.3,21.43,11.6,14,15,14.4,17.4,19.1
"91",17.2,22.34,25.1,18.5,24.22,26.93,13.2,19.3,21.53,11.7,14,15,14.5,17.4,19.1
"92",17.2,22.48,25.17,18.6,24.4,27.03,13.3,19.46,21.73,11.8,14,15,14.6,17.5,19.1
"93",17.3,22.76,25.17,18.6,24.46,27.1,13.3,19.5,21.63,11.8,14,15,14.6,17.53,19.165
"94",17.4,23,25.17,18.7,24.6,27.1,13.4,19.66,21.8,11.95,14,15,14.7,17.63,19.2
"95",17.4,23,25.17,18.7,24.6,27.1,13.4,19.7,21.8,12,14,15,14.7,17.7,19.2
"96",17.4,23,25.34,18.7,24.66,27.13,13.4,19.66,21.86,12,14,15,14.7,17.73,19.265
"97",17.5,23,25.4,18.8,24.95,27.2,13.5,19.95,22.025,12,14,15,14.7,17.8,19.265
"98",17.6,23,25.4,18.9,25,27.22,13.6,20,22.1,12,14.13,15,14.8,17.8,19.3
"99",17.7,23,25.33,18.9,25,27.2,13.7,20.3,22.1,12,14.43,15,14.8,17.8,19.3
"100",17.85,23,25.2,19,25,27.11,13.8,20.3,22.1,12,14.6,15,14.9,17.8,19.2
"101",18,23,25.1,19.1,24.91,27.1,13.95,20.3,22.1,12,14.6,15,14.9,17.8,19.1
"102",18,23,25.1,19.1,25,27.1,14.1,20.4,22.4,12,14.8,15,14.9,17.9,19.1
"103",18,23.23,25.2,19.3,25.19,27.195,14.3,20.6,22.5,12,14.93,15.6,15.1,18.1,19.3
"104",18,23.46,25.665,19.4,25.3,27.39,14.4,20.8,22.7,12.1,15,15.665,15.1,18.2,19.43
"105",18,23.46,25.665,19.4,25.47,27.385,14.4,20.9,22.9,12.4,15,15.765,15.2,18.23,19.5
"106",18.2,23.46,25.7,19.5,25.5,27.4,14.5,21,23.18,12.5,15,15.8,15.3,18.3,19.565
"107",18.2,23.73,25.8,19.6,25.7,27.7,14.7,21.1,23.3,12.6,15,15.865,15.4,18.4,19.6
"108",18.3,24,25.93,19.8,25.8,28,14.9,21.4,23.4,12.8,15,15.965,15.5,18.4,19.765
"109",18.4,24.1,26,20,25.94,28.2,15,21.74,23.77,12.85,15,16,15.6,18.4,19.9
"110",18.5,24.13,26,20.1,26.1,28.4,15.2,21.94,23.97,13,15,16,15.7,18.6,20.03
"111",18.6,24.2,26,20.2,26.1,28.47,15.3,22.1,24.1,13,15,16,15.7,18.73,20.1
"112",18.8,24.2,26,20.3,26.1,28.5,15.5,22.1,24.27,13,15.23,16,15.8,18.8,20.2
"113",19,24.2,26.165,20.5,26.28,28.5,15.5,22.1,24.37,13,15.6,16,15.9,18.83,20.365
"114",19,24.2,26.2,20.6,26.4,28.6,15.6,22.1,24.4,13,15.8,16.23,16,18.93,20.4
"115",19,24.2,26.6,20.7,26.6,28.87,15.8,22.4,24.5,13,15.9,16.565,16.1,19.13,20.565
"116",19,24.3,26.6,20.9,26.73,29.23,16,22.53,24.8,13,16,16.8,16.2,19.2,20.6
"117",19,24.4,27,21,26.83,29.8,16.2,22.9,25.3,13.15,16,16.965,16.3,19.3,20.8
"118",19.2,24.6,27,21.1,27.2,29.965,16.4,23.2,25.465,13.4,16,17,16.4,19.4,20.9
"119",19.4,24.63,27,21.4,27.39,30.165,16.7,23.5,25.5,13.65,16,17,16.6,19.6,20.965
"120",19.55,24.86,27.195,21.6,27.8,30.2,17,23.83,25.7,13.9,16.1,17,16.7,19.8,21.1
"121",19.8,25,27.3,21.6,27.9,30.365,17.1,24.03,25.9,14,16.4,17,16.8,20.1,21.165
"122",20,25,27.3,21.8,28,30.4,17.2,24.2,25.965,14,16.6,17,16.9,20.2,21.2
"123",20,25.2,27.365,22,28.24,30.4,17.5,24.4,26.1,14,16.8,17.365,17.1,20.2,21.2
"124",20,25.63,27.6,22.2,28.5,30.77,17.9,24.74,26.5,14,16.9,17.6,17.2,20.4,21.3
"125",20.2,25.73,27.6,22.5,28.84,30.97,18.1,25.04,26.6,14.2,17,17.8,17.3,20.4,21.5
"126",20.3,26,27.665,22.7,29.12,31,18.3,25.3,26.8,14.5,17,17.865,17.4,20.6,21.6
"127",20.5,26,28,22.8,29.6,31.1,18.5,25.44,27.2,14.7,17,18,17.6,20.8,21.8
"128",20.8,26.23,28,22.9,29.8,31.47,18.7,25.64,27.47,14.9,17,18,17.7,20.83,21.965
"129",21,26.6,28,23.1,29.9,31.67,18.8,25.78,27.8,15,17.4,18,17.8,21.1,22.2
"130",21,26.9,28.2,23.4,30.05,31.975,19,26.1,27.9,15,17.63,18,17.9,21.2,22.3
"131",21.2,27,28.6,23.6,30.16,32.28,19.2,26.26,28,15,17.8,18.2,18.1,21.33,22.4
"132",21.25,27,28.93,23.8,30.4,32.58,19.3,26.5,28.1,15,18,18.6,18.2,21.53,22.565
"133",21.4,27,29,24,30.4,32.78,19.5,26.6,28.4,15,18,18.8,18.3,21.6,22.6
"134",21.7,27,29,24.2,30.6,32.88,19.8,26.7,28.78,15.4,18,19,18.4,21.7,22.7
"135",22,27.2,29,24.5,30.9,32.98,20.1,26.86,29.18,15.6,18,19,18.6,21.83,22.9
"136",22,27.3,29,24.6,31,33.08,20.3,27.16,29.3,15.9,18.4,19,18.8,22.03,23
"137",22,27.3,29.065,24.8,31,33.18,20.5,27.2,29.38,16,18.6,19,18.95,22.1,23.1
"138",22.2,27.43,29.1,24.9,31.1,33.2,20.7,27.4,29.48,16,18.8,19,19.1,22.2,23.265
"139",22.3,27.6,29.395,25,31.22,33.28,20.9,27.6,29.6,16,19,19.365,19.2,22.3,23.4
