"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",14.4,17,18.62,15.4,18.7,20.01,7.4,13.3,14.86,11,13.8,14.03,12.9,15.2,16.11
"2",14.4,17,18.4,15.3,18.7,19.9,7.3,13.3,14.95,11,13.6,14,12.8,15.1,15.9
"3",14.2,17,18.2,15.3,18.6,19.7,7.3,13.3,14.855,11,13.22,14,12.8,15.1,15.9
"4",14.2,17,18.18,15.2,18.6,19.59,7.3,13.3,14.9,11,13.2,14,12.7,15,15.8
"5",14,17,18,15.1,18.47,19.5,7.3,13.27,14.835,11,13,14,12.7,14.9,15.8
"6",14,17,18,15.1,18.4,19.4,7.4,13.2,14.65,11,13,14,12.6,14.85,15.7
"7",14,17,18,15.1,18.25,19.4,7.4,13.24,14.64,11,13,14,12.6,14.8,15.6
"8",14,17,18,15.1,18.2,19.4,7.5,13.2,14.5,11,13,14,12.6,14.7,15.5
"9",14,17,18,15,18.1,19.2,7.5,13.2,14.5,11,13,14,12.6,14.7,15.4
"10",14,17,18,15,18,19.155,7.4,13,14.4,11,13,14,12.5,14.7,15.4
"11",14,16.8,17.9,15,18,19.1,7.4,12.89,14.395,11,13,14,12.4,14.7,15.345
"12",14,16.8,18,14.9,17.9,19.1,7.3,12.8,14.3,10.8,13,14,12.4,14.6,15.3
"13",14,16.8,18,14.8,17.9,19.1,7.3,12.86,14.4,10.8,13,14,12.4,14.6,15.3
"14",14,16.8,18,14.8,17.9,19.1,7.3,12.9,14.4,10.8,13,13.8,12.4,14.6,15.3
"15",14,16.8,18,14.8,17.9,19.2,7.2,12.8,14.3,10.8,13,14,12.4,14.6,15.3
"16",14,16.8,18,14.8,17.9,19.2,7.25,12.8,14.3,10.8,13,13.8,12.4,14.6,15.3
"17",14,16.8,18,14.8,17.9,19.2,7.2,12.8,14.3,10.8,13,13.8,12.3,14.5,15.225
"18",14,16.8,18,14.8,17.9,19.125,7.2,12.73,14.2,10.8,13,13.6,12.3,14.44,15.2
"19",14,16.68,18,14.8,17.84,19.12,7.2,12.71,14.2,10.8,13,13.6,12.3,14.4,15.1
"20",14,16.6,18,14.8,17.8,19.1,7.3,12.7,14.2,10.8,13,13.44,12.3,14.4,15.1
"21",14,16.64,17.82,14.8,17.82,19.1,7.35,12.77,14.3,10.8,13,13.2,12.3,14.4,15.1
"22",14,16.6,17.61,14.8,17.8,19,7.35,12.7,14.3,10.8,13,13.2,12.3,14.3,15.1
"23",14,16.6,17.4,14.8,17.7,18.9,7.2,12.7,14.3,10.8,13,13.01,12.3,14.3,15
"24",14,16.6,17.59,14.7,17.7,18.895,7.2,12.8,14.305,10.8,12.8,13,12.3,14.2,15
"25",14,16.4,17.58,14.7,17.68,18.8,7.2,12.7,14.2,10.6,12.98,13,12.3,14.2,15
"26",14,16.2,17.4,14.7,17.6,18.7,7.1,12.6,14.2,10.6,12.94,13,12.3,14.2,14.975
"27",14,16.2,17.4,14.65,17.6,18.6,7.1,12.6,14.08,10.6,12.8,13,12.3,14.2,14.87
"28",14,16.2,17.4,14.6,17.6,18.7,7.1,12.6,14,10.6,12.8,13,12.3,14.2,14.87
"29",14,16.2,17.4,14.6,17.6,18.7,7.1,12.6,13.9,10.6,12.6,13,12.2,14.2,14.865
"30",14,16.08,17.4,14.5,17.44,18.6,7,12.6,13.7,10.6,12.6,13,12.2,14.1,14.8
"31",14,16.08,17.4,14.6,17.4,18.6,6.9,12.6,13.65,10.6,12.6,13,12.2,14.13,14.865
"32",14,16.2,17.4,14.6,17.4,18.6,6.9,12.54,13.5,10.4,12.6,13,12.2,14.2,14.97
"33",14,16.2,17.54,14.6,17.44,18.67,6.8,12.34,13.4,10.4,12.6,13,12.2,14.2,15
"34",14,16.2,17.94,14.6,17.54,18.87,6.8,12.3,13.4,10.4,12.68,13,12.2,14.2,15.07
"35",14,16.48,18,14.6,17.6,19,6.8,12.4,13.47,10.4,12.6,13,12.2,14.2,15.1
"36",14,16.6,18,14.6,17.7,19,6.8,12.4,13.47,10.2,12.6,13,12.2,14.2,15.2
"37",14,16.48,18,14.5,17.7,19,6.7,12.4,13.4,10.2,12.6,13,12.2,14.2,15.2
"38",14,16.4,17.8,14.5,17.64,19,6.7,12.4,13.4,10.2,12.6,13,12.2,14.2,15.2
"39",14,16.48,18,14.5,17.7,19,6.7,12.6,13.5,10,12.6,13,12.2,14.2,15.27
"40",14,16.4,18,14.6,17.7,19,6.8,12.7,13.9,10,12.48,13,12.2,14.2,15.27
"41",14,16.4,18,14.6,17.74,19,6.8,12.7,13.97,10,12.4,13,12.2,14.2,15.2
"42",14,16.6,18,14.6,17.9,19.07,6.7,12.8,14,10,12.48,13,12.2,14.24,15.2
"43",14,16.8,18,14.7,18,19.17,6.8,12.8,14,10,12.6,13,12.2,14.3,15.3
"44",14,17,18,14.7,18.16,19.3,6.8,12.9,14.2,10,12.4,13,12.1,14.3,15.3
"45",14,17,18,14.7,18.1,19.27,6.8,12.9,14.2,10,12.4,13,12.1,14.3,15.3
"46",14,17,18,14.7,18.14,19.3,6.8,13.04,14.3,10,12.6,13,12.2,14.3,15.4
"47",14,17,18,14.8,18.34,19.5,6.9,13.1,14.4,10,12.6,13,12.2,14.44,15.4
"48",14,17,18,14.8,18.4,19.57,6.8,13.2,14.47,10,12.8,13,12.2,14.6,15.6
"49",14,17,18.54,14.8,18.5,19.8,6.8,13.2,14.6,10,12.8,13,12.2,14.6,15.6
"50",14,17,18.8,14.9,18.54,19.87,6.8,13.2,14.6,10,12.8,13,12.3,14.6,15.7
"51",14,17.4,19,14.9,18.6,20,6.7,13.2,14.7,10,12.8,13,12.25,14.7,15.775
"52",14,17.4,19,14.9,18.6,20,6.65,13.2,14.775,10,12.8,13,12.3,14.7,15.775
"53",14,17.4,19,14.9,18.65,20,6.7,13.25,14.975,10,12.8,13.2,12.3,14.75,15.8
"54",14,17.4,19,14.9,18.8,20,6.75,13.3,15,10,12.8,13.2,12.3,14.85,15.8
"55",14,17.4,19,14.95,18.8,20,6.8,13.4,15,10,12.8,13.2,12.3,14.9,15.8
"56",14,17.4,19,15,18.8,20,6.95,13.4,15.1,10,12.8,13.2,12.3,14.85,15.8
"57",14,17.2,19,15,18.7,20,6.9,13.4,15.075,10,13,13.2,12.3,14.85,15.8
"58",14,17.4,19,15,18.8,20.075,7,13.45,15.175,10,13,13.35,12.3,14.9,15.8
"59",14,17.6,19,15.1,19,20.1,7.3,13.65,15.2,10,13,13.55,12.4,15.1,15.9
"60",14,17.8,19.15,15.1,19,20.3,7.4,13.8,15.4,10.2,13,13.6,12.4,15.2,15.975
"61",14,17.8,19.34,15.1,19.04,20.37,7.4,13.9,15.4,10.2,13,13.6,12.5,15.2,16
"62",14.2,18,19.54,15.1,19.14,20.5,7.6,14,15.5,10.4,13,13.6,12.5,15.2,16.1
"63",14.2,18,19.6,15.2,19.24,20.57,7.8,14,15.6,10.4,13,13.6,12.5,15.2,16.2
"64",14.2,18,19.6,15.3,19.24,20.57,7.9,14,15.6,10.6,13,13.6,12.6,15.2,16.2
"65",14.4,18,19.6,15.3,19.3,20.67,8,14.1,15.6,10.6,13,13.6,12.6,15.2,16.2
"66",14.4,18,19.6,15.4,19.4,20.77,8.15,14.1,15.6,10.6,13,13.74,12.6,15.3,16.27
"67",14.4,18,20,15.5,19.44,20.8,8.25,14.3,15.6,10.8,13,13.8,12.7,15.4,16.6
"68",14.6,18.2,20,15.6,19.5,20.9,8.3,14.4,15.775,10.8,13,13.8,12.7,15.4,16.7
"69",14.8,18.2,20,15.6,19.5,20.9,8.3,14.3,15.8,10.8,13,14,12.8,15.4,16.7
"70",15,18.4,20,15.7,19.6,21,8.3,14.4,15.8,11,13,14,12.8,15.5,16.8
"71",15,18.8,20,15.8,19.74,21,8.5,14.4,15.8,11,13,14,12.9,15.6,16.9
"72",15,19,20.4,15.9,19.8,21.17,8.5,14.45,15.975,11,13.2,14,12.9,15.74,17.07
"73",15,19,20.6,16,20.04,21.4,8.5,14.6,16.1,11,13.2,14,13,15.7,17.17
"74",15,19,20.95,16.1,20.1,21.7,8.6,14.7,16.44,11,13.2,14,13.1,15.8,17.375
"75",15,19,20.96,16.1,20.1,21.88,8.6,14.77,16.5,11,13.2,14,13.1,15.8,17.38
"76",15,19.14,21,16.2,20.27,22.27,8.7,14.9,16.59,11,13.54,14,13.15,15.87,17.585
"77",15,19.2,21,16.2,20.38,22.28,8.7,14.9,16.6,11,13.4,14,13.2,15.9,17.59
"78",15,19.4,21,16.3,20.4,22.3,8.9,14.9,16.6,11,13.56,14,13.2,15.9,17.6
"79",15,19.4,21,16.3,20.4,22.28,9,15.1,16.7,11,13.6,14,13.3,15.9,17.6
"80",15.2,19.4,21,16.4,20.4,22.1,9.1,15.1,16.6,11,13.54,14,13.3,16.07,17.6
"81",15.2,19.6,21,16.5,20.5,22.3,9.2,15.1,16.6,11,13.6,14,13.4,16.2,17.79
"82",15.4,19.96,21.6,16.6,20.78,22.6,9.2,15.19,16.7,11.2,13.6,14,13.4,16.3,17.8
"83",15.4,20,21.6,16.7,20.9,22.89,9.3,15.39,16.8,11.4,13.8,14.2,13.6,16.38,17.8
"84",15.6,20,21.8,16.8,21.08,23,9.4,15.5,17.095,11.6,13.8,14.4,13.6,16.58,17.9
"85",15.8,20,22,16.9,21.3,23.1,9.5,15.6,17.5,11.6,14,14.4,13.7,16.7,18.2
"86",16,20,22,17,21.6,23.3,9.7,15.8,17.7,11.8,14,14.6,13.8,16.8,18.3
"87",16,20.4,22.38,17.2,21.8,23.59,9.7,16.1,18.09,11.8,14,14.8,13.8,17.08,18.3
