"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",14,16.8,18,14.8,17.9,19.2,7.1,12.8,14.2,10.8,13,13.8,12.4,14.53,15.3
"2",14,17,18,14.8,18.2,19.4,6.8,13.1,14.4,10,12.6,13,12.2,14.4,15.4
"3",15,19.2,21,16.2,20.34,22.1,8.6,14.9,16.575,11,13.6,14,13.2,15.9,17.6
"4",17,22.1,24,18.55,23.3,25.4,11,18.2,20.4,12.4,15,15.64,14.8,18.3,19.8
"5",21.3,27.8,29.4,23.3,29.2,31,16.8,24.3,26.4,15.6,19,20,18.5,23.3,25.2
"6",25.2,32,33.8,28.7,34.43,36.7,23.3,30.63,32.6,19,23,24,22.3,27.3,29.515
"7",27.8,33.6,36,32.4,38,40,27.4,34.59,36.4,22,25,26,24.95,29.3,31.245
"8",28.8,34,35.36,34.2,38.86,40.5,29.1,35.2,36.96,23,26,27,26,30.16,31.6
"9",26,30,31.4,30.8,35.6,37.5,25.25,31.3,33.8,21,24,24.94,23.7,26.7,27.9
"10",23,27,28.12,26.3,31.62,32.7,20.2,26.62,28.6,18.4,21,22,20.8,24,24.7
"11",18.4,22,23.02,20.4,24.72,26,13,19.52,21.01,14.8,18,19,16.7,19.72,20.8
"12",15,18,19.17,16.4,19.8,21.085,8,14.4,16.1,12,14.4,15,13.7,16.1,16.9
