"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",8.9,13.2,14.4,8.6,14.23,15.5,5.1,11.2,12.5,1.85,7,8.8,5,10,11.25
"2",8.9,13.2,14.58,8.6,14.3,15.5,5.1,11.14,12.5,1.8,7,8.8,5,9.91,11
"3",8.7,13.1,14.3,8.5,14.15,15.4,5,11,12.4,1.55,7,8.765,4.9,9.9,10.9
"4",8.7,13,14,8.6,14,15.2,4.9,10.96,12.38,1.1,7,8.7,4.8,9.9,10.9
"5",8.9,13,14,8.6,14,15.18,4.9,10.9,12.3,1,7,8.625,4.9,9.84,10.9
"6",9,13,14,8.6,13.97,15.1,4.9,10.77,12.3,1,7,8.4,4.8,9.75,10.875
"7",9,13,14,8.6,13.9,15,4.9,10.7,12.3,1,6.6,8,4.8,9.66,10.7
"8",9,13,14,8.6,13.8,14.99,4.9,10.58,12.1,1,6.3,8,4.7,9.6,10.7
"9",9,13,14,8.7,13.79,14.895,5.05,10.5,11.995,1,6.3,8,4.7,9.57,10.685
"10",9,13,14,8.7,13.68,14.8,5.1,10.7,11.99,1,6.27,8,4.7,9.6,10.7
"11",9,13,14,8.7,13.6,14.8,5.1,10.68,11.89,1,6.3,8,4.7,9.6,10.7
"12",9,13,14,8.8,13.7,14.89,5.2,10.7,12,1,6.37,8,4.8,9.6,10.7
"13",9,13,14,8.8,13.8,14.9,5.2,10.7,12.1,1,6.26,8,4.8,9.6,10.7
"14",9,13,14,8.8,13.8,14.9,5.2,10.7,12.195,1,6,8,4.8,9.6,10.69
"15",9,13,14,8.9,13.9,15,5.3,10.8,12.3,1,6,8,4.8,9.56,10.7
"16",9,13,14,8.9,13.9,15,5.3,10.8,12.325,1,6,8,4.8,9.5,10.62
"17",9,13,14,9,13.9,15,5.35,10.9,12.4,1,6,8,4.8,9.4,10.5
