"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",9,13,14,9,13.9,15,5.3,10.8,12.4,1,6,8,4.8,9.5,10.6
"2",11,15.3,16.7,11.1,15.9,17.125,7,13.4,14.9,1,6.8,7.85,6.2,10.2,11.1
"3",14.8,19.8,21,14.8,20.2,21.7,10.7,17.7,19.87,3.4,8.2,9.8,9.5,13.4,14.3
"4",17.4,22.1,23.8,18.3,23.63,24.915,14.4,21.4,23,6,10,11,12.4,16.2,17.415
"5",23,28,29,24.3,30.4,31.95,21.5,28.4,30.3,10,14,15,17.4,21.6,22.75
"6",27,32,34,29.6,35.6,37.3,27,33.8,35.6,13.8,17,18,21.5,26.1,27.5
"7",30.6,35,36,33.7,38.2,39.46,31.2,36.84,38.47,16,19,20,24.7,28.2,29.2
"8",30.7,35,36,34,38.5,39.66,31.6,37.5,38.6,16.7,19.6,20,24.5,28.5,29.26
"9",26,30,31,28.5,33.8,35,25.7,32.4,33.805,13.7,17,17.9,20.3,23.4,24.4
"10",20,25,26,22.2,28,29.3,19.2,26,27.85,10,14.7,16,15.3,19.4,20.35
"11",14,18,19,14.5,20.11,21.505,11.1,17.6,19.105,6,10.42,12,9.6,13.9,15.505
"12",9,14,15.2,9.4,15.03,16.5,5.8,11.7,13.115,2,7.99,9,5.8,10.6,11.9
