"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",11.3,17,19.2,11.5,17.5,20,8.9,14.4,15.465,2,7,8.76999999999998,6.3,11,13.3
"2",11.2,17,19.07,11.4,17.4,19.8,8.8,14.3,15.37,2,7,8.76999999999998,6.3,11,13.335
"3",11.15,17,19.07,11.3,17.3,19.8,8.7,14.2,15.3,2,7,8.46999999999998,6.3,10.9,13.235
"4",11.1,17,19,11.3,17.19,19.5,8.7,14.2,15.39,1.9,7,8.48,6.2,10.78,13.04
"5",11,17,19,11.3,17.19,19.635,8.6,14.1,15.3,2,7,8.48,6.2,10.7,12.84
"6",11,16.9,19,11.2,17.1,19.635,8.6,14.1,15.3,2,6.8,8.14,6.2,10.7,12.84
"7",11,16.88,18.76,11.2,17.1,19.3,8.5,14,15.11,1.9,6.8,8,6.1,10.6,12.88
"8",11,16.8,18.54,11.2,16.8,19.2,8.5,14,15,1.8,6.78000000000001,8,6.1,10.6,12.8
"9",11,16.7,18.2,11.3,16.79,19,8.5,13.8,15,1.8,6.56000000000001,8,6.1,10.56,12.54
"10",11,16.4,18,11.2,16.6,18.845,8.5,13.8,14.9,1.8,6.18000000000001,8,6.1,10.4,12.2
"11",11,16.3,18,11.2,16.6,18.745,8.5,13.7,14.82,1.8,6,8,6.1,10.4,12.08
"12",11,16.3,18,11.2,16.6,18.7,8.5,13.7,14.9,1.8,6,7.84,6.1,10.4,12
"13",11,16.48,18,11.2,16.79,18.745,8.5,13.7,14.9,1.8,6,7.74,6.2,10.4,12.08
"14",11,16.4,18,11.2,16.69,18.59,8.6,13.8,14.925,1.8,6,7.74,6.2,10.4,12
"15",11,16.4,18,11.2,16.77,18.785,8.6,13.9,14.9,1.8,6,7.7,6.2,10.4,12.16
"16",11,16.4,18,11.2,16.7,18.5,8.6,13.83,14.9,1.7,6,7.6,6.2,10.4,12
"17",11,16.3,18,11.2,16.6,18.3,8.6,13.93,14.9,1.7,6,7.57999999999999,6.2,10.36,11.9
"18",11,16.2,18,11.3,16.6,18.3,8.55,13.9,14.9,1.7,6,7.57999999999999,6.2,10.26,11.9
"19",11,16.2,17.84,11.3,16.57,18.285,8.6,13.83,14.9,1.6,6,7.5,6.2,10.2,11.9
"20",11,16.26,17.84,11.3,16.6,18.285,8.6,13.9,14.965,1.7,6,7.27999999999999,6.2,10.2,11.88
"21",11,16.3,17.6,11.3,16.6,18.285,8.6,13.9,15,1.6,6,7.2,6.2,10.2,11.8
"22",11.1,16.3,17.6,11.3,16.6,18.3,8.7,13.9,15.06,1.8,6,7.27999999999999,6.3,10.16,11.64
