"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",11,16.3,18,11.3,16.6,18.365,8.6,13.8,14.9,1.6,6,7.55999999999999,6.2,10.4,11.96
"2",12,17.4,19.2,11.9,18.08,19.78,8.9,14.9,16.3,2,6.7,8,6.7,11.2,12.69
"3",15,20,22,15.4,21.01,22.91,12.3,17.7,19.5,4,8.6,9.7,9.9,13.6,14.9
"4",18,22,23.4,19.1,23.7,24.9,16,20.8,22.3,7,11,12,12.9,16.2,17.1
"5",22.6,27,28.6,24.9,30.6,32.5,22.5,28.5,30.5,11.7,15,16,17.7,21.2,22.25
"6",27,31.32,32.61,30.4,36.6,38.21,28,34.5,36,15,19,19.71,21.8,25.6,26.6
"7",29.5,33.96,35,34.2,39.6,41.7,32,38,39.885,17.7,20.22,21,24.5,27.4,28.3
"8",29.4,33.19,34.3,34.75,39.6,41.095,32.85,38.1,39.3,17.8,20.19,21,24.2,27.2,28
"9",26,29.4,31.13,29.8,35,36.6,27.4,33.56,34.9,14.8,17.8,18.63,20.4,23.56,24.53
"10",21.4,26,27.2,23.9,29.6,30.75,21.6,27.7,28.8,11,15,16,16.1,19.8,20.95
"11",16,21,22.2,17.1,22.6,24.4,14.6,20.22,21.61,6.4,11.6,12.91,11,15.6,16.8
"12",12.2,18,20.155,12.7,18.6,20.8,9.8,15.1,16.5,3,8,9.755,7.4,12.3,14.65
