"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",11,15,15.63,11.2,16.1,17,6.95,12.7,13.715,2.8,8.4,9.8,6.4,11.3,12.4
"2",11,15,15.53,11.2,16,16.93,6.9,12.7,13.7,2.8,8,9.45999999999999,6.4,11.3,12.33
"3",11,15,15.4,11.1,15.96,16.9,6.9,12.7,13.6,2.6,8,9.2,6.3,11.3,12.3
"4",11,15,15.4,11.1,15.9,16.9,6.9,12.5,13.6,2,8,9,6.2,11.2,12.23
"5",11,15,15.4,11.2,16,16.9,6.9,12.7,13.7,2.4,8,9,6.3,11.2,12.3
"6",11,15,15.4,11.3,15.96,16.9,7,12.7,13.615,2,8,9,6.3,11.2,12.3
"7",11,15,15.4,11.3,15.9,16.9,7,12.73,13.715,2,8,9,6.2,11.1,12.23
"8",11,15,15.4,11.2,15.9,16.8,7,12.8,13.7,2,8,9,6.2,11.1,12.2
"9",11,15,15.33,11.3,15.9,16.8,7,12.75,13.7,2,8,9,6.3,11,12.1
"10",11,15,15.4,11.3,15.9,16.8,7.1,12.8,13.73,2,8,9,6.3,10.96,12.1
"11",11,15,15.33,11.4,15.9,16.8,7.1,12.8,13.8,2,8,9,6.2,10.96,11.9
"12",11,15,15.23,11.4,15.9,16.8,7.3,12.78,13.7,2,8,9,6.2,11,11.96
"13",11,15,15.33,11.4,15.9,16.8,7.3,12.8,13.7,2,8,9,6.3,10.9,11.93
"14",11,15,15.33,11.4,15.9,16.8,7.4,12.8,13.6,2,8,9,6.3,10.9,11.93
"15",11.2,15,15.4,11.6,15.9,16.8,7.4,12.7,13.6,2,8,9,6.3,10.9,11.9
"16",11.2,15,15.4,11.6,15.9,16.8,7.4,12.7,13.6,2,8,9,6.3,10.9,11.9
"17",11.2,15,15.4,11.6,15.9,16.8,7.5,12.61,13.505,2,8,9,6.3,10.9,11.87
"18",11.4,15,15.4,11.6,15.9,16.8,7.6,12.7,13.51,2,8,9,6.3,10.9,11.8
"19",11.4,15,15.4,11.6,15.9,16.8,7.55,12.73,13.6,2,8,9,6.4,10.8,11.77
"20",11.4,15,15.4,11.7,15.9,16.8,7.65,12.7,13.6,2,8,9,6.4,10.8,11.67
"21",11.6,15,15.4,11.7,15.9,16.8,7.8,12.8,13.7,2,8,9,6.4,10.8,11.6
"22",12,15,15.4,11.9,15.94,16.8,8,12.8,13.715,2,8,9,6.5,10.74,11.6
"23",12,15,15.47,12,16,16.8,8.05,12.83,13.715,2,7.88,9,6.5,10.64,11.5
"24",12,15,15.5,12.1,16,16.87,8.15,13,13.9,2,7.88,9,6.6,10.6,11.47
"25",12,15,15.67,12.1,16.1,16.9,8.2,13.1,14.015,2,7.8,9,6.6,10.6,11.5
"26",12,15,15.765,12.15,16.1,16.9,8.3,13.2,14.1,2,8,9,6.6,10.6,11.565
"27",12,15,15.765,12.2,16.1,16.9,8.4,13.2,14.11,2,7.8,9,6.6,10.6,11.565
"28",12,15,15.8,12.4,16.1,16.9,8.4,13.3,14.2,2,7.8,9,6.7,10.6,11.565
"29",12,15,15.93,12.4,16.1,17,8.5,13.3,14.21,2,7.8,9,6.7,10.6,11.565
"30",12,15,16,12.5,16.13,17,8.5,13.32,14.3,2,8,9,6.7,10.6,11.565
"31",12,15,16,12.5,16.3,17,8.6,13.4,14.3,2,8,9,6.7,10.6,11.6
"32",12.2,15,16,12.6,16.3,17,8.6,13.4,14.31,2,8,9,6.7,10.7,11.6
"33",12.2,15.03,16,12.6,16.3,17.065,8.7,13.5,14.31,2,8,9,6.7,10.7,11.6
"34",12.2,15.2,16,12.6,16.3,17.1,8.6,13.5,14.41,2,8,9,6.7,10.7,11.565
"35",12.2,15.2,16,12.6,16.3,17.1,8.5,13.5,14.51,2,8,9,6.7,10.7,11.5
"36",12.2,15.2,16,12.65,16.4,17.2,8.5,13.5,14.6,2,8,9,6.8,10.8,11.5
"37",12.4,15.2,16,12.7,16.4,17.265,8.5,13.6,14.8,2,8,9,6.8,10.8,11.5
"38",12.4,15.4,16,12.7,16.4,17.3,8.5,13.62,14.8,2,8,9,6.9,10.8,11.465
"39",12.4,15.4,16,12.7,16.4,17.265,8.5,13.7,14.8,2,7.8,9,6.9,10.8,11.4
"40",12.4,15.4,16,12.8,16.5,17.3,8.6,13.7,14.82,2,7.8,9,6.9,10.8,11.4
