"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",11.3,15,15.4,11.6,15.9,16.8,7.5,12.68,13.5,2,8,9,6.3,10.9,11.9
"2",13,15.8,16.5,13.1,16.7,17.7,8.8,14,15.2,2,8,9,7.1,10.9,11.7
"3",15.2,18.59,19.5,15.9,20.19,21.245,12.3,17.4,18.6,5,9.49,10.8,10.2,13,13.6
"4",17.8,21.6,23,19,23.51,25.205,15.7,21.2,22.4,7.8,11,12,12.6,15.4,16.3
"5",22.2,27,28,25,30.6,31.9,21.8,27.96,29.7,11,14.69,15,16.75,20.1,20.9
"6",26.2,31,32,30.3,36.1,37.805,27.5,33.8,35.86,15,18,19,20.65,24.11,25.105
"7",30,33,34,34.8,39.4,40.5,32.1,36.9,38.4,17.8,20,21,23.8,26.3,26.9
"8",30,33.18,34.29,35.1,39.8,41.345,32.3,37.62,39.1,18,21,22,23.8,26.2,27.145
"9",26,29.4,30.305,29.8,34.5,35.9,27.1,32.1,33.4,15,18,19.04,20.1,22.9,23.7
"10",21.1,25,26,23.8,29.5,30.85,20.6,27.1,28.7,12,16,17,15.9,19.4,20.1
"11",16,19.6,20.005,16.9,22,23.105,12.6,18.92,20.7,7,12.2,13.21,10.8,15.3,16.4
"12",12,15.4,16.4,12.2,16.69,17.845,7.9,13.3,14.7,3,9,10.545,7.1,12.19,13.3
