"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",15.9,18.3,19,16.3,20,21,10.9,15.6,16.7,9.25,13,14,12.5,15.4,16.4
"2",15.6,18.2,19,16.2,19.9,21,10.8,15.5,16.6,9,13,14,12.4,15.3,16.27
"3",15.2,18.1,19,16.1,19.7,20.98,10.8,15.46,16.58,9,12.36,13.48,12.4,15.3,16.2
"4",15,18,19,16,19.5,20.8,10.8,15.26,16.4,9,12.12,13.48,12.4,15.2,16.2
"5",15,18,19,16,19.45,20.75,10.7,15.36,16.48,9,12,13.375,12.3,15.15,16.175
"6",15,18,19,15.95,19.4,20.6,10.7,15.2,16.4,9,12,13,12.3,15.15,16.1
"7",15,18,19,15.9,19.4,20.74,10.6,15.15,16.4,9,12,13,12.3,15.1,16.1
"8",15,18,19,15.9,19.4,20.6,10.7,15.13,16.4,9,12,13,12.2,15.1,16
"9",15,18,19,15.9,19.23,20.5,10.6,15.04,16.37,9,12,13,12.2,14.9,15.9
"10",15,18,19,15.9,19.2,20.47,10.6,15,16.275,9,12,13,12.2,14.9,15.9
"11",15,18,19,15.9,19.2,20.4,10.6,14.8,16.2,9,12,13,12.2,14.92,15.8
"12",15,18,19,15.8,19.1,20.365,10.5,14.74,16.2,9,12,13,12.2,14.9,15.8
"13",15,18,19,15.8,19.1,20.4,10.5,14.8,16.265,9,12,13,12.2,14.9,15.7
"14",15,18,19,15.8,19.1,20.4,10.5,14.8,16.3,9,12,13,12.2,14.9,15.7
"15",15,18,19,15.7,19.1,20.4,10.4,14.7,16.3,9,12,13,12.1,14.9,15.7
"16",15,18,19,15.7,19.08,20.3,10.3,14.69,16.2,9,12,13,12.1,14.9,15.7
"17",15,18,19,15.7,19,20.11,10.3,14.6,16.01,9,12,13,12.1,14.8,15.6
"18",15,18,19,15.65,19,20.11,10.3,14.6,16.01,9,12,13,12.1,14.79,15.595
"19",15,18,19,15.6,19,20,10.3,14.6,16,9,12,13,12.1,14.7,15.4
"20",15,18,18.905,15.7,19,20,10.3,14.6,15.9,9,12,13,12.1,14.6,15.4
"21",15,18,18.915,15.7,19,20,10.3,14.6,15.9,9,12,13,12.1,14.6,15.4
"22",15,18,18.92,15.7,18.9,20,10.3,14.57,15.9,9,12,13,12.1,14.6,15.4
"23",15,18,18.9,15.7,18.8,20,10.3,14.6,15.9,9,12,13,12.1,14.6,15.3
"24",15,18,18.73,15.6,18.7,19.9,10.2,14.6,15.9,9,12,13,12.1,14.4,15.23
"25",15,18,18.83,15.6,18.78,19.9,10.2,14.6,15.9,9,12,13,12.1,14.4,15.3
"26",15,18,18.7,15.6,18.77,19.9,10.2,14.5,15.72,9,12,13,12.1,14.4,15.225
"27",15,18,18.73,15.6,18.8,19.9,10.1,14.49,15.6,9,12,13,12.1,14.4,15.2
"28",15,18,18.9,15.6,18.9,19.9,10,14.42,15.6,9,12,12.645,12.1,14.4,15.245
"29",15,18,18.9,15.55,18.8,19.9,10,14.4,15.6,9,12,12,12,14.4,15.1
"30",15,18,18.9,15.55,18.77,19.9,10,14.5,15.6,9,12,12,12,14.4,15.1
"31",15,18,19,15.5,18.8,19.9,9.9,14.5,15.6,9,12,12.09,12,14.4,15.1
"32",15,18,19,15.4,18.9,19.9,9.8,14.43,15.515,9,12,12.69,11.9,14.4,15.29
"33",15,18,19,15.5,18.9,20,9.8,14.5,15.6,9,12,13,12,14.4,15.3
"34",15,18,19,15.5,18.96,20,9.9,14.5,15.535,9,12,13,12,14.4,15.3
"35",15,18,19,15.5,18.98,20,9.9,14.4,15.3,9,12,13,12,14.4,15.3
"36",15,18,19,15.5,19,20.045,9.8,14.4,15.3,9,12,13,12,14.46,15.3
"37",15,18,19,15.5,19.01,20.1,9.7,14.42,15.3,9,12,13,12,14.58,15.3
"38",15,18,19,15.5,19.1,20.055,9.6,14.32,15.3,9,12,13,12,14.6,15.3
"39",15,18,19,15.5,19.03,20,9.6,14.3,15.24,9,12,13,12,14.6,15.3
"40",15,18,19,15.5,19.1,20,9.6,14.3,15.27,9,12,13,12,14.44,15.3
"41",15,18,19,15.5,19.1,20,9.6,14.3,15.3,9,12,12.68,12,14.5,15.3
"42",15,18,19,15.6,19.2,20,9.7,14.2,15.3,9,12,13,11.9,14.6,15.3
"43",15,18,19,15.5,19.2,20.1,9.8,14.2,15.3,8.8,12,13,11.9,14.63,15.3
"44",15,18,19,15.6,19.3,20.1,9.8,14.3,15.3,8.8,12,12.29,11.9,14.6,15.3
"45",15,18,19,15.5,19.3,20.1,9.8,14.23,15.3,9,12,12.22,12,14.7,15.3
"46",15,18,19,15.6,19.3,20.1,9.8,14.2,15.3,9,12,12.43,12,14.7,15.3
"47",15,18,19,15.7,19.4,20.1,9.8,14.3,15.4,9,12,12.9,12.1,14.7,15.5
"48",15,18.2,19,15.7,19.5,20.3,9.9,14.3,15.6,9,12,13,12.2,14.8,15.6
"49",15,18.4,19.305,15.8,19.6,20.4,9.9,14.3,15.64,9,12,13,12.2,14.9,15.7
"50",15,18.63,19.5,15.8,19.65,20.5,9.9,14.5,15.8,9,12,13,12.2,15,15.7
"51",15.1,18.85,19.725,15.85,19.7,20.6,9.9,14.5,15.8,9,12,13,12.2,15.1,15.825
"52",15.2,19,19.93,15.9,19.7,20.7,9.9,14.6,15.945,9,12,13,12.3,15.1,15.9
"53",15.4,19,20,15.9,19.8,20.8,9.9,14.6,15.9,9,12,13,12.3,15.2,15.9
"54",15.4,19,20,15.9,19.9,20.98,9.9,14.6,15.9,9,12,13,12.3,15.2,15.93
"55",15.4,19,20,15.9,19.9,21.2,9.9,14.7,15.96,9,12,13,12.3,15.3,16.1
"56",15.4,19,20,15.9,20,21.265,9.9,14.7,15.97,9,12,13,12.3,15.3,16.1
"57",15.45,19,20,15.9,20,21.3,9.9,14.7,15.975,9,12,13,12.4,15.3,16.1
"58",15.6,19,20,15.9,20,21.4,9.9,14.7,16.14,9,12,13,12.4,15.3,16.2
"59",16,19,20,16,20.1,21.46,10,14.8,16.33,9,12,13,12.6,15.4,16.3
"60",16,19,20,16.1,20.1,21.5,10.05,14.8,16.4,9,12,13,12.7,15.5,16.3
"61",16,19,20,16.3,20.1,21.5,10.3,14.8,16.4,9,12,13,12.7,15.6,16.33
"62",16,19.1,20,16.4,20.35,21.625,10.4,14.8,16.475,9,12.1,13,12.8,15.6,16.315
"63",16,19.32,20,16.5,20.4,21.62,10.4,15.14,16.46,9,12.34,13.01,12.8,15.7,16.4
"64",16,19.4,20,16.65,20.4,21.7,10.5,15.2,16.715,9,12.51,13.005,12.9,15.7,16.4
"65",16,19.4,20.1,16.9,20.42,21.61,10.7,15.22,16.91,9,12.7,13,12.9,15.7,16.4
"66",16,19.6,20.495,16.9,20.5,21.7,10.7,15.3,16.905,9,12.99,13.48,12.95,15.79,16.5
"67",16,19.8,20.6,16.9,20.6,21.7,10.8,15.38,16.99,9,13,13.5,13,15.8,16.5
"68",16,20,20.965,17,20.7,21.9,10.85,15.55,17.25,9,13,13.93,13,15.9,16.6
"69",16,20,21,17.1,20.9,22.065,10.9,15.83,17.6,9.1,13,13.91,13.1,15.9,16.6
"70",16.2,20,21,17.2,21,22.25,11,15.9,17.6,9.5,13,14,13.2,15.9,16.6
"71",16.6,20,21,17.2,21.2,22.44,11,15.9,17.64,10,13,14,13.2,15.96,16.7
"72",16.8,20,21,17.3,21.3,22.53,11.1,16,17.7,10,13,14,13.3,16,16.9
"73",17,20,21.395,17.4,21.5,22.705,11.1,16.1,17.8,10,13,14,13.4,16.2,17
"74",17,20,21.4,17.6,21.5,22.78,11.2,16.1,17.8,10,13,14,13.4,16.24,17.1
"75",17,20,21.45,17.6,21.6,22.8,11.4,16.12,17.8,10,13,14,13.5,16.3,17.1
"76",17,20,21.64,17.8,21.6,22.8,11.4,16.2,17.845,10,13,14,13.6,16.3,17.1
"77",17,20.03,22,17.8,21.7,22.825,11.4,16.2,17.925,10,13,14,13.6,16.4,17.115
"78",17,20.1,22,17.9,21.7,22.91,11.6,16.4,17.91,10,13,14,13.7,16.4,17.2
"79",17,20.1,22,17.95,21.7,22.9,11.6,16.4,17.895,10,13,14,13.7,16.4,17.2
"80",17,20.55,22,18,21.7,22.88,11.7,16.4,17.88,10,13,14,13.8,16.45,17.2
"81",17,20.6,22,18.3,21.8,22.875,11.8,16.4,17.975,10,13,14,13.9,16.5,17.2
"82",17,20.6,22,18.3,21.8,22.875,11.95,16.4,17.975,10,13,14,14,16.5,17.3
"83",17,20.6,22,18.4,21.82,22.9,12,16.42,18.06,10,13,14,14.1,16.6,17.3
"84",17.15,20.98,22,18.5,21.9,23,12.1,16.5,18.1,10.5,13.1,14,14.1,16.6,17.4
"85",17.7,21,22,18.6,22.06,23.13,12.2,16.76,18.2,10.95,13.8,14,14.3,16.76,17.4
"86",18,21,22,18.7,22.2,23.5,12.25,16.91,18.5,11,14,14,14.4,16.81,17.6
"87",18,21,22,18.8,22.37,23.7,12.4,17.1,18.585,11,14,14,14.5,16.9,17.6
"88",18,21.25,22.875,19,22.5,24.1,12.5,17.45,18.975,11,14,14,14.6,17,17.875
"89",18,21.4,23,19.1,22.64,24.2,12.5,17.6,19.17,11,14,14.7,14.6,17.1,17.9
"90",18,21.63,23,19.1,22.8,24.2,12.6,17.7,19.395,11,14,15,14.6,17.1,17.9
"91",18,21.61,23,19.1,22.8,24.2,12.65,17.7,19.365,11,14,15,14.7,17.2,17.955
"92",18,21.9,23,19.2,22.9,24.3,12.6,17.7,19.6,11,14,15,14.7,17.2,18
"93",18,22,23,19.3,23,24.7,12.7,17.88,19.7,11,14,15,14.8,17.3,18.3
"94",18,22,23,19.4,23.1,24.77,12.9,17.98,19.8,11,14,15,14.8,17.3,18.3
"95",18.1,22,23,19.4,23.3,24.9,12.9,18,19.8,11.4,14,15,14.9,17.3,18.33
"96",18.1,22,23,19.4,23.3,24.93,12.9,18.07,19.8,11.7,14,15,14.9,17.3,18.23
"97",18.4,22,23,19.5,23.4,25.1,13,18.1,19.9,12,14,15,15.1,17.3,18.225
"98",18.5,22,23,19.5,23.6,25.1,13.1,18.15,20,12,14,15,15.1,17.4,18.32
"99",18.9,22,23.32,19.6,23.74,25.32,13.2,18.2,20.2,12,14,15,15.2,17.5,18.5
"100",19,22,23.615,19.7,23.9,25.415,13.3,18.24,20.2,12,14.3,15,15.2,17.6,18.615
"101",19,22,23.715,19.8,23.93,25.515,13.4,18.6,20.32,12,14.5,15,15.3,17.6,18.615
"102",19,22.15,24,19.9,24,25.7,13.4,18.6,20.4,12,14.6,15,15.3,17.7,18.7
"103",19,22.3,24,20,24.1,25.7,13.5,18.68,20.5,12,14.88,15,15.4,17.7,18.7
"104",19,22.69,24,20.1,24.2,25.8,13.5,18.9,20.7,12,15,15,15.5,17.8,18.845
"105",19,23,24,20.15,24.3,25.8,13.6,19.02,20.76,12,15,15,15.6,17.9,19
"106",19,23,24,20.3,24.53,26,13.7,19.34,20.9,12,15,15.13,15.7,18.1,19
"107",19,23,24,20.4,24.73,26.1,13.8,19.6,21,12,15,15.365,15.75,18.3,19.1
"108",19,23,24,20.5,24.9,26.2,13.9,19.8,21.1,12,15,15.64,15.9,18.44,19.2
"109",19,23,24,20.7,25.06,26.2,14.2,20,21.2,12,15,16,15.9,18.56,19.38
"110",19,23,24.2,20.9,25.3,26.3,14.3,20.2,21.395,12,15,16,16.1,18.7,19.4
"111",19.9,23.18,24.68,20.9,25.4,26.4,14.4,20.3,21.595,12.7,15,16,16.2,18.8,19.6
"112",20,23.8,25,21.1,25.7,26.7,14.6,20.4,21.8,13,15,16,16.3,18.9,19.8
"113",20,24,25,21.1,25.8,27.01,14.7,20.6,21.93,13,15.02,16,16.3,19,19.9
"114",20,24,25,21.2,25.9,27.2,14.85,20.6,22.125,13,15.9,16,16.4,19.2,20.02
"115",20,24,25.035,21.4,26,27.235,15,20.8,22.3,13,16,16.07,16.6,19.3,20.135
"116",20,24,25.2,21.5,26.2,27.4,15.1,20.81,22.3,13,16,16.8,16.7,19.5,20.3
"117",20,24.03,25.5,21.6,26.2,27.6,15.2,20.9,22.37,13,16,17,16.8,19.63,20.6
"118",20,24.36,25.7,21.7,26.3,27.7,15.4,21,22.5,13,16,17,16.8,19.8,20.7
"119",20.75,24.98,26,22,26.6,27.995,15.5,21.1,23,13,16,17,17,19.9,20.895
"120",21,25,26,22.3,26.82,28.7,15.75,21.3,23.315,13.4,16,17,17.1,20.1,21.2
"121",21,25,26.5,22.5,27.2,28.805,16,21.5,23.915,13.9,16.4,17.11,17.2,20.31,21.3
"122",21,25,26.81,22.6,27.4,29.1,16.1,21.7,24.2,14,17,17.72,17.3,20.6,21.6
"123",21,25.3,27,22.9,27.7,29.21,16.2,22.1,24.6,14,17,18,17.4,20.7,21.8
"124",21,25.6,27,23.05,27.81,29.405,16.4,22.3,24.7,14,17,18,17.6,20.81,21.9
"125",21.35,25.9,27,23.3,28.11,29.705,16.6,22.7,25.01,14,17,18,17.8,20.91,22
"126",22,26,27.3,23.5,28.4,29.91,16.8,22.9,25.23,14,17.32,18,18,21.2,22.3
"127",22,26,28,23.8,28.7,30.1,17,23.25,25.625,14,17.9,18,18.2,21.4,22.7
"128",22,26,28,23.9,29,30.3,17.2,23.4,25.8,14.8,18,18.39,18.3,21.6,22.8
"129",22,26.2,28,24,29.1,30.3,17.35,23.59,25.945,15,18,19,18.4,21.8,22.9
"130",22,26.58,28,24.3,29.2,30.6,17.5,23.9,26.29,15,18,19,18.7,21.9,22.94
"131",22.4,27,28,24.4,29.5,31.045,17.6,24.4,26.7,15,18,19,18.8,22.09,23.245
"132",23,27,28.2,24.8,29.8,31.2,17.8,24.8,27.2,15,18,19,18.9,22.3,23.355
"133",23,27,28.5,24.9,29.9,31.46,17.9,25.1,27.7,15,18,19,19.1,22.4,23.4
"134",23,27.02,29,25.1,30.1,31.7,18.2,25.1,27.765,15.5,18.1,19,19.2,22.6,23.66
"135",23,27.4,29,25.2,30.3,31.965,18.5,25.4,27.8,16,19,20,19.4,22.73,23.9
"136",23,28,29,25.4,30.42,32.16,18.75,25.7,28,16,19,20,19.6,22.9,24.1
"137",23,28,29,25.5,30.6,32.56,18.9,25.9,28.165,16,19,20,19.7,23.2,24.2
"138",23.5,28,29,25.7,30.82,32.7,19,26.2,28.365,16,19,20,19.9,23.4,24.36
"139",24,28,29.355,26,31.2,32.855,19.2,26.6,28.56,16,19.51,20.455,20,23.41,24.455
"140",24,28.2,29.55,26.1,31.4,33,19.4,27.11,28.755,16,20,20.6,20.2,23.8,24.65
"141",24,28.5,29.845,26.4,31.6,33.2,19.7,27.2,28.95,16.6,20,21,20.3,23.9,24.845
"142",24,29,30,26.65,31.87,33.67,20,27.6,29.04,17,20,21,20.4,23.97,25
"143",24.1,29,30,26.9,32,33.8,20.3,27.7,29.3,17,20,21,20.6,24.1,25.13
"144",24.6,29,30,27.1,32.1,33.9,20.5,27.9,29.4,17,20,21,20.7,24.2,25.225
"145",25,29,30,27.4,32.34,33.92,20.8,28.05,29.525,17,20,21,20.9,24.3,25.42
"146",25,29,30,27.7,32.5,34.02,21.1,28.1,29.525,17,20.04,21,21,24.4,25.52
"147",25,29,30,27.9,32.7,34.3,21.2,28.1,29.52,17.3,20.4,21,21.1,24.5,25.6
"148",25,29.03,30.2,28,32.8,34.5,21.4,28.3,29.9,17.7,20.6,21.36,21.2,24.7,25.6
"149",25,29.22,30.41,28.1,32.9,34.6,21.7,28.32,29.9,18,21,22,21.4,24.82,25.71
"150",25,30,31,28.3,33.3,35.12,21.9,28.5,30.4,18,21,22,21.6,25,25.91
"151",25.4,30,31,28.5,33.62,35.5,22,28.6,30.7,18,21,22,21.7,25.2,26.3
"152",26,30,31,28.7,33.9,35.8,22.2,28.8,30.9,18,21,22,21.8,25.3,26.3
"153",26,30,31.3,28.8,34.13,36.2,22.4,29,31.115,18,21.23,22,22,25.5,26.4
"154",26,30,31.54,28.9,34.34,36.2,22.5,29.14,31.2,18,22,22.72,22.2,25.6,26.62
"155",26,30.24,31.9,29.1,34.6,36.5,22.8,29.34,31.2,18.3,22,23,22.3,25.64,26.8
"156",26,30.52,32,29.3,34.7,36.9,22.9,29.64,31.51,18.9,22,23,22.5,25.72,26.9
"157",26,30.7,32,29.4,34.9,37,23,29.9,31.8,19,22,23,22.6,25.8,26.9
"158",26.1,31,32,29.6,35,37,23.2,30,31.99,19,22,23,22.7,25.9,27
"159",26.3,31,32,29.8,35.3,37.185,23.3,30.1,32,19,22,23,22.7,26.07,27.2
"160",26.75,31,32.45,29.8,35.5,37.5,23.4,30.4,32.175,19,22,23,22.8,26.2,27.4
"161",27,31,33,30,35.8,37.5,23.4,30.7,32.72,19,22,23,22.9,26.3,27.46
"162",27,31.3,33,30.3,36.1,37.79,23.6,30.9,32.945,19,22.09,23,23.15,26.5,28
"163",27,31.7,33.3,30.55,36.2,38,23.9,30.9,33.1,19.6,23,23.5,23.3,26.8,28.3
"164",27,32,33.8,30.7,36.74,38.4,24.2,31.1,33.14,20,23,24,23.4,27,28.4
"165",27,32,34,30.8,37,38.61,24.3,31.4,34,20,23,24,23.6,27.2,28.7
"166",27.45,32.2,34,31,37.1,38.995,24.55,31.7,34,20,23,24,23.7,27.39,28.8
"167",28,32.66,34.18,31.2,37.5,39.46,24.8,31.9,34.2,20,23,24.08,23.8,27.5,29.1
"168",28,33,34.5,31.3,37.53,39.765,24.9,32.03,34.5,20,23,24.5,23.9,27.7,29.2
"169",28,33,34.6,31.5,37.7,40.1,25,32.4,34.7,20,23.11,24.855,24.15,27.8,29.3
"170",28,33,34.645,31.8,37.99,40.2,25.25,32.5,34.8,20,23.89,25,24.25,27.9,29.345
"171",28,33.07,34.735,31.9,38.2,40.47,25.4,32.9,35.02,21,24,25,24.4,28,29.435
"172",28,33.4,35,32.1,38.5,41.025,25.6,33,35.2,21,24,25,24.6,28.25,29.6
"173",28.45,33.6,35,32.4,38.6,41.2,25.7,33.1,35.32,21,24,25,24.7,28.4,29.615
"174",29,33.92,35.3,32.6,38.8,41.3,25.8,33.3,35.53,21,24,25,24.8,28.6,29.7
"175",29,34,35.4,32.9,39.1,41.3,26,33.8,35.71,21,24.1,25,24.9,28.7,29.8
"176",29,34,35.49,33,39.3,41.39,26.3,33.8,35.89,21.2,24.2,25,25.1,28.8,30
"177",29,34,35.78,33.2,39.6,41.5,26.5,33.87,35.9,21.7,24.4,25,25.2,29,30.1
"178",29,34,35.875,33.3,39.76,41.6,26.7,33.97,35.9,21.9,24.55,25,25.3,29.1,30.1
"179",29,34,35.875,33.3,39.86,41.6,26.9,33.9,36.155,22,24.7,25.1,25.3,29.1,30.1
"180",29,34.1,35.9,33.5,39.9,41.855,27,34,36.17,22,24.7,25,25.4,29.1,30.18
"181",29,34.1,35.9,33.65,39.9,41.6,27.2,33.98,35.99,22,24.76,25,25.5,29.1,30.18
"182",29.15,34.1,35.9,33.8,39.96,41.84,27.2,34,36.2,22,24.85,25.075,25.6,29.2,30.2
"183",29.5,34.2,35.9,33.9,39.9,41.825,27.4,34,36.2,22,24.94,25.1,25.7,29.2,30.2
"184",30,34.3,36,34,40,41.81,27.5,34.1,36.2,22,25,25.165,25.8,29.23,30.2
"185",30,34.4,36,34.1,40.1,41.9,27.6,34.2,36.28,22,25,25.37,25.9,29.3,30.2
"186",30,34.54,36,34.2,40.2,41.9,27.8,34.26,36.28,22,25,25.57,26.1,29.3,30.4
"187",30,34.6,36,34.5,40.3,42,27.9,34.45,36.675,22,25,25.9,26.2,29.4,30.4
"188",30,34.72,36,34.7,40.3,42.1,28.1,34.5,36.8,22.3,25,26,26.2,29.6,30.52
"189",30,34.9,36.18,34.8,40.3,42.1,28.3,34.5,36.8,22.7,25,26,26.3,29.6,30.6
"190",30,35,36.36,34.8,40.3,42,28.4,34.5,36.72,22.9,25,26,26.3,29.7,30.7
"191",30,35,36.84,35,40.4,42.075,28.5,34.5,36.8,23,25,26,26.4,29.8,30.8
"192",30,35,37,35.1,40.55,42.2,28.6,34.76,36.98,23,25,26,26.5,29.82,30.8
"193",30.2,35,37,35.2,40.6,42.2,28.6,34.8,36.98,23,25,26,26.6,29.9,30.9
