"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",7.75,13.34,15,7.6,14.5,16.545,3.6,11,12.65,0.6,5,6,3.8,8.2,9.63499999999999
"2",7.55,13.2,15,7.6,14.49,16.445,3.4,10.6,12.355,0.6,5,6,3.8,8.17,9.6
"3",7.4,13.07,15,7.5,14.29,15.9,3.4,10.6,12.2,0.4,5,6,3.7,8.1,9.4
"4",7.4,13,15,7.5,14.2,15.8,3.4,10.53,12.165,0,5,6,3.7,7.9,9.4
"5",7.3,13,15,7.5,14.09,15.8,3.3,10.54,12.2,0,5,6,3.7,7.9,9.23499999999999
"6",7.3,13,15,7.5,13.99,15.8,3.35,10.5,12.2,0,5,6,3.6,7.8,9.2
"7",7.3,13,15,7.5,13.8,15.8,3.3,10.35,12.175,0,4.9,6,3.6,7.7,9.2
"8",7.2,13,15,7.45,13.5,15.645,3.3,10.2,12.075,0,4.8,6,3.6,7.7,9.13499999999999
"9",7.2,13,14.335,7.4,13.4,15.6,3.3,10.1,11.9,0,4.77,6,3.5,7.6,9.1
"10",7.2,13,14.335,7.4,13.5,15.6,3.3,10.1,11.9,0,4.6,6,3.45,7.6,9.1
"11",7.2,13,14.6099999999999,7.45,13.7,15.6,3.3,10.1,11.88,0,4.57,6,3.5,7.7,9.13499999999999
"12",7.3,13,14.6099999999999,7.5,13.59,15.6,3.3,10.1,11.8,0,4.6,6,3.5,7.7,9.13499999999999
"13",7.3,13,15,7.5,13.68,15.645,3.4,10.1,11.9,0,4.47,5.93499999999999,3.6,7.7,9.1
"14",7.4,13,15,7.5,13.5,15.645,3.4,10.06,11.78,0,4.47,5.93499999999999,3.6,7.7,9.1
"15",7.65,13,15,7.7,13.5,15.685,3.6,9.84,11.82,0,4.6,5.8,3.6,7.7,9.2
"16",7.65,13,15,7.7,13.5,15.6,3.6,9.8,11.72,0,4.6,5.8,3.6,7.7,9.175
"17",7.75,13,14.9,7.7,13.5,15.585,3.7,9.84,11.62,0,4.6,5.8,3.6,7.7,9.05
"18",7.8,13,14.4,7.8,13.47,15.4,3.7,9.8,11.52,0,4.6,5.8,3.7,7.6,8.875
"19",7.9,13,14.25,7.8,13.47,15.4,3.8,9.84,11.5,0,4.6,5.8,3.8,7.6,8.775
"20",8,13,14,7.8,13.4,15.385,3.8,9.8,11.3,0,4.65,5.875,3.75,7.6,8.775
"21",8,13,14,8,13.4,15.385,3.9,9.9,11.42,0,4.75,5.9,3.8,7.6,8.875
"22",8,13,14.075,8,13.47,15.4,4,9.9,11.62,0,4.8,6,3.9,7.65,8.9
"23",8,13,14.075,8.2,13.5,15.4,4.2,10.04,11.7,0,4.85,5.975,3.9,7.7,8.875
"24",8,13,14.55,8.3,13.5,15.485,4.5,10.1,11.74,0,4.7,5.9,3.9,7.7,8.875
"25",8,13,15,8.4,13.9,15.8,4.6,10.3,12,0,4.75,5.975,3.95,7.75,9.175
"26",8,13.24,15,8.4,14,15.8,4.7,10.5,12.2,0,4.74,5.9,4,7.8,9.2
"27",8.1,13.2,15,8.4,14,15.8,4.8,10.5,12.115,0,4.64,5.9,4,7.8,9.2
"28",8.2,13.2,15,8.5,14,15.8,4.8,10.54,12.12,0,4.6,5.86999999999999,4,7.9,9.2
"29",8.3,13.3,15,8.5,14.1,15.88,4.8,10.6,12.115,0,4.6,5.865,4.1,7.9,9.3
"30",8.3,13.73,15,8.6,14.2,15.9,4.8,10.62,12.11,0,4.7,5.9,4.1,8,9.365
"31",8.4,14,15,8.6,14.2,16.18,4.9,10.7,12.205,0,4.63000000000001,5.965,4.15,8.1,9.4
"32",8.4,14,15,8.6,14.26,16.18,4.9,10.7,12.3,0,4.73000000000001,5.965,4.2,8.1,9.4
"33",8.55,14,15,8.7,14.3,16.2,4.9,10.7,12.3,0,4.83000000000001,5.965,4.2,8.2,9.4
"34",8.7,14,15.065,8.7,14.3,16.3,5,10.7,12.3,0,4.9,5.965,4.2,8.23000000000001,9.4
"35",8.95,14,15.165,8.8,14.36,16.3,4.95,10.7,12.3,0,4.93000000000001,6,4.3,8.3,9.4
"36",9,14,15.265,8.8,14.4,16.3,5,10.77,12.3,0,5,6,4.3,8.3,9.565
"37",9,14,15.3,9,14.46,16.3,5.1,10.8,12.385,0,5,6,4.4,8.33000000000001,9.6
"38",9,14,15.3,9,14.62,16.3,5.2,10.9,12.38,0,5,6,4.5,8.4,9.6
"39",9,14,15.265,9,14.5,16.3,5.2,10.9,12.38,0,5,6,4.6,8.4,9.6
"40",9,14,15.265,9,14.45,16.3,5.2,10.95,12.4,0,5,6,4.6,8.4,9.6
"41",9,14,15.3,9.05,14.65,16.3,5.4,11.2,12.5,0,5,6,4.6,8.4,9.6
"42",9,14,15.2,9.1,14.7,16.3,5.4,11.2,12.5,0,5,6,4.6,8.4,9.665
"43",9,14,15.3,9.1,14.85,16.3,5.6,11.2,12.5,0,5,6,4.7,8.5,9.8
"44",9,14,15.425,9.3,15,16.34,5.7,11.4,12.64,0.55,5,6,4.7,8.6,9.8
