"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",7.8,13,14.82,7.8,13.53,15.565,3.8,9.8,11.5,0,4.6,5.8,3.7,7.7,9.00999999999999
"2",9,14.77,16,9.4,15.4,16.7,5.9,11.7,13,0.8,5,6.33999999999996,4.8,8.77,10.085
"3",13.2,18.3,20,14.1,19.69,21.1,10.4,16.1,17.5,4,8,9.23499999999998,8.9,12.69,13.845
"4",17,21,22,18.5,23.3,24.5,14.6,19.9,21.3,7,11,12,12.4,15.4,16.3
"5",22,27,28.3,25,30.6,32.545,21.8,28.01,29.9,11.9,15.4,16.8,17.2,21.2,22.2
"6",26,30.11,31.405,30.5,35.92,37.9,27.2,33.2,34.745,15.8,19.71,20.805,21.6,25.3,26.7
"7",29,32.4,33.745,34.2,39.2,40.7,31,36.2,37.76,18.7,21.8,22.4,24.3,27.3,28.045
"8",29,32,33,34.4,39,40.6,31.4,36.2,37.8,18.6,21,22,24,27,27.8
"9",25,28.2,29.5,28.9,33.8,35.5,26,31.2,32.51,14.8,18,19,19.8,22.9,23.8
"10",20,24,25.045,22.4,28.2,29.545,19.5,25.4,27.05,11,15,16,15.4,19.1,19.845
"11",13,18.1,20,14.1,20.84,22.32,10.8,17.2,18.95,5.4,11,12,9.3,14.2,15.4
"12",9,14,16,9.2,15.2,17.6,4.8,11.41,13.455,1.5,6,7.94499999999999,4.9,9.4,10.745
