"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",11.4,15,16,11.8,16.5,17.4,7.5,12.4,13.475,3.4,9,10,7.2,11.9,12.9
"2",11.4,15,16,11.8,16.5,17.34,7.4,12.4,13.58,3,9,10,7.2,11.87,12.9
"3",11,15,16,11.7,16.4,17.135,7.4,12.3,13.48,3,9,10,7.1,11.76,12.8
"4",11,15,16,11.7,16.4,17.1,7.3,12.3,13.485,3,8.92000000000001,10,7,11.7,12.73
"5",11,15,16,11.6,16.4,17.1,7.3,12.37,13.585,3,8,10,6.9,11.66,12.7
"6",11,15,15.76,11.6,16.3,17.1,7.3,12.37,13.585,3,8,10,6.9,11.46,12.6
"7",11,15,15.4,11.6,16.3,17,7.4,12.27,13.485,3,8,9.85999999999999,6.9,11.4,12.6
"8",11,15,15.2,11.6,16.2,16.9,7.4,12.17,13.385,3,8,9,6.9,11.4,12.4
"9",11,15,15.2,11.6,16.2,16.8,7.4,12.1,13.385,3,8,9,6.8,11.4,12.33
"10",11,15,15.2,11.6,16.2,16.8,7.4,12.07,13.385,3,8,9,6.8,11.4,12.3
"11",11,15,15.2,11.6,16.1,16.7,7.4,12,13.3,3,8,9,6.8,11.4,12.2
"12",11,15,15.2,11.6,16.1,16.7,7.4,12.07,13.3,3,8,9,6.8,11.4,12.2
"13",11,15,15.2,11.6,16.18,16.7,7.6,12.07,13.3,3,8,9,6.8,11.4,12.2
"14",11,15,15.2,11.6,16.18,16.7,7.6,12,13.3,3,8,9,6.9,11.4,12.23
"15",11.2,15,15.4,11.7,16.2,16.88,7.6,12,13.3,3,8,9.41999999999996,6.9,11.4,12.27
"16",11.2,15,15.4,11.7,16.2,16.78,7.6,12.05,13.325,3,8,9,6.9,11.4,12.2
