"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",11.4,15,15.4,11.7,16.2,16.76,7.6,12.2,13.405,3,8,9,6.9,11.3,12.15
"2",13,16,16.78,13.1,16.88,17.7,8.6,13.68,14.69,3,8,9,7.8,11.1,11.8
"3",15,19,19.6,15.9,20.1,21.2,11.7,16.88,17.99,6,9.8,10.8,10.5,13.3,13.9
"4",18,22,23,19.1,23.63,24.815,15.1,20.53,22.1,8,11.46,12.6,12.9,16.1,17
"5",23,27,28.5,25.5,30.8,32.3,22.3,28.1,29.735,12,15.6,16.6,17.5,21,22.15
"6",27,32,33.2,30.7,36.8,38.235,27.4,34.58,36.14,16,19.94,20.8,21.7,25.6,26.835
"7",30.2,34,35,35.1,39.8,40.7,32.3,37.5,38.6,19,21.8,22,24.7,27.5,28.2
"8",31,34,35,36,40.2,41.3,33.1,38,39,19,22,22,24.9,27.5,28.3
"9",26.6,30,31,30.8,35,36.4,27.7,32.8,34.53,16,19,19.8,20.9,23.62,24.5
"10",22,25.6,26.6,24.6,29.9,31.1,21.2,27.4,28.7,12.7,16,17,16.8,20,20.7
"11",16,20,21,17.7,22.57,23.735,13.5,19.2,20.9,8,13,14,11.7,16,17.135
"12",12.2,16,17,12.9,17.3,18.8,8.5,13.5,15.1,4,10,11,8.1,12.7,13.8
