"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",13,16,16.4,13.7,17.5,18.25,8.1,13.3,14.475,5,11,12,9.4,13.3,14.125
"2",13,16,16.4,13.6,17.4,18.2,8.1,13.3,14.4,5,11,12,9.4,13.3,14.1
"3",13,16,16.4,13.6,17.4,18.2,8.1,13.22,14.4,5,11,12,9.3,13.3,14
"4",13,16,16.4,13.6,17.3,18.2,8,13.2,14.4,5,11,12,9.2,13.2,14
"5",13,16,16.09,13.5,17.3,18.1,8,13.21,14.355,5,11,12,9.2,13.2,13.9
"6",13,16,16,13.5,17.2,18.1,8.1,13.2,14.4,5,11,12,9.2,13.15,13.825
"7",13,16,16,13.5,17.2,18.1,8.1,13.2,14.4,5,10.8,11.69,9.2,13,13.8
"8",13,16,16,13.5,17.2,18,8.2,13.2,14.4,5,10.8,11.14,9.2,12.9,13.7
"9",13,15.94,16,13.5,17.17,18,8.2,13.2,14.225,5,10.74,11,9.2,12.9,13.7
"10",13,15.8,16,13.4,17.1,18,8.1,13.1,14.115,5,10.28,11,9.2,12.9,13.6
"11",13,15.7,16,13.4,17.1,17.9,8.1,13.01,14.1,5,10.2,11,9.1,12.9,13.6
"12",13,15.68,16,13.4,17,17.9,8.1,13.1,14.1,5,10.16,11,9.1,12.8,13.6
"13",13,15.6,16,13.4,17,17.9,8.1,13.1,14.1,5,10,11,9.1,12.8,13.59
"14",13,15.6,16,13.3,16.9,17.8,8.1,13,14.1,5,10,11,9.1,12.8,13.5
"15",13,15.54,16,13.3,16.9,17.8,8.1,13.04,14.1,5,10.4,11,9.1,12.8,13.52
"16",13,15.48,16,13.3,16.9,17.72,8.1,13,14.09,5,10.16,11,9.2,12.8,13.5
