"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",13,15.4,16,13.3,16.9,17.7,8.1,13,14,5,10,11,9.2,12.7,13.49
"2",13,15.6,16.15,13.7,16.9,17.7,8.2,13.1,13.8,5,10,11,9.7,12.44,13.1
"3",15,17.76,18.38,16.1,19.4,20.3,10.9,15.6,16.7,7,11,12,11.7,14.2,14.7
"4",17,20,22,18.6,22.4,24,13.4,18.8,20.53,9,12.6,13.8,13.8,16.3,16.9
"5",21.1,25.4,26.6,24.2,29.2,30.49,20.1,25.9,27.465,13,16.2,17,18,21,21.945
"6",25,29,30.6,29.2,34.58,36.24,25.1,31.8,33.65,17,20,21,21.8,24.97,25.7
"7",28,31,32,33.3,37.2,38.5,29.5,34.04,35.1,19.2,22,23,24.6,27,27.6
"8",28.6,31,32,34.2,37.9,39.06,30.2,34.59,35.8,20,22.2,23,25.1,27.2,27.8
"9",26,28,28.68,29.7,33.1,34.2,25.7,29.8,30.7,17,20,21,21.8,24.3,25.04
"10",22,25,25.2,24.8,29,30.1,20.5,25.3,26.5,14,18,19,18.1,21.6,22.355
"11",17,20.4,21.4,18.8,23.3,24.6,13.55,19.2,20.445,9.8,14.82,16,13.8,17.3,18.2
"12",14,17,17.95,14.4,18.6,19.8,8.7,14.2,15.835,6,12,13,10.1,14.2,15
