"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",6.6,11.2,12.33,6.1,11.1,12.4,4,9.4,10.7,-2.6,1,3,1.5,4.9,5.93
"2",6.5,11.2,12.33,6.1,11.1,12.4,3.8,9.3,10.7,-2.7,1,2.58999999999999,1.4,4.9,5.9
"3",6.4,11.2,12.4,6.1,11.1,12.4,3.8,9.3,10.6,-3,1,2.58999999999999,1.4,4.8,5.9
"4",6.4,11.2,12.4,6,11.1,12.4,3.8,9.3,10.595,-3,1,2.58999999999999,1.4,4.8,5.9
"5",6.3,11.2,12.4,6,11.1,12.4,3.8,9.3,10.5,-3,1,2.43,1.4,4.8,5.9
"6",6.3,11.2,12.4,6,11.05,12.4,3.8,9.18000000000001,10.5,-3,1,2.4,1.4,4.8,5.82999999999999
"7",6.4,11.2,12.4,6,11,12.4,3.8,9.2,10.5,-3,1,2.25999999999999,1.4,4.7,5.8
"8",6.5,11.26,12.73,6,11.1,12.4,3.8,9.26,10.58,-3,1,2.4,1.4,4.76,5.82999999999999
"9",6.4,11.2,12.9,6,11.1,12.4,3.8,9.26,10.5,-3,1,2.25999999999999,1.4,4.8,5.9
"10",6.4,11.2,12.73,6,11.1,12.4,3.8,9.3,10.68,-3,1,2.2,1.4,4.7,5.9
"11",6.6,11.3,12.83,6.1,11.1,12.465,3.9,9.3,10.68,-3,1,2,1.4,4.7,5.8
"12",6.6,11.3,12.73,6.1,11.1,12.5,3.9,9.3,10.7,-3,1,2,1.4,4.7,5.8
"13",6.6,11.4,12.8,6.1,11.23,12.5,4.1,9.36,10.7,-3,1,2,1.4,4.76,5.8
"14",6.8,11.46,12.83,6.2,11.3,12.5,4.1,9.4,10.675,-3,1,2,1.5,4.8,5.9
"15",7,11.8,13,6.3,11.4,12.6,4.3,9.5,10.7,-2.9,1,2,1.6,4.9,5.96999999999999
"16",7,11.8,13,6.3,11.4,12.69,4.3,9.5,10.605,-2.8,1,2,1.6,4.9,6.06999999999999
"17",7,12,13.07,6.4,11.4,12.885,4.4,9.5,10.8,-2.7,1,2,1.6,5,6.1
"18",7,12,13.2,6.4,11.66,13.18,4.5,9.7,11,-2.6,1,2,1.6,5.1,6.2
"19",7,12,13.27,6.5,11.7,13.38,4.5,9.7,11.19,-2.6,1,2,1.7,5.2,6.2
"20",7,12.04,13.3,6.6,11.7,13.48,4.6,9.88000000000001,11.39,-2.5,1,2,1.7,5.2,6.2
"21",7,12.34,13.74,6.8,11.86,13.5,4.7,9.9,11.6,-2.4,1,2,1.8,5.2,6.2
"22",7.1,12.4,14,6.8,11.96,13.68,4.8,10.17,11.985,-2.2,1,2,1.9,5.2,6.2
"23",7.2,12.6,14.17,7,12.2,13.8,4.8,10.3,12,-2.2,1,2,1.9,5.4,6.3
"24",7.4,13,14.2,7.1,12.5,13.9,4.9,10.48,12.2,-2.2,1,2,2.1,5.5,6.3
"25",7.6,13,14.37,7.2,12.7,13.985,5,10.7,12.4,-2.1,1,2.2,2.2,5.6,6.4
"26",7.6,13,14.4,7.2,12.9,14,5,10.95,12.475,-2,1,2,2.2,5.7,6.565
"27",7.95,13,14.4,7.3,12.9,14.175,5.1,11,12.575,-2,1,2,2.3,5.7,6.6
"28",8,13.13,14.465,7.5,12.9,14.275,5.25,11,12.6,-2,1,2,2.3,5.73000000000001,6.7
"29",8,13.2,14.565,7.6,13.15,14.3,5.4,11.25,12.775,-2,1,2,2.4,5.8,6.8
"30",8,13.2,15,7.7,13.2,14.55,5.45,11.4,12.875,-2,1.1,2,2.4,5.9,6.8
"31",8,13.4,15,7.7,13.35,14.7,5.7,11.55,13.2,-2,1.1,2,2.5,5.9,6.9
"32",8,13.6,15,7.8,13.45,14.975,5.7,11.7,13.275,-2,1.4,2.165,2.5,5.9,7.065
"33",8.1,13.8,15,7.8,13.5,15.175,5.7,11.7,13.475,-2,1.6,2.465,2.6,6.13000000000001,7.1
"34",8.2,13.9,15.065,8,13.5,15.375,5.7,11.75,13.475,-2,1.7,2.7,2.7,6.3,7.165
"35",8.3,13.9,15.165,8,13.5,15.4,5.8,11.9,13.6,-2,1.9,2.83,2.8,6.33000000000001,7.2
"36",8.4,14,15.2,8.05,13.6,15.4,5.9,12,13.6,-2,2,3,2.8,6.43000000000001,7.3
"37",8.45,14,15.2,8.2,13.6,15.4,5.9,12.15,13.775,-2,2,3,2.9,6.5,7.3
"38",8.6,14,15.4,8.2,13.75,15.4,6,12.2,13.8,-2,2,3,3.1,6.6,7.4
"39",8.75,14.1,15.465,8.3,13.8,15.475,6.2,12.35,13.9,-1.8,2,3,3.1,6.7,7.4
"40",8.75,14.2,15.6,8.3,13.9,15.5,6.2,12.4,14.05,-1.7,2,3,3.2,6.73000000000001,7.6
"41",9,14.2,15.7,8.4,14,15.6,6.4,12.5,14.2,-1.55,2,3,3.25,6.9,7.7
