"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",7,12,13.1,6.4,11.6,12.9,4.4,9.6,10.985,-2.6,1,2,1.7,5.1,6.15
"2",9.2,14.8,16.285,8.9,14.8,16.6,6.9,13.09,14.89,-1,2.8,4,3.65,7.4,8.68499999999999
"3",14,19.5,21,13.9,20,21.6,12,18.3,20.1,3,7,8,8.3,12.3,13.4
"4",17,22.21,23.6,17.6,23.52,25.3,15.7,21.92,23.71,6.4,10,11,11.5,15.6,16.6
"5",22,26.5,27.555,23.8,29.6,31.3,22.15,28.4,29.955,11.2,14.7,15.6,16.4,20.2,21.3
"6",26,30,31.2,29.2,35.3,36.9,27.7,34,35.61,15,19,20,20.3,24.3,25.6
"7",28.6,31.7,32.4,33.15,37.7,38.8,31.6,36.59,37.9,17.6,20.7,21.35,23.1,25.8,26.6
"8",28,31,32,32.3,37.1,38.2,30.9,36.3,37.6,17,20,20.645,22.2,24.9,25.8
"9",24,27.5,28.5,26.6,31.9,33.4,25.4,31.12,32.81,13,16.81,17.705,18.15,21.2,22.005
"10",18,22.49,23.6,19.4,25.4,27,18,24,25.9,8.4,13,14,12.7,16.6,17.8
"11",11.2,16.1,17.5,11.5,17.07,18.4,9.7,15.65,17.1,2,7.6,9,6.4,10.4,11.2
"12",7.4,12.2,13.4,7.2,12.1,13.5,5,10.5,11.915,-2,2.69,4,2.4,6.2,7.1
