"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",15.2,18,18.68,16.7,20,21,10.8,16,17,9,12.4,13.68,12,14.8,15.6
"2",15.2,18,18.6,16.7,20,20.94,10.8,16,17,8.8,12,13.48,11.9,14.7,15.4
"3",15.2,17.8,18.4,16.6,19.9,20.8,10.9,15.98,16.8,8.8,12,13,11.9,14.6,15.3
"4",15.2,17.6,18.4,16.6,19.78,20.8,10.9,15.8,16.8,8.4,12,13,11.8,14.48,15.2
"5",15,17.6,18.4,16.5,19.7,20.8,10.8,15.7,16.6,8.4,12,13,11.8,14.4,15.2
"6",15,17.4,18.4,16.5,19.6,20.8,10.9,15.7,16.5,8,12,13,11.7,14.4,15.2
"7",15,17.4,18.4,16.4,19.6,20.6,11,15.68,16.5,8,12,13,11.7,14.4,15.14
"8",15,17.4,18.2,16.4,19.5,20.5,11,15.6,16.4,8,12,13,11.6,14.28,15.1
"9",15,17.4,18.2,16.4,19.5,20.5,10.9,15.58,16.4,8,12,13,11.5,14.2,15
"10",15,17.4,18.2,16.4,19.48,20.4,10.8,15.4,16.34,8,12,13,11.4,14.2,15.04
"11",15,17.4,18.08,16.4,19.48,20.34,10.7,15.4,16.3,8,12,13,11.4,14.2,15.04
"12",15,17.4,18.2,16.3,19.4,20.4,10.8,15.48,16.34,8,12,13,11.4,14.2,15
"13",15,17.4,18.2,16.3,19.4,20.34,10.8,15.5,16.34,8,12,13,11.4,14.1,14.9
"14",15,17.4,18.2,16.3,19.4,20.34,10.8,15.48,16.34,8,12,12.88,11.4,14.2,14.9
"15",15,17.4,18.2,16.3,19.4,20.4,10.8,15.26,16.3,8,12,13,11.5,14.2,15
"16",15,17.4,18.2,16.3,19.45,20.4,10.7,15.35,16.3,8,12,13,11.4,14.2,15
"17",15,17.4,18.2,16.3,19.4,20.3,10.7,15.34,16.3,8,11.8,12.8,11.4,14.1,14.9
"18",15,17.28,18.2,16.3,19.34,20.27,10.8,15.34,16.3,8,11.8,12.54,11.4,14.1,14.9
"19",15,17.2,18,16.3,19.3,20.2,10.8,15.24,16.3,8,11.8,12.4,11.4,14.1,14.8
"20",15,17.2,18,16.3,19.3,20.17,10.9,15.3,16.3,8,11.8,12.4,11.4,13.94,14.8
"21",15,17.2,18,16.3,19.3,20.1,10.9,15.3,16.3,8,11.8,12.4,11.4,13.9,14.8
"22",15,17.2,18,16.3,19.3,20.1,11,15.3,16.3,8,11.8,12.4,11.4,13.9,14.8
"23",15,17.2,18,16.3,19.2,20.1,11,15.34,16.3,8,11.8,12,11.4,13.9,14.8
"24",15,17.2,18,16.3,19.2,20.1,10.9,15.4,16.3,8,11.8,12.28,11.4,13.9,14.8
"25",15,17.08,18,16.3,19.2,20.1,10.9,15.3,16.3,8,11.8,12.28,11.4,13.9,14.8
"26",15,17,18,16.2,19.2,20,10.9,15.2,16.1,8,11.66,12,11.4,13.9,14.7
"27",15,17,18,16.2,19.1,20,10.9,15.1,16.065,8,11.8,12,11.4,13.9,14.7
"28",15,17,18,16.2,19.1,20,10.9,15.1,15.9,8,11.6,12,11.4,13.9,14.665
"29",15,17,18,16.2,19.1,20.065,10.9,15.1,15.9,8,11.6,12,11.4,13.9,14.6
"30",15,17,18,16.25,19,20,10.8,15.1,15.8,8,11.66,12,11.4,13.9,14.6
"31",15,17,18,16.2,19,20,10.75,15,15.7,8,11.8,12,11.4,13.9,14.6
"32",15,17,18,16.25,19.03,20.065,10.7,15,15.7,8,11.8,12.26,11.4,13.9,14.7
"33",15,17,18,16.25,19.1,20.1,10.6,15,15.7,8,11.8,12.4,11.4,13.9,14.765
"34",15,17,18,16.3,19.1,20.1,10.6,15,15.7,8,11.8,12.4,11.4,13.9,14.765
"35",15,17,18,16.3,19.1,20.1,10.5,15,15.7,8,11.8,12.26,11.4,14,14.8
"36",15,17,18,16.3,19.1,20.165,10.5,15.1,15.7,8,11.8,12.4,11.4,14.1,14.8
"37",15,17,18,16.2,19.1,20.165,10.4,15.1,15.7,8,11.8,12.4,11.4,14.1,14.8
"38",15,17,18,16.3,19.1,20.1,10.4,15.1,15.8,8,11.8,12.66,11.4,14.1,14.8
"39",15,17,18,16.3,19.1,20.165,10.4,15.1,15.8,8,11.8,12.13,11.4,13.93,14.765
"40",15,17,18,16.3,19.1,20.2,10.5,15.1,15.8,8,11.8,12,11.4,13.9,14.7
"41",15,17,18,16.3,19.1,20.265,10.5,15.1,15.8,7.8,11.66,12,11.4,14,14.7
"42",15,17,18,16.3,19.1,20.3,10.4,15.1,15.8,8,11.8,12,11.4,14.1,14.8
"43",15,17.2,18,16.4,19.1,20.3,10.5,15.1,15.8,7.8,11.6,12,11.3,14.1,14.8
"44",15,17.2,18.05,16.4,19.2,20.4,10.6,15.2,15.9,7.6,11.4,12,11.3,14.1,14.7
"45",15,17.2,18.13,16.4,19.2,20.365,10.6,15.2,15.9,7.8,11.4,12,11.3,14.1,14.7
"46",15,17.2,18.2,16.4,19.3,20.5,10.6,15.2,16,7.8,11.6,12.33,11.35,14.1,14.8
"47",15,17.4,18.4,16.5,19.5,20.565,10.7,15.3,16.165,7.8,11.8,12.73,11.4,14.2,14.9
"48",15.2,17.4,18.6,16.5,19.6,20.6,10.75,15.3,16.2,7.9,11.8,12.8,11.5,14.3,14.965
"49",15.2,17.6,18.6,16.6,19.7,20.7,10.7,15.33,16.265,8,12,13,11.5,14.4,15.065
"50",15.2,17.8,18.73,16.6,19.8,20.8,10.7,15.4,16.4,8,12,13,11.6,14.4,15.1
"51",15.2,18,19,16.6,19.9,21.265,10.7,15.4,16.5,8,12,13,11.6,14.43,15.1
"52",15.2,18,19,16.6,20,21.465,10.7,15.4,16.5,8,12,13,11.6,14.5,15.165
"53",15.2,18,19,16.6,20.1,21.465,10.8,15.4,16.5,8,12,13,11.6,14.5,15.2
"54",15.4,18,19,16.7,20.2,21.565,10.8,15.5,16.665,8,12,13,11.6,14.53,15.3
"55",15.4,18,19,16.7,20.2,21.565,10.8,15.5,16.8,8,12,13,11.6,14.6,15.3
"56",15.4,18,19,16.7,20.2,21.5,10.8,15.6,16.8,8,12,13,11.6,14.53,15.3
"57",15.4,18,19,16.7,20.2,21.5,10.8,15.73,16.8,8,12,13,11.6,14.53,15.3
"58",15.4,18,19,16.7,20.2,21.5,10.9,16,17.4,8,12,13,11.7,14.5,15.265
"59",15.4,18,19,16.8,20.3,21.6,11,16.1,17.4,8,12,13,11.8,14.53,15.3
"60",15.6,18.2,19,16.9,20.4,21.6,11.15,16.1,17.5,8,12,13,11.9,14.53,15.3
"61",15.6,18.2,19.2,16.9,20.4,21.665,11.3,16.2,17.5,8,12,13,11.9,14.6,15.3
"62",15.6,18.2,19.2,17.05,20.4,21.7,11.5,16.2,17.6,8,12,13,11.9,14.53,15.3
"63",16,18.26,19.33,17.15,20.5,21.7,11.6,16.4,17.7,8,12,13,12,14.6,15.3
"64",16,18.4,19.4,17.2,20.5,21.7,11.8,16.5,17.7,8,12,13,12.1,14.6,15.365
"65",16,18.4,19.4,17.3,20.6,21.8,11.9,16.53,17.9,8,12,13,12.1,14.6,15.365
"66",16,18.46,19.86,17.4,20.6,21.865,12,16.6,17.9,8,12,13,12.2,14.7,15.4
"67",16,18.6,20,17.55,20.8,21.965,12.2,16.8,18,8,12,13,12.2,14.7,15.4
"68",16,19,20,17.6,20.9,22.3,12.3,16.8,18.165,8,12,13,12.3,14.8,15.465
"69",16,19,20.2,17.7,21.1,22.5,12.3,17.03,18.2,8.2,12,13,12.3,14.8,15.6
"70",16,19,20.33,17.8,21.2,22.665,12.4,17.2,18.2,8.4,12,13,12.4,14.83,15.6
"71",16.2,19,20.4,17.9,21.53,23,12.6,17.4,18.3,8.5,12,13,12.4,14.9,15.765
"72",16.2,19.2,21,18,21.63,23.1,12.6,17.4,18.4,8.6,12,13,12.55,15,15.93
"73",16.4,19.6,21,18,21.7,23.2,12.7,17.53,18.6,8.8,12,13,12.6,15.1,16.165
"74",16.4,19.66,21,18.1,21.7,23.2,12.8,17.7,18.7,9,12,13,12.7,15.2,16.13
"75",16.6,20,21,18.2,21.8,23.3,12.9,17.7,18.765,9,12,13,12.7,15.3,15.965
"76",16.6,20,21,18.3,21.8,23.3,13,17.7,18.8,9,12,13,12.8,15.3,16.2
"77",16.6,20,21,18.3,22,23.365,13,17.73,18.8,9,12.2,13,12.8,15.3,16.265
"78",16.8,20,21,18.4,22.1,23.53,13.1,17.9,19,9,12,13,12.8,15.3,16.3
"79",16.9,20,21,18.5,22.1,23.4,13.2,17.93,19,9,12,13,12.9,15.33,16.3
"80",17,20,21,18.6,22.2,23.365,13.3,18,19.1,9,12,13,12.9,15.3,16.265
"81",17,20.2,21.2,18.7,22.4,23.6,13.45,18.1,19.1,9,12.2,13,13.1,15.43,16.365
"82",17,20.26,21.4,18.75,22.5,23.765,13.5,18.1,19.165,9,12.46,13,13.1,15.6,16.5
"83",17,20.4,21.53,18.8,22.7,23.9,13.7,18.2,19.2,9,12.6,13,13.2,15.6,16.665
"84",17,20.4,21.8,18.9,22.8,23.9,13.7,18.3,19.43,9,12.6,13,13.3,15.7,16.7
"85",17,20.6,22,19,23,24.3,13.8,18.4,19.5,9,12.8,13,13.3,15.8,16.9
"86",17.2,21,22.2,19.1,23.1,24.565,13.9,18.4,19.665,9,13,13.8,13.4,15.9,17.1
"87",17.2,21,23,19.2,23.3,25.065,14,18.6,19.93,9.4,13,13.8,13.6,16.1,17.165
"88",17.4,21,23.33,19.2,23.4,25.595,14.1,18.73,20.2,9.6,13,13.93,13.6,16.3,17.3
"89",17.4,21.26,23.8,19.3,23.6,25.8,14.1,18.9,20.665,9.8,13,14,13.7,16.3,17.4
"90",17.4,21.4,23.93,19.4,23.8,26.065,14.1,19.03,20.865,9.8,13,14,13.8,16.4,17.565
"91",17.45,21.4,23.8,19.4,23.8,26,14.2,19.1,20.865,9.8,13,14,13.8,16.4,17.565
"92",17.6,21.8,24,19.5,24,26.1,14.2,19.13,20.965,10,13,14,13.9,16.5,17.7
"93",17.8,21.8,24,19.6,24,26.1,14.3,19.3,21,10,13,14,14,16.53,17.765
"94",18,22,24,19.6,24.13,26.1,14.3,19.3,21,10,13,14,14,16.7,17.8
"95",18,22,24,19.7,24.13,26.1,14.3,19.3,21,10,13,14,14.1,16.7,17.8
"96",18,22,24,19.7,24.2,26.1,14.35,19.4,21,10,13,14,14.1,16.7,17.8
"97",18,22,24.2,19.8,24.3,26.2,14.4,19.53,21.065,10,13,14,14.2,16.7,17.8
"98",18,22,24.4,19.9,24.5,26.465,14.4,19.7,21.165,10,13,14,14.2,16.8,17.9
"99",18,22.06,24.265,20,24.5,26.465,14.5,19.8,21.3,10,13,14,14.3,16.9,17.9
"100",18,22.2,24.365,20.05,24.6,26.565,14.6,20,21.4,10,13,14,14.3,16.9,17.9
"101",18,22.2,24.4,20.1,24.63,26.6,14.7,20,21.4,10,13,14,14.4,17.03,17.9
"102",18,22.6,24.4,20.2,24.83,26.6,14.7,20.13,21.9,10.1,13.4,14,14.4,17.1,18.1
