"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",15,17.4,18.2,16.3,19.4,20.3,10.7,15.21,16.3,8,12,12.8,11.45,14.2,14.9
"2",15,17.4,18.2,16.4,19.4,20.5,10.7,15.27,16.085,7.8,11.6,12.17,11.3,14.1,14.8
"3",16.6,20,21,18.3,21.9,23.4,12.9,17.7,18.8,9,12.58,13,12.8,15.3,16.3
"4",18.6,23.2,24.81,20.6,25.5,27.1,15.35,21,23,10.8,14,15,14.8,17.4,18.405
"5",23,28.2,30,25.9,31.8,33.65,21.35,27.9,29.655,14,17.6,18.4,18.4,22,23.25
"6",26.8,32.04,34.4,31.4,37.42,40.1,27.6,34,35.9,17.4,21,21.82,22.3,25.6,26.9
"7",29.2,34.2,36,35.75,40.8,42.1,31.8,37.3,39.2,20,23.6,24,25.2,28.1,28.9
"8",30,34,35.9,36.8,41.5,43.05,33.2,38,39.8,21,24,25,26,28.1,28.9
"9",27.8,31,32.22,33.2,38.4,39.6,29.5,34.4,35.725,19,22.44,23.2,23.4,25.9,26.9
"10",24,27.8,28.8,28.1,33.4,34.645,23.7,29.6,30.9,16,20,21,20,23.1,23.8
"11",19.4,23,24,22,26.8,28.005,16.7,22.3,24.23,12,16,17,15.8,19.1,19.8
"12",16,19,19.6,17.6,21.3,22.4,11.8,17.3,18.215,9.8,13.6,14.32,12.9,15.7,16.3
