"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",7,11,12,7,11.2,12.4,4.6,9.5,10.73,-1,5,6,2.5,6.9,8.1
"2",7,11,12,7,11.2,12.51,4.6,9.5,10.83,-1,5,6,2.5,6.9,7.98999999999999
"3",7,11,12,7,11,12.36,4.5,9.4,10.7,-1,4.96000000000001,6,2.4,6.8,7.9
"4",7,11,12,7,11,12.2,4.5,9.3,10.6,-1,4.7,6,2.3,6.8,7.8
"5",7,10.8,12,6.9,10.91,12.055,4.5,9.3,10.5,-1,4,6,2.2,6.67000000000001,7.73499999999999
"6",7,11,12,6.9,10.91,12.055,4.5,9.2,10.5,-1,4,6,2.2,6.57,7.7
"7",7,11,12,7,10.9,12.1,4.5,9.22,10.56,-1,4,5.86999999999998,2.2,6.4,7.7
"8",7,10.78,12,6.9,10.83,11.9,4.5,9.1,10.3,-1,4,6,2.2,6.4,7.6
"9",7,10.69,12,6.9,10.8,11.9,4.5,9,10.18,-1,4,5.8,2.2,6.4,7.6
"10",7,10.79,12,6.9,10.9,11.9,4.6,9,10.185,-1,4,5.23999999999999,2.3,6.4,7.6
"11",7,10.8,12,6.9,10.9,11.9,4.5,9.08000000000001,10.2,-1,4,5.23999999999999,2.3,6.4,7.6
"12",7,11,12,7,10.9,11.9,4.6,9.2,10.395,-1,4,5,2.4,6.4,7.6
"13",7,11,12,7,11,11.9,4.6,9.2,10.4,-1,4,5,2.4,6.4,7.6
"14",7,11,12,7,10.9,11.9,4.6,9.2,10.3,-1,4,5,2.4,6.4,7.4
"15",7,11,12,7.1,11,12,4.7,9.2,10.3,-1,4,5,2.6,6.4,7.4
"16",7,11,12,7.1,11,12,4.7,9.2,10.36,-1,4,5,2.6,6.4,7.4
"17",7,11,12,7.1,11.1,12.1,4.7,9.3,10.4,-1,4,5,2.6,6.4,7.6
"18",7,11,12,7.1,11.3,12.2,5,9.4,10.565,-1,4,5,2.6,6.4,7.6
"19",7,11,12,7.2,11.4,12.2,5.1,9.45,10.7,-1,4,5,2.7,6.4,7.6
"20",7,11,12.2,7.3,11.5,12.8,5.2,9.6,10.9,-1,4,5,2.7,6.4,7.6
"21",7.4,11,12.59,7.4,11.6,12.92,5.3,9.7,11.1,-1,4,5,2.8,6.4,7.6
"22",8,11.38,13,7.4,11.7,13.1,5.45,10,11.2,-1,4,5,2.9,6.5,7.6
"23",8,11.76,13,7.5,11.8,13.115,5.5,10.1,11.3,-1,4,5,2.9,6.58000000000001,7.6
"24",8,12,13,7.5,11.9,13.3,5.6,10.14,11.5,-1,4,5,3.1,6.6,7.6
"25",8,12,13,7.6,12,13.4,5.7,10.3,11.8,-1,4,5,3.1,6.6,7.7
"26",8,12,13,7.7,12.1,13.5,5.8,10.44,11.97,-1,4,5,3.1,6.7,7.79
"27",8,12,13,7.8,12.23,13.6,5.9,10.7,12.27,-1,4,5,3.2,6.7,7.8
"28",8,12,13,7.8,12.53,13.615,6,10.9,12.37,-1,4,5,3.3,6.68000000000001,7.79
"29",8,12,13,7.9,12.6,13.61,6,10.93,12.365,-1,4,5,3.3,6.7,7.68499999999999
"30",8,12,13.09,8.1,12.62,13.71,6.1,11.03,12.4,-1,4,5,3.4,6.7,7.8
"31",8,12.2,13.19,8.1,12.8,13.81,6.1,11.1,12.4,-1,4,5,3.4,6.8,7.8
"32",8,12.6,13.97,8.2,12.9,14,6.2,11.2,12.5,-1,4,5,3.5,6.9,7.9
"33",8,13,14,8.3,13,14.205,6.3,11.32,12.6,-1,4,5,3.6,7.07,7.9
"34",8.4,13,14,8.3,13.1,14.3,6.4,11.5,12.7,-1,4,5,3.6,7.2,7.99
"35",8.6,13,14,8.4,13.1,14.3,6.4,11.53,12.765,-1,4,5,3.6,7.2,8.1
"36",9,13,14,8.45,13.3,14.405,6.4,11.62,12.8,-1,4,5.18999999999999,3.6,7.3,8.1
"37",9,13,14,8.5,13.3,14.5,6.45,11.8,12.8,-0.9,4,5,3.7,7.3,8.1
"38",9,13,14,8.6,13.4,14.795,6.5,11.9,13.15,-0.8,4,5,3.8,7.3,8.1
"39",9,13,14.8,8.7,13.5,14.8,6.6,12,13.355,-0.6,4,5,3.8,7.3,8.1
"40",9,13,14.8,8.9,13.6,14.8,6.8,12.1,13.4,-0.4,4,5.18999999999999,3.9,7.4,8.2
"41",9,13.3,15,8.9,13.7,14.9,6.8,12.11,13.555,-0.2,4.73999999999999,5.8,3.9,7.48000000000001,8.29
"42",9,14,15,9,13.9,15.2,6.9,12.32,13.6,0,4.9,6,4,7.6,8.5
"43",9,14,15,9.1,14.1,15.4,6.9,12.5,13.8,0,5,6,4.1,7.7,8.6
"44",9,14,15,9.2,14.3,15.5,6.9,12.7,14.1,0,5,6,4.2,7.8,8.7
"45",9.2,14,15,9.2,14.3,15.81,7,12.8,14.3,0,5,6,4.2,7.8,8.8
"46",9.6,14,15,9.3,14.3,15.9,7.1,12.8,14.3,0,5,6,4.3,7.9,8.9
"47",10,14,15.4,9.5,14.4,16.01,7.1,12.9,14.4,0,5,6,4.4,7.9,9
"48",10,14.2,16,9.6,14.5,16.3,7.3,13.1,14.445,0,5,6,4.5,8.1,9.1
"49",10,14.8,16,9.8,14.8,16.3,7.45,13.29,14.8,0,5,6,4.7,8.3,9.3
