"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",7,11,12,7.1,11.3,12.2,4.85,9.4,10.555,-1,4,5,2.6,6.4,7.4
"2",9.8,14,15.12,9.4,14.4,16,7.1,12.84,14.37,0,5,6,4.4,7.9,8.9
"3",14,19,20,14.1,20.3,21.6,12,18.32,20.4,4,8,9.10999999999999,8.8,12.4,13.2
"4",18,23,24.2,18.9,24.9,26,16.8,23.3,24.6,8,12,12.6,12.5,16.4,17.5
"5",24,28,29.2,25.8,31.6,33.5,24.1,30.3,32.345,13,16.6,17.96,18.2,21.8,22.9
"6",27,31,32.25,30.6,36.8,38.05,29,35.6,37.1,16,20,21,21.5,25.4,26.45
"7",29.4,33,34,34.3,39.4,41,33,38.65,40.1,19,21.8,22.6,24,27.2,27.9
"8",29.2,33.32,35,34.3,40.2,41.7,33.2,39.3,40.965,18,21.4,22,23.6,27.1,27.9
"9",25,28.4,29.71,28.4,33.8,35,27.1,33,34.4,14,18,18.11,19.2,22.2,22.9
"10",19,23.54,25,21.1,27.28,28.98,19.7,26.38,27.99,10,14.28,15,13.8,17.9,18.6
"11",12.9,17,18,13.1,18.8,20.1,11.4,17.3,18.7,4,10,11,8.15,12.4,13.645
"12",8,12,13,8.2,12.69,13.8,5.7,10.9,11.945,0,6,7,3.5,8.07,9.03499999999999
