"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",8.2,12,13,7.75,12.1,13.6,5.2,10.1,11.6,4.3,8.1,9,6.3,9.7,11
"2",8.2,12,13,7.7,12.01,13.5,5.1,10.1,11.56,4,8,9,6.3,9.6,10.85
"3",8.2,12,13,7.6,12,13.36,5,9.9,11.4,4,8,9,6.2,9.6,10.8
"4",8.1,11.82,13,7.6,11.92,13.16,4.9,9.9,11.3,4,8,9,6.2,9.6,10.6
"5",8,11.8,12.91,7.5,11.8,13,4.7,9.82000000000001,11.22,4,8,9,6.2,9.6,10.6
"6",8,11.71,12.91,7.5,11.7,13,4.6,9.7,11.06,4,8,9,6.1,9.4,10.555
"7",8,11.6,12.92,7.4,11.62,12.96,4.7,9.6,10.82,4,8,9,6,9.4,10.56
"8",8,11.4,12.53,7.4,11.5,12.765,4.6,9.5,10.6,4,8,9,6,9.4,10.5
"9",8,11.2,12.33,7.3,11.4,12.7,4.6,9.4,10.565,4,8,8.965,6,9.3,10.4
"10",8,11.2,12.33,7.3,11.4,12.7,4.6,9.4,10.565,3.9,8,8.965,5.9,9.3,10.4
"11",8,11.2,12.2,7.3,11.3,12.7,4.6,9.3,10.5,3.9,8,8.96999999999999,5.95,9.3,10.4
"12",8,11.2,12.33,7.3,11.3,12.7,4.6,9.3,10.6,3.9,8,8.96999999999999,6,9.2,10.4
"13",8,11.2,12.4,7.3,11.3,12.765,4.5,9.3,10.6,3.9,7.94,8.8,5.9,9.2,10.365
"14",8,11.2,12.4,7.3,11.3,12.8,4.5,9.3,10.6,3.8,7.8,8.76999999999999,5.9,9.1,10.065
"15",8,11.2,12.4,7.3,11.3,12.8,4.5,9.3,10.6,3.9,7.8,8.8,6,9.1,10.3
"16",8,11.2,12.4,7.3,11.3,12.705,4.55,9.3,10.6,3.9,7.8,8.70999999999999,6,9.1,10.11
"17",8,11.2,12.6,7.3,11.4,12.8,4.6,9.3,10.7,3.9,7.61,8.7,6,9.1,10.1
"18",8,11.2,12.4,7.3,11.4,12.795,4.6,9.39,10.695,3.9,7.6,8.7,6,9.1,10.1
"19",8,11.2,12.6,7.3,11.39,12.8,4.65,9.3,10.6,3.9,7.5,8.6,5.95,9.1,10.29
"20",8,11.2,12.8,7.4,11.38,12.89,4.7,9.3,10.6,3.9,7.39,8.6,5.9,9,10.3
"21",8,11.2,12.98,7.5,11.38,12.9,4.7,9.38000000000001,10.6,3.9,7.39,8.6,6,9.08000000000001,10.39
"22",8,11.2,12.6,7.5,11.3,12.8,4.8,9.4,10.6,3.95,7.6,8.6,6.1,9.1,10
"23",8,11.2,12.78,7.5,11.38,12.89,4.8,9.4,10.6,3.95,7.6,8.6,6.1,9.1,9.99
"24",8,11.4,12.8,7.5,11.4,12.9,4.9,9.5,10.6,4,7.4,8.59499999999999,6.1,9.1,9.9
"25",8,11.7,13,7.6,11.68,13.19,4.9,9.5,10.79,4,7.4,8.6,6.1,9.2,10.3
"26",8.1,11.8,13,7.6,11.77,13.185,4.9,9.5,10.7,4,7.6,8.69,6.1,9.2,10.3
"27",8.1,11.8,13,7.6,11.7,13.085,4.9,9.5,10.6,4,7.38000000000001,8.6,6.1,9.2,10.385
"28",8.15,11.8,13,7.6,11.6,12.9,5.05,9.5,10.6,4,7.08000000000001,8.59,6.1,9.1,10.27
"29",8.2,11.8,13,7.7,11.6,12.9,5.1,9.5,10.6,4,7,8.4,6.2,9.1,10.08
"30",8.3,12,13,7.8,11.7,12.9,5.2,9.5,10.7,4,7.07,8.4,6.2,9.16,10.3
"31",8.3,12,13,7.8,11.7,12.9,5.2,9.5,10.785,4,7.37,8.58499999999999,6.2,9.2,10.38
"32",8.4,12,13,7.9,11.9,13.18,5.2,9.6,10.9,4,7.4,8.57999999999999,6.25,9.2,10.4
"33",8.4,12,13,7.9,11.9,13.2,5.2,9.6,10.98,4,7.4,8.48,6.3,9.2,10.4
"34",8.4,12.05,13.175,7.9,11.96,13.46,5.2,9.6,10.98,4,7.56,8.4,6.3,9.3,10.475
"35",8.5,12.1,13.2,8,12,13.5,5.2,9.6,11,4,7.46,8.4,6.3,9.3,10.5
"36",8.5,12.2,13.2,7.95,12,13.5,5.3,9.7,11,4,7.45,8.4,6.3,9.3,10.47
"37",8.6,12.4,13.33,8,12.1,13.5,5.3,9.74,11.07,4,7.4,8.33999999999999,6.3,9.3,10.465
"38",8.6,12.4,13.4,8,12.2,13.5,5.4,9.84,11.1,4,7.34,8.4,6.3,9.4,10.5
"39",8.75,12.4,13.4,8,12.3,13.57,5.4,10,11.27,4,7.3,8.33999999999999,6.3,9.4,10.5
"40",8.7,12.4,13.53,8,12.3,13.6,5.4,10.1,11.3,4,7.4,8.4,6.3,9.5,10.565
"41",8.8,12.5,13.6,8.1,12.3,13.7,5.5,10.14,11.4,4,7.6,8.465,6.3,9.6,10.6
