"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",8,11.2,12.4,7.4,11.3,12.7,4.7,9.3,10.6,3.9,7.6,8.6,6,9.1,10
"2",9,13,14,8.3,12.8,14,5.9,10.5,12.1,4.2,8,8.89,6.5,9.9,10.8
"3",12.6,16.4,17.4,12.3,16.5,17.7,9.6,14.8,15.8,7,10.8,11.51,9.7,13.3,14.1
"4",16.8,20.65,22.2,16.9,21.5,23.2,14.6,20.3,21.54,10.2,13.7,14.8,13.45,16.8,17.8
"5",22.2,26.2,27.475,23.6,28.6,30.6,21.6,27.3,28.9,15,18.5,19.68,18.7,22.3,23.375
"6",26,29.8,31,28.1,33.8,35.715,26.3,32.3,34.04,18.3,22,23,22.4,26,27.015
"7",28.7,32,33,31.8,36.54,38,30.2,35.3,36.58,21,24,25,25,27.9,28.7
"8",28.2,32,33,31.6,36.6,38,29.7,35.5,36.6,21,24.4,25.4,24.75,28.2,29
"9",24,27.2,28.2,25.8,30.64,31.5,23.9,28.8,30.5,17.2,20.34,21,20.7,23.5,24.3
"10",18.7,22.4,23.4,19.5,24.8,26.3,17,23,24.245,13.7,17.1,18,15.9,19.6,20.3
"11",13.2,17.24,18.64,13.3,18.6,20.1,10.7,16.5,17.745,8.8,13,14,11.1,15,15.9
"12",9.3,13,14,8.9,13.31,14.7,6,11,12.5,5,9,10.2,7.3,10.89,11.6
