"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",7,10.9,11.63,6.5,10.9,12.135,3.6,8.4,9.4,0,4.9,6,2.8,7.2,8.2
"2",7,11,11.73,6.5,10.97,12.2,3.6,8.5,9.5,0,4.8,6,2.8,7.2,8.13
"3",7,10.9,11.83,6.5,10.9,12.2,3.6,8.48000000000001,9.54,-0.2,4.8,6,2.7,7.16,8.1
"4",7,10.7,11.63,6.5,10.8,12,3.6,8.4,9.4,-0.5,4.8,6,2.6,7.1,8
"5",7,10.66,11.6,6.5,10.8,12,3.6,8.4,9.4,-0.8,4.7,6,2.5,7,8
"6",7,10.6,11.53,6.5,10.79,11.945,3.6,8.4,9.4,-1,4.4,5.93,2.5,6.9,7.93
"7",7,10.6,11.6,6.5,10.8,12,3.6,8.4,9.4,-1,4.4,5.8,2.5,6.8,7.9
"8",7,10.4,11.5,6.4,10.7,11.84,3.6,8.3,9.3,-1,4.4,5.93,2.4,6.76,7.82999999999999
"9",7,10.4,11.43,6.4,10.7,11.8,3.6,8.2,9.24,-1,4.36,5.82999999999999,2.4,6.7,7.8
"10",7,10.4,11.5,6.5,10.7,11.84,3.6,8.2,9.3,-1,4.3,5.82999999999999,2.5,6.7,7.8
"11",7,10.4,11.6,6.5,10.7,11.9,3.7,8.28000000000001,9.3,-1,4.36,5.93,2.5,6.7,7.8
"12",7,10.6,11.63,6.5,10.8,12,3.8,8.4,9.34,-1,4.36,6,2.6,6.7,7.8
"13",7,10.6,11.63,6.6,10.8,12,3.8,8.4,9.34,-1,4.22,5.9,2.6,6.7,7.8
"14",7,10.6,11.6,6.6,10.78,11.94,3.8,8.4,9.3,-1,4,5.55999999999999,2.6,6.6,7.63
"15",7,10.84,11.6,6.7,10.8,11.98,3.8,8.5,9.4,-1,4,5.60999999999998,2.7,6.6,7.6
"16",7,10.9,11.67,6.7,10.8,12,3.8,8.5,9.5,-1,4,5.13999999999999,2.7,6.6,7.6
"17",7,11,11.77,6.7,10.86,12,3.9,8.6,9.5,-1,4,5.53999999999999,2.7,6.6,7.7
"18",7,11,12,6.8,10.9,12.2,3.9,8.66,9.78,-1,4,5.66999999999999,2.7,6.6,7.76999999999999
"19",7,11,12,6.9,11,12.28,4,8.7,9.8,-1,4,5.7,2.8,6.6,7.7
"20",7.2,11,12,7,11.1,12.4,4.1,8.8,9.9,-1,4,5.76999999999999,2.8,6.6,7.7
"21",7.2,11,12,7.1,11.2,12.4,4.2,8.8,9.98,-1,4,5.86999999999999,2.9,6.6,7.76999999999999
"22",7.3,11,12.07,7.1,11.3,12.5,4.3,8.9,10.2,-0.7,4,5.86999999999999,3,6.64,7.7
"23",7.3,11.1,12.07,7.2,11.3,12.5,4.3,8.96,10.2,-0.7,4,5.76999999999999,3,6.64,7.7
"24",7.4,11.2,12.1,7.2,11.36,12.6,4.4,9,10.28,-0.7,4,5.66999999999999,3.1,6.64,7.7
"25",7.4,11.2,12.2,7.2,11.46,12.78,4.4,9.06,10.5,-0.7,4,5.66999999999999,3.1,6.7,7.8
"26",7.4,11.4,12.365,7.3,11.6,12.875,4.5,9.16,10.68,-0.5,4,5.565,3.1,6.7,7.8
"27",7.5,11.5,12.5,7.3,11.7,13,4.5,9.4,10.78,-0.5,4,5.365,3.2,6.63000000000001,7.8
"28",7.5,11.53,12.5,7.3,11.7,12.9,4.6,9.46,10.88,-0.45,4,5.19499999999999,3.2,6.6,7.7
"29",7.55,11.5,12.5,7.3,11.7,12.9,4.7,9.5,10.78,-0.4,4,5,3.3,6.6,7.665
"30",7.75,11.53,12.565,7.4,11.7,13,4.7,9.5,10.88,-0.3,4,5,3.3,6.6,7.765
"31",7.9,11.53,12.565,7.4,11.7,13,4.7,9.5,10.9,-0.2,4,5.365,3.4,6.63000000000001,7.8
"32",8,11.6,12.865,7.6,11.8,13.3,4.8,9.6,10.9,-0.1,4,5.565,3.4,6.8,7.9
"33",8,12,13,7.7,12,13.4,4.8,9.76,11,0,4,5.465,3.5,6.83000000000001,8.065
"34",8,12,13,7.8,12,13.475,4.9,9.8,11.285,0,4,5.465,3.6,6.9,7.965
"35",8,12,13.065,7.8,12.2,13.5,4.9,9.9,11.3,0,4,5.565,3.6,7,8.1
"36",8,12,13.065,7.9,12.3,13.5,5,9.96,11.3,0,4,5.6,3.6,7.1,8.1
"37",8,12.1,13.1,8,12.4,13.5,5.1,10.1,11.3,0,4,5.365,3.7,7.1,8.1
"38",8,12.2,13.2,8.1,12.5,13.5,5.1,10.2,11.38,0,4,5.13,3.8,7.1,8.1
"39",8.1,12.2,13.265,8.2,12.6,13.67,5.2,10.2,11.5,0,4,5,3.8,7.1,8.1
"40",8.2,12.3,13.4,8.2,12.7,13.7,5.3,10.2,11.5,0,4,5.365,3.8,7.2,8.2
"41",8.2,12.33,13.4,8.3,12.7,13.77,5.3,10.42,11.58,0,4,5.465,3.9,7.3,8.2
"42",8.3,12.5,13.8,8.3,12.9,14.14,5.3,10.6,11.7,0,4.23000000000001,5.6,3.9,7.4,8.3
"43",8.35,12.6,14,8.4,12.9,14.3,5.4,10.66,11.88,0,4.4,5.8,4,7.4,8.465
"44",8.45,12.85,14,8.4,13.16,14.53,5.4,10.78,12.4,0,4.7,5.9,4.1,7.6,8.6
"45",8.5,13,14.1,8.4,13.24,14.6,5.6,10.8,12.56,0,4.7,5.865,4.1,7.7,8.6
"46",8.75,13,14.1,8.4,13.3,14.67,5.7,10.8,12.4,0,4.86000000000001,5.865,4.2,7.7,8.7
"47",9,13,14.2,8.5,13.3,14.7,5.8,10.8,12.38,0,5,5.9,4.25,7.83000000000001,8.8
"48",9,13,14.2,8.6,13.4,15.11,5.9,11,12.4,0,5,6,4.3,8.03000000000001,8.9
"49",9,13.1,14.33,8.9,13.5,15.3,6.1,11.1,12.6,0,5,6,4.4,8.2,9
"50",9,13.2,14.965,9.1,13.7,15.6,6.2,11.3,12.9,0.2,5,6,4.6,8.3,9.3
"51",9.1,13.4,15,9.2,14,15.9,6.2,11.4,13.28,0.3,5,6.165,4.7,8.5,9.4
"52",9.2,13.5,15.065,9.3,14.04,15.9,6.2,11.4,13.3,0.55,5.2,6.5,4.8,8.6,9.5
"53",9.3,13.8,15.165,9.4,14.3,15.9,6.4,11.5,13.5,0.7,5.3,6.73,4.9,8.7,9.6
"54",9.4,13.93,15.3,9.5,14.3,15.97,6.4,11.6,13.7,0.9,5.53000000000001,6.9,5.1,8.8,9.7
"55",9.6,14,15.6,9.6,14.5,16.07,6.5,11.7,13.85,1,5.7,7,5.2,8.9,9.8
"56",9.8,14.1,15.8,9.7,14.74,16.37,6.6,11.9,14.175,1,5.9,7,5.3,9,9.965
"57",9.9,14.2,16,9.7,15.14,16.4,6.7,12.05,14.4,1,6,7,5.4,9.2,10.1
"58",10,14.4,16,9.9,15.3,16.67,6.8,12.35,14.6,1,6,7,5.6,9.4,10.365
"59",10,14.9,16.165,10,15.44,17.2,7,12.65,15.075,1,6,7,5.65,9.6,10.6
"60",10,15,16.43,10.15,15.6,17.365,7.2,12.8,15.37,1.25,6,7,5.8,9.7,10.7
"61",10.1,15,16.7,10.4,15.83,17.6,7.2,13.24,15.4,1.8,6,7,5.9,9.8,10.9
"62",10.4,15.23,17,10.5,15.9,17.7,7.4,13.6,15.57,2,6.53000000000001,7.4,6.1,10,11.265
"63",10.6,15.5,17.065,10.7,16.03,17.7,7.6,13.76,15.7,2,6.9,7.5,6.25,10.2,11.3
"64",10.9,15.73,17.265,10.8,16.3,17.8,7.8,14,15.765,2.3,6.9,7.6,6.4,10.4,11.4
"65",11,16,17.4,11.1,16.6,18.165,8,14.4,16.1,2.7,7,7.8,6.7,10.63,11.6
"66",11,16,17.465,11.4,16.9,18.53,8.2,14.8,16.3,2.9,7,7.9,6.8,10.8,11.7
"67",11.3,16,17.6,11.5,17.1,18.7,8.3,14.8,16.37,3,7,8,7.1,11,11.7
"68",11.5,16.1,17.6,11.7,17.2,18.8,8.5,15.1,16.67,3,7,8,7.2,11.2,11.9
"69",11.8,16.2,17.665,11.9,17.33,18.8,8.7,15.1,16.67,3,7.1,8,7.3,11.3,12.1
"70",12,16.33,17.8,12.1,17.4,18.9,8.7,15.2,16.8,3,7.33000000000001,8.065,7.5,11.3,12.2
"71",12,16.53,18,12.2,17.5,19.065,8.9,15.4,16.87,3.3,7.5,8.465,7.7,11.4,12.2
"72",12.1,16.63,18,12.4,17.53,19.1,9.2,15.4,16.87,3.65,7.8,8.8,7.9,11.5,12.4
"73",12.3,17,18,12.6,17.7,19.2,9.3,15.44,16.97,3.9,8,9,8,11.63,12.4
"74",12.4,17,18,12.7,17.8,19.365,9.5,15.5,17.17,4,8,9,8.2,11.7,12.5
"75",12.6,17,18,12.9,17.93,19.5,9.6,15.6,17.27,4,8,9,8.3,11.8,12.565
"76",12.95,17.2,18.165,13,18.2,19.6,9.7,15.8,17.3,4,8,9,8.45,11.9,12.665
"77",13,17.23,18.265,13.15,18.43,19.7,9.8,15.8,17.37,4.3,8.03000000000001,9,8.7,12.03,12.7
"78",13,17.4,18.5,13.3,18.7,19.865,10.1,16,17.6,4.65,8.3,9.2,8.8,12.2,12.9
"79",13,17.6,18.5,13.45,18.8,20.1,10.2,16.2,17.84,4.85,8.7,9.3,8.9,12.3,12.9
"80",13.1,18,18.865,13.65,19,20.265,10.4,16.3,18.07,5,8.8,9.465,9.2,12.5,13.1
"81",13.3,18,19,13.9,19.1,20.4,10.5,16.4,18.17,5,9,9.8,9.3,12.7,13.5
"82",13.5,18,19,14,19.2,20.5,10.7,16.6,18.3,5,9,10,9.4,12.73,13.565
