"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",7,11,11.95,6.7,10.9,12.06,3.9,8.6,9.65999999999999,-1,4,5.3,2.7,6.6,7.6
"2",8.8,13,14.2,8.5,13.3,14.7,5.7,10.8,12.4,0,5,5.9,4.2,7.8,8.7
"3",13,17.2,18.145,13,18.2,19.6,9.7,15.7,17.3,4.05,8,9,8.55,11.9,12.7
"4",16.85,21,22,17.8,22.71,24.005,14.4,20.01,21.405,8,11.7,12.6,12.5,15.9,16.9
"5",22,26.2,27.2,24.4,29.7,31.445,21.1,27,28.545,13.05,16.6,17.9,18.1,21.4,22.745
"6",25.4,29.8,30.805,29.1,35.1,36.9,26,32.5,33.905,16.9,20,21,21.4,25.2,26.1
"7",28.3,31.8,32.745,33.1,38.1,39.645,30.25,35.6,37.2,18.9,21.8,22.5,23.9,26.8,27.6
"8",28.3,32,33,33.3,38.41,39.6,30.6,36.1,37.6,18.2,21.1,22,23.6,26.71,27.4
"9",24,27.1,28.105,27.4,32.11,33.9,24.8,30,31.5,14.8,18,18.8,19.3,22.2,23
"10",18.8,22.7,23.6,20.5,26.1,27.35,18,24.1,25.5,10,14.8,15.8,14.1,18.1,18.9
"11",12.4,16.6,17.6,12.9,18.1,19.415,10.1,15.6,16.9,5,10,11.105,8.4,12.8,13.8
"12",8,11.83,12.965,7.7,12,13.3,4.6,9.5,10.8,0.5,6,6.9,4,8.2,8.9
