"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",6.1,10,11,6.2,10.4,11.4,3.2,7.66,8.73,-1.1,4,5,1.9,6.1,7.2
"2",6.1,10.1,11,6.2,10.6,11.43,3.2,7.76,8.8,-1,4,5,1.9,6.1,7.2
"3",6,10.1,11,6.2,10.6,11.4,3.1,7.7,8.83,-1.1,4,5,1.9,6.06,7.1
"4",6,10,11,6.2,10.5,11.4,3,7.7,8.8,-1.2,4,5,1.9,5.96,7.1
"5",6,10,11,6.2,10.5,11.4,3,7.7,8.8,-1.3,4,5,1.8,5.9,6.9
"6",6,10,11,6.1,10.4,11.33,3,7.66,8.73,-1.3,3.9,5,1.7,5.76,6.9
"7",6,10,11,6,10.36,11.33,3,7.6,8.8,-1.4,3.8,5,1.7,5.7,6.8
"8",6,10,11,6,10.3,11.2,2.9,7.46,8.7,-1.4,3.86,5,1.7,5.7,6.8
"9",6,10,11,5.9,10.3,11.2,2.9,7.56,8.7,-1.4,3.8,5,1.7,5.7,6.8
"10",6,10,11,5.9,10.3,11.13,2.9,7.56,8.7,-1.7,3.8,4.9,1.7,5.7,6.7
"11",6,10,11,5.9,10.3,11.2,3,7.56,8.7,-1.5,3.8,4.8,1.7,5.7,6.7
"12",6,10,11,5.9,10.36,11.2,3,7.6,8.7,-1.2,3.8,4.8,1.7,5.7,6.7
"13",6,10,11,5.9,10.4,11.2,3,7.6,8.7,-1.2,3.8,4.8,1.9,5.6,6.63
"14",6,10,11,6,10.36,11.23,3,7.6,8.73,-1.2,3.56,4.8,1.9,5.6,6.53
"15",6,10.1,11.2,6.2,10.54,11.4,3.2,7.8,8.86999999999999,-1.2,3.8,4.8,2,5.6,6.66999999999999
"16",6,10.14,11.2,6.2,10.6,11.6,3.2,7.8,8.9,-1.1,3.8,4.8,2,5.6,6.6
"17",6.1,10.24,11.37,6.2,10.7,11.77,3.2,7.9,8.9,-1.2,3.68,4.8,2.1,5.64,6.7
"18",6.1,10.4,11.74,6.2,10.8,11.87,3.3,8.1,9.2,-1.2,3.68,4.8,2.1,5.7,6.7
"19",6.2,10.4,11.97,6.2,10.9,12,3.3,8.2,9.26999999999999,-1.1,3.6,4.8,2.2,5.7,6.7
"20",6.4,10.44,12,6.3,10.94,12.17,3.4,8.3,9.4,-1.1,3.8,4.8,2.2,5.84,6.76999999999999
"21",6.4,10.64,12,6.4,11,12.27,3.5,8.34,9.5,-1.1,3.8,4.86999999999999,2.3,5.9,6.8
"22",6.6,11,12,6.5,11,12.5,3.6,8.5,9.6,-1,3.8,4.86999999999999,2.4,5.9,6.8
"23",6.8,11,12,6.6,11.04,12.6,3.6,8.64,9.96999999999999,-1,3.8,4.9,2.5,5.9,6.9
"24",7,11,12.17,6.7,11.2,12.7,3.7,8.7,10.1,-1,3.8,4.9,2.5,5.9,6.9
"25",7,11,12.54,6.7,11.24,13.07,3.8,8.74,10.17,-1,3.8,5,2.5,5.9,7
"26",7,11.1,12.6,6.7,11.43,13.165,3.8,8.83000000000001,10.265,-1,3.83000000000001,5,2.6,5.9,7
"27",7,11.43,13,6.8,11.63,13.365,3.8,9.03000000000001,10.5,-1,3.83000000000001,5,2.65,6.1,7
"28",7,12,13,6.9,11.8,13.4,3.8,9.2,10.5,-1,3.8,4.965,2.7,6.1,7.065
"29",7,12,13,7,11.8,13.465,3.9,9.2,10.695,-1,3.8,4.9,2.8,6.2,7
"30",7,12,13,7.1,11.8,13.6,4,9.2,10.8,-1,3.8,4.9,2.8,6.2,7.13
"31",7,12,13.1,7.1,11.83,13.6,4.1,9.3,10.865,-1,3.83000000000001,4.965,2.85,6.2,7.3
"32",7,12,13.2,7.2,12.2,13.7,4.2,9.4,11.065,-1,3.9,5,3,6.33000000000001,7.365
"33",7.2,12.1,13.4,7.3,12.4,13.8,4.2,9.63000000000001,11.2,-1,3.9,5,3.1,6.5,7.465
"34",7.3,12.23,13.4,7.3,12.53,13.965,4.4,9.8,11.4,-1,4,5,3.1,6.6,7.6
"35",7.4,12.4,13.4,7.4,12.6,14.13,4.4,9.9,11.465,-1,4,5,3.2,6.7,7.765
"36",7.75,12.6,13.5,7.5,12.8,14.2,4.5,10,11.5,-1,4,5,3.25,6.8,7.8
"37",8,13,13.565,7.6,13,14.2,4.65,10.1,11.5,-1,4,5,3.3,6.8,7.8
"38",8,13,14,7.6,13.23,14.4,4.7,10.2,11.7,-1,4,5,3.4,6.83000000000001,7.865
"39",8,13,14,7.85,13.33,14.465,4.8,10.3,11.8,-1,4,5,3.6,6.9,7.9
"40",8,13,14.065,7.95,13.4,14.7,4.9,10.4,12.1,-0.7,4,5,3.6,6.93000000000001,8
"41",8.1,13,14.1,8,13.5,14.9,5,10.5,12.165,-0.4,4,5,3.6,7.1,8.1
"42",8.1,13.1,14.23,8.2,13.6,15.1,5.1,10.7,12.5,-0.2,4,5,3.7,7.2,8.165
"43",8.2,13.2,14.465,8.25,13.73,15.2,5.2,10.8,12.5,-0.2,4,5.065,3.8,7.3,8.265
"44",8.4,13.4,15,8.35,14,15.425,5.2,11.3,13.1,-0.2,4,5.6,3.9,7.5,8.4
"45",8.45,13.4,15,8.4,14.1,15.6,5.3,11.4,13.1,-0.1,4,5.6,3.9,7.6,8.4
"46",8.9,13.4,15,8.6,14.2,15.6,5.5,11.5,13.1,0,4,5.665,4.1,7.6,8.565
"47",9,13.5,15.065,8.6,14.2,15.865,5.6,11.7,13.3,0,4.4,5.765,4.2,7.73000000000001,8.765
"48",9,13.93,15.2,8.7,14.33,16.265,5.7,11.8,13.7,0,4.9,5.9,4.3,7.9,9.1
"49",9,14,15.4,8.9,14.5,16.365,5.9,12,13.7,0,5,6,4.4,8.1,9.365
"50",9,14.13,15.93,9,14.7,16.765,6.05,12.2,14,0,5,6,4.6,8.3,9.5
"51",9.2,14.3,16,9.3,15.03,16.8,6.1,12.3,14.13,0,5,6,4.8,8.43000000000001,9.7
"52",9.4,14.4,16.2,9.4,15.1,17.06,6.25,12.4,14.365,0,5,6,4.9,8.7,9.7
"53",9.7,14.8,16.565,9.6,15.4,17.365,6.3,12.6,14.565,0,5,6,5.1,8.93000000000001,9.9
"54",10,15,16.565,9.6,15.6,17.6,6.4,12.7,14.765,0.7,5.1,6,5.2,9.1,10.2
"55",10,15,17,9.9,15.7,17.7,6.55,13.1,14.865,0.9,5.6,6,5.4,9.2,10.3
"56",10,15.03,17,10,15.9,17.865,6.7,13.43,15.265,1,5.73000000000001,6.5,5.6,9.4,10.3
"57",10,15.2,17.1,10.2,16,18,6.8,13.63,15.4,1,5.8,6.7,5.7,9.6,10.6
"58",10.1,15.33,17.2,10.3,16.3,18.165,7,13.9,15.4,1,6,6.8,5.7,9.7,10.8
