"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",6.1,10.3,11.5,6.2,10.8,11.8,3.2,7.9,9,-1.2,3.8,4.8,2.1,5.6,6.7
"2",9,13.4,15,8.6,14.2,15.7,5.6,11.57,13.185,0,4,5.68499999999999,4.1,7.7,8.7
"3",14,19,20,14.1,20.09,21.5,11,17.4,19.4,4,8,9,8.9,12.3,13.145
"4",17.65,23,24.6,18.9,25.2,26.7,15.7,22.5,24.44,7.6,11,12,12.4,16.5,17.6
"5",24,28.6,30,26.4,32.4,34.8,23.8,30.48,32.59,12.6,16,17,18.2,22.1,23.545
"6",27.2,32,33.2,31.4,37.9,39.8,29.2,35.8,38,16.6,20,21.605,21.9,26.4,27.505
"7",30,33.49,34.645,35.35,40.7,42.045,33.2,39.1,40.5,19,22,23,24.65,27.9,28.8
"8",29.6,33.5,34.45,35.2,41.5,42.7,33.4,39.6,40.95,18.9,21.49,22,24.1,27.4,28.245
"9",25,28.6,30,28.9,34.3,36.105,26.9,33.12,34.9,14.5,18,18.8,19.6,22.6,23.4
"10",18.2,23.3,24.2,20.6,27.1,28.95,18.4,25.1,27.2,10,14,15,13.7,17.79,18.6
"11",11.8,16,17.2,12.3,18.1,19.115,9.6,15.5,16.62,4,9.8,10.8,7.6,11.9,13.2
"12",7.2,11.1,12.31,7.4,11.9,13.3,4.4,8.9,10.255,-0.2,5,6.65,3.1,7.5,8.3
