"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,2.4,7,-1,69,17.9,4.4,0,994.8
1979-01-02,-6.3,-4,-8,21,15.9,7.7,0,1018.3
1979-01-03,-7.3,-2,-10,50,NA,0,0,1021.1
1979-01-04,-8.2,-2,-10,66,NA,0,0,1014.7
1979-01-05,-9.3,0,-13,79,NA,0,0,1018.2
1979-01-06,-7.3,2,-11,79,NA,0,0,1026.8
1979-01-07,-5.2,5,-11,72,NA,0,0,1035.7
1979-01-08,-5.9,3,-10,81,NA,0,0,1035.6
1979-01-09,-2.4,-1,-4,91,NA,0,2,1022.5
1979-01-10,-1,9,-5,90,NA,0,4.1,1006.8
1979-01-11,-1,3,-8,93,NA,0,5.1,990.8
1979-01-12,-3.9,12,-11,69,NA,0,0,1000.7
1979-01-13,-8.6,1,-14,84,NA,0,0,1015.2
1979-01-14,-5.2,5,-12,49,8,1.5,0,1025.2
1979-01-15,-2,5,-9,38,11.8,3.8,0,1025.8
1979-01-16,-3.8,3,-9,54,NA,0,7.9,1024.7
1979-01-17,-2.4,3,-7,69,8,0.8,0,1021.9
1979-01-18,-3.1,1,-7,84,NA,0,0.3,1024.3
1979-01-19,-6.6,0,-12,74,NA,0,0,1028.8
1979-01-20,-4.7,3,-9,70,NA,0,0,1025.6
1979-01-21,-3.1,5,-5,80,NA,0,0,1024.5
1979-01-22,1.2,3,0,79,NA,0,0,1024
1979-01-23,1.4,4,1,91,NA,0,0.5,1016.3
1979-01-24,1.2,3,1,99,NA,0,3,1005.9
1979-01-25,4.4,16,1,62,NA,0,0,1003.9
1979-01-26,0.8,7,-3,78,NA,0,0,1005.7
1979-01-27,0.2,1,0,100,NA,0,7.9,1005
1979-01-28,1.8,3,0,98,NA,0,45,997.5
1979-01-29,3.7,10,0,90,1.9,0.1,1.3,998.1
1979-01-30,1.4,9,-2,83,NA,0,0,1005.3
1979-01-31,2.1,12,-2,54,3.9,0.6,0,1012.4
1979-02-01,-0.6,7,-5,66,NA,0,0,1017.7
1979-02-02,1,3,-1,83,NA,0,0,1009.4
1979-02-03,3.8,9,1,78,NA,0,0,1007.4
1979-02-04,5.1,13,-2,69,NA,0,0,1006.7
1979-02-05,4.3,9,2,84,NA,0,0,1001
1979-02-06,8.9,17,1,44,5.8,1.4,0,1005.7
1979-02-07,4,8,3,80,NA,0,0,1009.8
1979-02-08,3,11,-1,84,NA,0,0,1006.7
1979-02-09,3.1,7,0,91,NA,0,0,1008.5
1979-02-10,3.8,10,2,92,NA,0,0.5,1000
1979-02-11,2.8,5,0,100,NA,0,0,1001.2
1979-02-12,4.9,9,3,95,NA,0,13.7,996
1979-02-13,7.4,14,2,86,3.9,0.6,0,992.9
1979-02-14,6.8,13,4,90,NA,0,0,993.1
1979-02-15,6.7,13,4,79,NA,0,0,996.5
1979-02-16,5.7,10,4,83,NA,0,0,1007.2
1979-02-17,4.9,6,3,97,3.9,0.2,19.3,1008.6
1979-02-18,4.2,10,2,93,NA,0,0,1009.7
1979-02-19,6.2,11,-9,82,1.9,0.3,0,1014.5
1979-02-20,6.1,15,2,62,8,0,0,1024
1979-02-21,5.1,11,0,51,1.9,0.2,0,1026.4
