"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,8.2,10,6,73,46.8,31.2,0,NA
1979-01-02,-2.2,4,-8,87,25.8,19.3,2,NA
1979-01-03,-6.8,-3,-10,58,21,10.7,9.9,NA
1979-01-04,-2.2,3,-6,79,17.1,7.6,5.1,NA
1979-01-05,2.6,9,-1,79,15,4,4.1,NA
1979-01-06,0.6,1,0,95,5.1,0.6,0,NA
1979-01-07,0.3,2,-1,92,23.9,12.6,0,NA
1979-01-08,1.4,5,-1,61,17.9,4.7,0,NA
1979-01-09,4.4,7,3,78,15.9,8.2,18,NA
1979-01-10,6.9,9,4,77,35,16,0.5,NA
1979-01-11,4.6,6,3,79,35,19,5.1,NA
1979-01-12,0.8,3,-1,77,11.8,5.6,9.9,NA
1979-01-13,-1.6,0,-3,77,22.9,9.9,0,NA
1979-01-14,-4.2,-3,-5,98,33,15.6,11.9,NA
1979-01-15,-4.7,-1,-8,88,11.1,4.7,2,NA
1979-01-16,-5.3,-3,-6,93,8.9,3.1,6.1,NA
1979-01-17,-5.1,-3,-6,87,12,5.5,3,NA
1979-01-18,-4.9,0,-7,71,5.1,1.4,0,NA
1979-01-19,-2.1,0,-5,81,NA,0,0,NA
1979-01-20,-0.1,2,-2,83,5.1,0.6,0,NA
1979-01-21,2.7,7,0,84,5.1,1.4,0,NA
1979-01-22,7.2,10,5,86,8,4,0,NA
1979-01-23,7,8,6,90,10.9,1.4,5.1,NA
1979-01-24,9,13,6,78,8.9,2.3,0.3,NA
1979-01-25,7.2,8,6,88,9.9,4.9,3,NA
1979-01-26,6.5,10,5,81,22.9,7.7,0,NA
1979-01-27,8.1,10,5,78,20,13.1,0,NA
1979-01-28,11.4,14,8,69,35,16,0,NA
1979-01-29,8.9,13,5,72,39.8,26.2,3,NA
1979-01-30,5,8,3,78,35,21.6,0.5,NA
1979-01-31,1.4,3,0,88,24.9,12.3,7.1,NA
1979-02-01,2.7,6,0,56,23.9,11.9,0,NA
1979-02-02,4.9,8,2,74,19.8,11.3,0,NA
1979-02-03,7.8,11,5,87,9.9,6.2,1,NA
1979-02-04,8.6,10,7,87,11.1,1.7,2,NA
1979-02-05,7.4,9,6,82,9.9,6,3,NA
1979-02-06,4.9,6,4,99,25.1,12.7,19,NA
1979-02-07,4.5,8,2,83,9.9,4.7,0,NA
1979-02-08,3.4,7,2,91,9.9,5.9,10.9,NA
1979-02-09,7,9,4,80,13,7.2,0,NA
1979-02-10,9.6,14,8,78,40,17.6,0,NA
1979-02-11,11.6,15,8,60,19,8.1,0,NA
1979-02-12,12.5,22,8,64,28,11,1,NA
1979-02-13,6.5,8,4,85,28,14.2,11.7,NA
1979-02-14,5.1,6,4,80,18.1,8,3,NA
1979-02-15,4.9,7,2,79,19.8,10.7,2,NA
1979-02-16,6.4,10,5,88,25.1,14.4,2,NA
1979-02-17,6.2,8,5,79,18.1,8.8,1,NA
1979-02-18,4.3,5,3,94,19.8,6.8,16,NA
1979-02-19,3.6,6,2,100,14,6.4,8.1,NA
1979-02-20,1.7,4,1,95,20,13.7,1,NA
1979-02-21,0.4,1,0,90,9.9,7.2,0.3,NA
1979-02-22,0.4,3,-1,88,12.8,5.7,0.3,NA
1979-02-23,1.2,5,-1,79,9.9,4.6,0,NA
1979-02-24,1.2,4,0,87,9.9,6.8,0,NA
1979-02-25,0.7,4,-1,74,17.1,11.6,0,NA
1979-02-26,-2.8,0,-5,85,19,10.5,0,NA
1979-02-27,-4.1,-1,-6,81,8,2.9,5.1,NA
1979-02-28,-0.9,4,-4,48,14,4.8,0,NA
1979-03-01,2,8,-2,63,8.9,2.7,0,NA
1979-03-02,2.2,3,1,96,5.8,2.4,24.9,NA
1979-03-03,3.9,8,1,94,11.8,3.5,18,NA
1979-03-04,4.8,7,4,94,6,0.8,0.3,NA
1979-03-05,5.9,10,3,71,11.8,5,0,NA
1979-03-06,7.6,12,5,66,12,7,0,NA
1979-03-07,8.8,12,7,62,9.9,5.4,0,NA
1979-03-08,7.4,11,5,84,19,11.2,0,NA
1979-03-09,6.2,10,5,82,7,2.7,0,NA
1979-03-10,7.2,9,5,72,27,16.1,0,NA
1979-03-11,8,13,4,71,15,6.1,0,NA
1979-03-12,10.3,14,7,76,20,8,0,NA
1979-03-13,10.6,16,8,81,7,2.4,0,NA
1979-03-14,10.1,15,6,73,12,7.8,0,NA
1979-03-15,11.5,15,9,69,15,8.8,0,NA
1979-03-16,7.7,12,4,75,29.9,20.1,2.3,NA
1979-03-17,6,10,3,67,31.9,16,0,NA
1979-03-18,8.4,13,5,66,15,9.6,0,NA
1979-03-19,9.5,13,7,70,20,11.3,0,NA
1979-03-20,8.1,14,6,70,20,10.2,2,NA
1979-03-21,8.2,12,5,67,17.9,10.3,0,NA
1979-03-22,7,10,5,85,26,10.8,2,NA
1979-03-23,7.4,12,4,66,18.1,11.5,0,NA
1979-03-24,6.2,10,4,81,9.9,3.2,2,NA
1979-03-25,9.5,15,5,60,11.1,3.6,0,NA
1979-03-26,8.6,11,2,75,24.9,10.7,0,NA
1979-03-27,10.3,12,8,85,38.1,18.5,6.1,NA
1979-03-28,9.4,11,7,68,31.1,16.4,0.5,NA
1979-03-29,3.7,8,-1,80,29.9,18.3,11.9,NA
1979-03-30,2.3,5,-1,82,29.9,14.8,0.3,NA
1979-03-31,4.6,8,3,67,28,15.5,0,NA
1979-04-01,5,8,4,79,8.9,4.1,0,NA
1979-04-02,4.7,9,2,74,17.9,9.6,0,NA
1979-04-03,6.5,12,2,60,22,11.8,0,NA
1979-04-04,6.5,9,5,70,26,14.5,0.3,NA
1979-04-05,7.2,10,5,63,22.9,13.3,6.1,NA
1979-04-06,5,8,3,71,29.9,19.7,7.1,NA
1979-04-07,3.7,7,0,70,25.1,16.6,1,NA
1979-04-08,6.4,11,3,53,10.9,6.3,0,NA
1979-04-09,8.4,13,4,62,11.8,3.4,0,NA
1979-04-10,9.9,15,6,65,12.8,2.8,0,NA
1979-04-11,11.3,16,8,65,22,4.2,0,NA
1979-04-12,7.6,9,6,88,17.9,5.7,16,NA
1979-04-13,9.4,15,5,71,12,4.7,0,NA
1979-04-14,11,17,7,68,9.9,2.7,0,NA
1979-04-15,10.4,14,8,76,17.9,6.6,0,NA
1979-04-16,9,11,8,88,15.9,7.8,0,NA
1979-04-17,6.4,7,6,100,14,7.5,6.1,NA
1979-04-18,5.4,7,4,96,28,11.1,22.1,NA
1979-04-19,4.6,6,4,87,15,8.4,0.3,NA
1979-04-20,3.2,5,2,86,10.9,4.3,0,NA
1979-04-21,6.3,11,1,67,7,3.1,0,NA
