"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,15.7,20,12,69,23.9,15.3,0,NA
1979-01-02,10.6,15,4,74,18.1,10.6,0,NA
1979-01-03,3.1,8,0,76,15.9,4.7,0,NA
1979-01-04,4.3,12,-2,93,7,3.6,0,NA
1979-01-05,12.1,17,6,85,8,3.7,0,NA
1979-01-06,11.7,17,6,95,2.9,0.1,0,NA
1979-01-07,12,17,10,92,4.9,1.1,0,NA
1979-01-08,10.1,15,7,77,9.9,2.6,0,NA
1979-01-09,8.9,14,5,90,6,1.7,0,NA
1979-01-10,11.1,17,8,89,8,2.6,0,NA
1979-01-11,10.9,16,5,85,15.9,6.8,0,NA
1979-01-12,10.6,14,6,75,18.8,7.4,5.3,NA
1979-01-13,6.8,11,3,82,14,7.2,0.5,NA
1979-01-14,4.2,10,1,84,15.9,3.7,2,NA
1979-01-15,4.1,12,0,81,6,2.4,0,NA
1979-01-16,4.4,10,0,78,5.1,0.9,0,1015.7
1979-01-17,5,10,0,88,8.9,1.6,0.3,NA
1979-01-18,5.1,11,-2,72,5.8,2.1,0,NA
1979-01-19,7.3,9,6,96,9.9,5,5.1,NA
1979-01-20,9.3,11,6,85,9.9,4.2,4.1,NA
1979-01-21,11.1,15,8,85,2.9,0.1,0,NA
1979-01-22,11.7,16,10,85,5.8,0.5,0,NA
1979-01-23,12.8,14,11,94,11.8,4.5,1.5,NA
1979-01-24,12.1,18,8,86,8,1.8,2,NA
1979-01-25,11.7,17,7,91,8,1.6,0,NA
1979-01-26,12.2,17,9,78,10.9,2.6,0,NA
1979-01-27,13.1,19,8,80,5.8,3.2,0,NA
1979-01-28,15.4,21,8,73,9.9,5.5,0,NA
1979-01-29,14.6,20,7,71,15.9,6.4,0,NA
1979-01-30,9.7,16,6,78,13,5.3,0,1014.8
1979-01-31,10.5,15,6,70,17.9,8.8,0,1014.8
1979-02-01,9.3,16,6,77,14,3.9,0,NA
1979-02-02,10.9,16,5,80,11.8,4.3,0,NA
1979-02-03,13.7,19,10,77,7,2.9,0,NA
1979-02-04,12.9,18,10,91,5.8,0.7,2.3,NA
1979-02-05,11.5,15,8,91,8,2.6,6.1,NA
1979-02-06,13.1,18,9,73,17.9,9,0,NA
1979-02-07,13.4,19,8,75,8,2.3,0,NA
1979-02-08,13.1,16,9,80,20,9.6,1.5,1003
1979-02-09,12.2,19,7,78,9.9,3.4,0,1012
1979-02-10,14.9,23,8,76,8.9,3.6,0,1006.4
1979-02-11,14.4,22,10,84,9.9,1.4,0,1004.3
1979-02-12,13.6,20,8,85,25.8,6.8,0,996.7
1979-02-13,12.5,18,9,82,19.8,9.3,0.3,1003.4
1979-02-14,10.4,15,7,87,29.9,12.7,4.1,1001.2
1979-02-15,11.3,18,6,90,15,4.3,0,1003
1979-02-16,13.2,20,10,85,25.8,10.5,1,999.6
1979-02-17,11,14,8,86,4.9,0.5,0,1005.5
1979-02-18,9.2,16,5,86,17.1,6.1,0,1003.8
1979-02-19,11.3,18,7,80,14,7.2,0,1009.7
1979-02-20,10.1,15,5,87,6,3.6,0,1016.3
1979-02-21,10.9,16,7,80,4.1,0.6,0,1017.5
1979-02-22,10.2,12,7,84,8,2.6,2,1018.7
1979-02-23,10.4,15,8,89,7,1.9,1,1020.3
1979-02-24,10.2,13,9,90,17.9,9.7,20.1,1016.9
1979-02-25,10.8,13,9,75,29.9,23.8,10.9,1016.2
1979-02-26,9.8,15,6,69,20,5.9,0,1018.2
1979-02-27,9.3,13,7,92,6,1.5,0.5,1019.9
1979-02-28,9.3,13,8,85,4.1,0.5,1,1018.5
1979-03-01,10.3,13,8,92,15,7.8,21.1,1017.4
1979-03-02,12.9,17,7,83,10.9,4.7,22.1,1019.5
1979-03-03,9.7,17,4,83,7,1.7,0,1024.4
1979-03-04,10.9,15,6,86,15,5.7,0,1025.3
1979-03-05,11.3,15,6,82,15.9,6,0,1019.2
1979-03-06,9.2,17,5,91,5.8,3,0,1017.3
1979-03-07,11.7,18,5,78,7,2.2,0,1020.3
1979-03-08,9.6,18,3,84,4.1,0.9,2,1022.5
1979-03-09,9.4,17,5,90,5.1,0.7,0,1021
1979-03-10,10.1,16,6,78,8,2.9,0,1016
1979-03-11,12.8,17,9,77,13,6.2,0,1012.5
1979-03-12,11.5,17,5,82,8,2.1,0,1014.8
1979-03-13,14.2,18,8,81,5.8,2.5,0,1015.3
1979-03-14,13.3,17,9,90,5.8,3.1,0,1014
1979-03-15,14.1,17,12,88,19.8,11.3,0,1007.5
1979-03-16,13.3,18,8,65,28,14.6,2,1003.1
1979-03-17,11.1,18,6,70,14,7.1,0,1014.5
1979-03-18,12.6,16,8,87,7,2.4,0,1011.4
1979-03-19,14.2,19,11,88,7,1.2,0,1007.8
1979-03-20,12.7,17,8,90,8,2.8,0,1010.2
1979-03-21,12.4,19,7,71,7,1,0,1015.4
1979-03-22,12.2,20,6,72,11.8,4.9,0,1018
1979-03-23,11.4,17,5,74,6,1.6,0,1019.8
1979-03-24,11.4,17,7,78,8.9,2.7,0,1018.3
1979-03-25,11.8,17,4,73,7,2.6,0,1022.8
1979-03-26,15.1,21,7,69,18.8,9.3,0,1020.2
1979-03-27,17.2,24,12,73,14,4.1,0,1010.9
1979-03-28,15.3,20,11,77,15,3.5,0.5,1005.8
1979-03-29,13.3,19,8,71,15,5.9,0,1005.8
1979-03-30,11.2,17,7,70,15,7.9,0,1006.9
1979-03-31,11.2,16,5,69,5.8,0.5,0,1010.5
